Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30122008,156275555,0001207
Trade Date <30-DEC-2008>,Settlement Type <N>,Settlement No <2008245>,Settlement Date <01-JAN-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,53500,34964,65.35
20,2,3IINFOTECH,EQ,405948,202797,49.96
20,3,3MINDIA,EQ,278,193,69.42
20,4,AARTIDRUGS,EQ,998,687,68.84
20,5,AARTIIND,EQ,5172,4512,87.24
20,6,AARVEEDEN,EQ,1,1,100.00
20,7,ABAN,EQ,336401,60418,17.96
20,8,ABB,EQ,247814,62160,25.08
20,9,ABGSHIP,EQ,1553067,472088,30.40
20,10,ABHISHEK,EQ,909,824,90.65
20,11,ABIRLANUVO,EQ,71548,59082,82.58
20,12,ACC,EQ,503622,191145,37.95
20,13,ACE,EQ,25038,17347,69.28
20,14,ADANIENT,EQ,15208,4333,28.49
20,15,ADHUNIK,EQ,159027,108836,68.44
20,16,ADLABSFILM,EQ,684903,79602,11.62
20,17,ADORWELD,EQ,393,266,67.68
20,18,ADSL,EQ,13063,10335,79.12
20,19,ADVANIHOTR,EQ,116,68,58.62
20,20,ADVANTA,EQ,485,253,52.16
20,21,AEGISCHEM,EQ,1978,1577,79.73
20,22,AFL,EQ,3134,2569,81.97
20,23,AFTEK,EQ,203896,138657,68.00
20,24,AGRODUTCH,EQ,100789,39208,38.90
20,25,AHMEDFORGE,EQ,39514,38879,98.39
20,26,AIAENG,EQ,12126,9252,76.30
20,27,AICHAMP,EQ,18,12,66.67
20,28,AJANTPHARM,EQ,1297,1235,95.22
20,29,AKRUTI,EQ,131143,20966,15.99
20,30,AKSHOPTFBR,EQ,13395,10599,79.13
20,31,ALBK,EQ,380126,203285,53.48
20,32,ALCHEM,EQ,141453,52524,37.13
20,33,ALEMBICLTD,EQ,12555,7925,63.12
20,34,ALFALAVAL,EQ,428,428,100.00
20,35,ALKALI,EQ,517958,113593,21.93
20,36,ALKYLAMINE,EQ,477,77,16.14
20,37,ALLCARGO,EQ,13758,9801,71.24
20,38,ALLSEC,EQ,1287,1140,88.58
20,39,ALMONDZ,EQ,3699,3307,89.40
20,40,ALOKTEXT,EQ,1295695,990650,76.46
20,41,ALPA,EQ,5579,4518,80.98
20,42,ALPHAGEO,EQ,2421,999,41.26
20,43,ALPSINDUS,EQ,47555,39223,82.48
20,44,AMAR,EQ,19124,16581,86.70
20,45,AMARAJABAT,EQ,82108,49066,59.76
20,46,AMBICAAGAR,EQ,6845,4986,72.84
20,47,AMBIKCO,EQ,1100,200,18.18
20,48,AMBUJACEM,EQ,1290872,436359,33.80
20,49,AMDIND,EQ,24665,22892,92.81
20,50,AMTEKAUTO,EQ,62446,39718,63.60
20,51,AMTEKINDIA,EQ,402150,379381,94.34
20,52,ANANTRAJ,EQ,2451,1866,76.13
20,53,ANDHRABANK,EQ,179992,106398,59.11
20,54,ANDHRSUGAR,EQ,5862,4361,74.39
20,55,ANGAUTO,EQ,6532,4828,73.91
20,56,ANIKINDS,EQ,234,226,96.58
20,57,ANKURDRUGS,EQ,41092,34560,84.10
20,58,ANSALHSG,EQ,21171,12178,57.52
20,59,ANSALINFRA,EQ,529638,126664,23.92
20,60,ANTGRAPHIC,EQ,200082,122061,61.01
20,61,APARINDS,EQ,350,250,71.43
20,62,APCOTEXIND,EQ,4,4,100.00
20,63,APIL,EQ,42015,12643,30.09
20,64,APOLLOHOSP,EQ,104984,48512,46.21
20,65,APOLLOSIND,EQ,58595,57483,98.10
20,66,APOLLOTYRE,EQ,983384,707135,71.91
20,67,APPAPER,EQ,323,197,60.99
20,68,APTECHT,EQ,2287558,327309,14.31
20,69,ARCHIDPLY,EQ,1238,1038,83.84
