Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,26022009,231554091,0001161
Trade Date <26-FEB-2009>,Settlement Type <N>,Settlement No <2009038>,Settlement Date <02-MAR-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,17382,7343,42.24
20,2,3IINFOTECH,EQ,1139986,683957,60.00
20,3,3MINDIA,EQ,254,228,89.76
20,4,AARTIDRUGS,EQ,948,815,85.97
20,5,AARTIIND,EQ,7024,6186,88.07
20,6,AARVEEDEN,EQ,322,155,48.14
20,7,ABAN,EQ,758606,91624,12.08
20,8,ABB,EQ,750115,231504,30.86
20,9,ABGSHIP,EQ,468837,179028,38.19
20,10,ABHISHEK,EQ,2774,2373,85.54
20,11,ABIRLANUVO,EQ,92824,73466,79.15
20,12,ACC,EQ,785152,357704,45.56
20,13,ACE,EQ,52195,35502,68.02
20,14,ADANIENT,EQ,87470,58064,66.38
20,15,ADHUNIK,EQ,14946,10035,67.14
20,16,ADLABSFILM,EQ,562881,219122,38.93
20,17,ADORWELD,EQ,579,387,66.84
20,18,ADSL,EQ,8695,4299,49.44
20,19,ADVANIHOTR,EQ,375,375,100.00
20,20,ADVANTA,EQ,13,8,61.54
20,21,AEGISCHEM,EQ,258,168,65.12
20,22,AFL,EQ,101,100,99.01
20,23,AFTEK,EQ,204076,171425,84.00
20,24,AGRODUTCH,EQ,6054,5728,94.62
20,25,AHMEDFORGE,EQ,14848,13266,89.35
20,26,AIAENG,EQ,13630,9484,69.58
20,27,AICHAMP,EQ,615,615,100.00
20,28,AJANTPHARM,EQ,3127,2951,94.37
20,29,AKRUTI,EQ,3804251,502464,13.21
20,30,AKSHOPTFBR,EQ,14645,9439,64.45
20,31,ALBK,EQ,427502,282542,66.09
20,32,ALCHEM,EQ,54882,12700,23.14
20,33,ALEMBICLTD,EQ,17202,15900,92.43
20,34,ALFALAVAL,EQ,77,45,58.44
20,35,ALKALI,EQ,95218,37662,39.55
20,36,ALKYLAMINE,EQ,70,70,100.00
20,37,ALLCARGO,EQ,1160,810,69.83
20,38,ALOKTEXT,EQ,1196003,820236,68.58
20,39,ALPA,EQ,3437,2413,70.21
20,40,ALPHAGEO,EQ,66234,13891,20.97
20,41,ALPSINDUS,EQ,15073,9931,65.89
20,42,AMAR,EQ,12245,8332,68.04
20,43,AMARAJABAT,EQ,19801,14846,74.98
20,44,AMBICAAGAR,EQ,3903,3109,79.66
20,45,AMBUJACEM,EQ,2349952,1406415,59.85
20,46,AMDIND,EQ,6484,6058,93.43
20,47,AMTEKAUTO,EQ,1272681,386114,30.34
20,48,AMTEKINDIA,EQ,16686,14350,86.00
20,49,ANANTRAJ,EQ,5565,4192,75.33
20,50,ANDHRABANK,EQ,542653,454942,83.84
20,51,ANDHRSUGAR,EQ,5234,3288,62.82
