Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,14072009,202560981,0001025
Trade Date <14-JUL-2009>,Settlement Type <N>,Settlement No <2009128>,Settlement Date <16-JUL-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,9564,3661,38.28
20,2,3IINFOTECH,EQ,827502,291836,35.27
20,3,3MINDIA,EQ,2715,2605,95.95
20,4,AARTIDRUGS,EQ,5187,3996,77.04
20,5,AARTIIND,EQ,12344,8246,66.80
20,6,ABAN,EQ,7640160,554643,7.26
20,7,ABB,EQ,381425,85636,22.45
20,8,ABCIL,EQ,807,477,59.11
20,9,ABGSHIP,EQ,291893,73192,25.07
20,10,ABIRLANUVO,EQ,77797,28615,36.78
20,11,ABSHEKINDS,EQ,23004,15190,66.03
20,12,ACC,EQ,422666,107995,25.55
20,13,ACE,EQ,75808,41656,54.95
20,14,ACKRUTI,EQ,268572,36315,13.52
20,15,ADANIENT,EQ,172187,67599,39.26
20,16,ADHUNIK,EQ,341975,168928,49.40
20,17,ADLABSFILM,EQ,1408087,162636,11.55
20,18,ADORWELD,EQ,12843,8405,65.44
20,19,ADSL,EQ,3601,2393,66.45
20,20,ADVANTA,EQ,7528,3193,42.41
20,21,AEGISCHEM,EQ,7339,5042,68.70
20,22,AFL,EQ,4418,3146,71.21
20,23,AHMEDFORGE,EQ,7825,5802,74.15
20,24,AIAENG,EQ,300947,272954,90.70
20,25,AJMERA,EQ,33996,8884,26.13
20,26,AKSHOPTFBR,EQ,18429,11346,61.57
20,27,ALBK,EQ,232699,73678,31.66
20,28,ALCHEM,EQ,109928,62183,56.57
20,29,ALEMBICLTD,EQ,35165,15500,44.08
20,30,ALFALAVAL,EQ,148,87,58.78
20,31,ALKALI,EQ,260251,85271,32.76
20,32,ALKYLAMINE,EQ,150,150,100.00
20,33,ALLCARGO,EQ,7878,208,2.64
20,34,ALOKTEXT,E1,29462,25617,86.95
20,35,ALOKTEXT,EQ,8115530,3222323,39.71
20,36,ALPA,EQ,29085,14812,50.93
20,37,ALPHAGEO,EQ,10433,7724,74.03
20,38,AMAR,EQ,46017,28816,62.62
20,39,AMARAJABAT,EQ,135646,43185,31.84
20,40,AMBIKCO,EQ,6420,2399,37.37
20,41,AMBUJACEM,EQ,2714472,1224172,45.10
20,42,AMDIND,EQ,3965,2773,69.94
20,43,AMTEKAUTO,EQ,30743,10109,32.88
20,44,AMTEKINDIA,EQ,75424,36486,48.37
20,45,ANANTRAJ,EQ,265313,142920,53.87
20,46,ANDHRABANK,EQ,338873,148416,43.80
20,47,ANDHRSUGAR,EQ,22994,11989,52.14
20,48,ANGAUTO,EQ,28389,22070,77.74
20,49,ANIKINDS,EQ,707,479,67.75
20,50,ANKURDRUGS,EQ,20365,14868,73.01
20,51,ANSALHSG,EQ,33550,18002,53.66
20,52,ANSALINFRA,EQ,476084,164706,34.60
20,53,APARINDS,EQ,15186,14272,93.98
20,54,APCOTEXIND,EQ,4352,2821,64.82
20,55,APIL,EQ,86362,24104,27.91
20,56,APOLLOHOSP,EQ,10565,3670,34.74
20,57,APOLLOTYRE,EQ,1656271,789769,47.68
20,58,APTECHT,EQ,1148397,375849,32.73
20,59,ARCHIES,EQ,8400,3299,39.27
20,60,AREVAT&D,EQ,324827,144343,44.44
20,61,ARIES,EQ,23782,11778,49.52
20,62,ARIHANT,EQ,2433,1559,64.08
20,63,ARL,EQ,185033,122865,66.40
20,64,AROGRANITE,EQ,446,301,67.49
20,65,ARROWTEX,EQ,6018,5048,83.88
20,66,ARVIND,EQ,1364175,450084,32.99
20,67,ASAHIINDIA,EQ,27166,9380,34.53
20,68,ASHAPURMIN,EQ,63284,32511,51.37
20,69,ASHOKLEY,EQ,4409038,681577,15.46
20,70,ASIANHOTEL,EQ,1704,1418,83.22
20,71,ASIANPAINT,EQ,43225,41784,96.67
20,72,ASIANTILES,EQ,2002,1276,63.74
20,73,ASSAMCO,EQ,400307,210890,52.68
20,74,ASTRAL,EQ,805,653,81.12
20,75,ASTRAMICRO,EQ,183007,110688,60.48
20,76,ASTRAZEN,EQ,328,303,92.38
20,77,ATFL,EQ,14176,7013,49.47
20,78,ATLANTA,EQ,37988,17225,45.34
20,79,ATLASCYCLE,EQ,12861,4240,32.97
20,80,ATUL,EQ,46990,12639,26.90
20,81,AUROPHARMA,EQ,99831,44477,44.55
20,82,AUSTRAL,EQ,123507,40553,32.83
20,83,AUTOAXLES,EQ,1052,927,88.12
20,84,AUTOLITIND,EQ,100,100,100.00
20,85,AVENTIS,EQ,339,225,66.37
20,86,AVTNPL,EQ,292,183,62.67
20,87,AXIS-IT&T,EQ,4745,4745,100.00
20,88,AXISBANK,EQ,5447948,1060062,19.46
20,89,BAJAJ-AUTO,EQ,261696,194348,74.26
20,90,BAJAJELEC,EQ,6602,5449,82.54
20,91,BAJAJFINSV,EQ,5668,3754,66.23
20,92,BAJAJHIND,EQ,11501715,1869342,16.25
20,93,BAJAJHLDNG,EQ,47209,27386,58.01
20,94,BAJAUTOFIN,EQ,5271,2112,40.07
20,95,BALAJITELE,EQ,246152,111530,45.31
20,96,BALAMINES,EQ,510,360,70.59
20,97,BALKRISIND,EQ,973,73,7.50
20,98,BALLARPUR,EQ,958118,442651,46.20
20,99,BALMLAWRIE,EQ,1573,930,59.12
20,100,BALPHARMA,EQ,1338,711,53.14
20,101,BALRAMCHIN,EQ,4453355,1336702,30.02
20,102,BANARISUG,EQ,43,31,72.09
20,103,BANCOINDIA,EQ,29782,7316,24.57
20,104,BANG,EQ,2228,1998,89.68
20,105,BANKBARODA,EQ,335807,113895,33.92
20,106,BANKBEES,EQ,93,70,75.27
20,107,BANKINDIA,EQ,1458519,590976,40.52
20,108,BANKRAJAS,EQ,799929,284635,35.58
20,109,BARTRONICS,EQ,132058,48635,36.83
20,110,BASF,EQ,6879,5895,85.70
20,111,BASML,EQ,1006,403,40.06
20,112,BATAINDIA,EQ,75172,36980,49.19
20,113,BBL,EQ,11237,4379,38.97
20,114,BBTC,EQ,1575,1443,91.62
20,115,BEL,EQ,22544,10739,47.64
20,116,BEML,EQ,234261,36201,15.45
20,117,BEPL,EQ,3521,2652,75.32
20,118,BERGEPAINT,EQ,21802,16960,77.79
20,119,BFUTILITIE,EQ,7690,5017,65.24
20,120,BGRENERGY,EQ,369366,97288,26.34
20,121,BHAGWATIHO,EQ,3386,2115,62.46
20,122,BHAGYNAGAR,EQ,28880,18597,64.39
20,123,BHARATFORG,EQ,286513,64753,22.60
20,124,BHARATGEAR,EQ,127,125,98.43
20,125,BHARATRAS,EQ,51,51,100.00
20,126,BHARTIARTL,EQ,2347084,1324306,56.42
20,127,BHARTISHIP,EQ,162192,63851,39.37
20,128,BHEL,EQ,741233,266986,36.02
20,129,BHUSANSTL,EQ,198038,32740,16.53
20,130,BIL,EQ,290,250,86.21
20,131,BILPOWER,EQ,3942,2282,57.89
20,132,BINANICEM,EQ,80254,37113,46.24
20,133,BINANIIND,EQ,10173,7406,72.80
20,134,BINDALAGRO,EQ,158700,145293,91.55
20,135,BIOCON,EQ,1126239,394781,35.05
20,136,BIRLACORPN,EQ,28777,20538,71.37
20,137,BLKASHYAP,EQ,34365,10251,29.83
20,138,BLUEDART,EQ,7241,4468,61.70
20,139,BLUESTARCO,EQ,11122,9345,84.02
20,140,BOC,EQ,3109,1943,62.50
20,141,BOMDYEING,EQ,335700,80377,23.94
20,142,BOSCHLTD,EQ,1217,857,70.42
20,143,BPCL,EQ,504795,282082,55.88
20,144,BRANDHOUSE,EQ,147908,78859,53.32
20,145,BRFL,EQ,543518,91402,16.82
20,146,BRIGADE,EQ,37903,18889,49.84
20,147,BRITANNIA,EQ,457,271,59.30
20,148,BVCL,EQ,11985,9511,79.36
20,149,CADILAHC,EQ,146935,144433,98.30
20,150,CAIRN,EQ,2061762,617939,29.97
20,151,CALSOFT,EQ,1460,1310,89.73
20,152,CAMBRIDGE,EQ,1195,966,80.84
20,153,CANBK,EQ,292621,93787,32.05
20,154,CANDC,EQ,6668,4514,67.70
20,155,CARBORUNIV,EQ,2182,1530,70.12
20,156,CAROLINFO,EQ,6509,5445,83.65
20,157,CASTROL,EQ,10610,7199,67.85
20,158,CCCL,EQ,5940,3205,53.96
20,159,CCL,EQ,3487,2958,84.83
20,160,CELESTIAL,EQ,2952,2378,80.56
20,161,CENTENKA,EQ,4157,4041,97.21
20,162,CENTRALBK,EQ,311533,137613,44.17
20,163,CENTURYPLY,EQ,30028,23888,79.55
20,164,CENTURYTEX,EQ,897125,199829,22.27
20,165,CERA,EQ,256,256,100.00
20,166,CESC,EQ,448892,375824,83.72
20,167,CHAMBLFERT,EQ,5468594,1036212,18.95
20,168,CHEMFALKAL,EQ,2405,1125,46.78
20,169,CHEMPLAST,EQ,78648,51368,65.31
20,170,CHENNPETRO,EQ,169278,70219,41.48
20,171,CHETTINAD,EQ,6,5,83.33
20,172,CHI,EQ,22253,17721,79.63
20,173,CHOLADBS,EQ,17809,9566,53.71
20,174,CINEMAX,EQ,7125,3667,51.47
20,175,CINEVISTA,EQ,2282,2041,89.44
20,176,CIPLA,EQ,1549807,1009403,65.13
20,177,CLASSIC,EQ,52629,28207,53.60
20,178,CLNINDIA,EQ,1565,1069,68.31
20,179,CLUTCHAUTO,EQ,19509,15856,81.28
20,180,CMC,EQ,234837,41787,17.79
20,181,COLPAL,EQ,161559,94530,58.51
20,182,COMPUTECH,EQ,18049,13287,73.62
20,183,COMSYS,EQ,234,145,61.97
20,184,CONCOR,EQ,5350,2978,55.66
20,185,CONSOFINVT,EQ,2880,2829,98.23
20,186,CORDSCABLE,EQ,21408,14538,67.91
20,187,COREEMBLG,EQ,5677,5171,91.09
20,188,COREPROTEC,EQ,390450,138897,35.57
20,189,COROMNFERT,EQ,36359,12401,34.11
20,190,CORPBANK,EQ,75697,44944,59.37
