Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20102009,292558065,0001159
Trade Date <20-OCT-2009>,Settlement Type <N>,Settlement No <2009194>,Settlement Date <22-OCT-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,95186,37719,39.63
20,2,3IINFOTECH,EQ,2203304,1017599,46.19
20,3,3MINDIA,EQ,223,183,82.06
20,4,AARTIDRUGS,EQ,102174,31695,31.02
20,5,AARTIIND,EQ,130059,72853,56.02
20,6,AARVEEDEN,EQ,408,408,100.00
20,7,ABAN,EQ,701287,144355,20.58
20,8,ABB,EQ,135412,53794,39.73
20,9,ABCIL,EQ,13239,10508,79.37
20,10,ABGSHIP,EQ,86957,42674,49.07
20,11,ABHISHEK,EQ,8941,6860,76.73
20,12,ABIRLANUVO,EQ,75654,27077,35.79
20,13,ABSHEKINDS,EQ,148406,97205,65.50
20,14,ACC,EQ,277394,116868,42.13
20,15,ACE,EQ,403761,277190,68.65
20,16,ACKRUTI,EQ,160980,30479,18.93
20,17,ADANIENT,EQ,162901,132191,81.15
20,18,ADANIPOWER,EQ,1009577,799163,79.16
20,19,ADHUNIK,EQ,594753,340998,57.33
20,20,ADORWELD,EQ,102924,25733,25.00
20,21,ADSL,EQ,135422,65832,48.61
20,22,ADVANTA,EQ,2662,1619,60.82
20,23,AEGISCHEM,EQ,13404,10428,77.80
20,24,AFL,EQ,6886,4508,65.47
20,25,AFTEK,EQ,411798,243676,59.17
20,26,AGRODUTCH,EQ,108449,88830,81.91
20,27,AHMEDFORGE,EQ,20285,16528,81.48
20,28,AIAENG,EQ,65576,35662,54.38
20,29,AICHAMP,EQ,1436,1398,97.35
20,30,AJANTPHARM,EQ,2203,2082,94.51
20,31,AJMERA,EQ,688576,145446,21.12
20,32,ALBK,EQ,1814500,986617,54.37
20,33,ALCHEM,EQ,83869,37397,44.59
20,34,ALEMBICLTD,EQ,439535,263841,60.03
20,35,ALFALAVAL,EQ,779,419,53.79
20,36,ALKALI,EQ,140956,58251,41.33
20,37,ALKYLAMINE,EQ,452,100,22.12
20,38,ALLCARGO,EQ,2991,839,28.05
20,39,ALMONDZ,EQ,10686,9751,91.25
20,40,ALOKTEXT,EQ,4024660,1626509,40.41
20,41,ALPSINDUS,EQ,42186,27447,65.06
20,42,AMAR,EQ,84034,51495,61.28
20,43,AMARAJABAT,EQ,242294,143909,59.39
20,44,AMBIKCO,EQ,1680,904,53.81
20,45,AMBUJACEM,EQ,1729289,911335,52.70
20,46,AMDIND,EQ,3944,3214,81.49
20,47,AMTEKAUTO,EQ,492522,178733,36.29
20,48,AMTEKINDIA,EQ,73128,42345,57.91
20,49,ANANTRAJ,EQ,3840660,1459881,38.01
20,50,ANDHRABANK,EQ,2529854,932601,36.86
20,51,ANDHRSUGAR,EQ,156536,50532,32.28
20,52,ANIKINDS,EQ,9341,6409,68.61
20,53,ANKURDRUGS,EQ,185979,46943,25.24
20,54,ANSALHSG,EQ,116092,58472,50.37
20,55,ANSALINFRA,EQ,1055620,421951,39.97
20,56,ANTGRAPHIC,EQ,123712,102641,82.97
20,57,APARINDS,EQ,38251,11598,30.32
20,58,APCOTEXIND,EQ,8964,4706,52.50
20,59,APIL,EQ,513749,113543,22.10
20,60,APOLLOHOSP,EQ,21180,7080,33.43
20,61,APOLLOTYRE,EQ,16777068,4479402,26.70
20,62,APPAPER,EQ,1983,1443,72.77
20,63,APTECHT,EQ,843489,278826,33.06
20,64,ARCHIDPLY,EQ,5846,5627,96.25
20,65,AREVAT&D,EQ,620160,202014,32.57
20,66,ARL,EQ,520460,329779,63.36
20,67,AROGRANITE,EQ,6520,5536,84.91
20,68,ARVIND,EQ,3046986,1231144,40.41
20,69,ASAHIINDIA,EQ,653940,275726,42.16
20,70,ASAL,EQ,210,205,97.62
20,71,ASHIMASYN,EQ,9229,8254,89.44
20,72,ASHOKLEY,EQ,3048784,1517274,49.77
20,73,ASIANELEC,EQ,64096,38295,59.75
20,74,ASIANHOTEL,EQ,7197,4669,64.87
20,75,ASIANPAINT,EQ,13892,7886,56.77
20,76,ASIANTILES,EQ,490480,89368,18.22
20,77,ASIL,EQ,8100,7650,94.44
20,78,ASSAMCO,EQ,359942,178998,49.73
20,79,ASTRAL,EQ,11757,6965,59.24
20,80,ASTRAMICRO,EQ,404235,134670,33.31
20,81,ASTRAZEN,EQ,324,317,97.84
20,82,ATFL,EQ,6646,4175,62.82
20,83,ATLANTA,EQ,88768,33128,37.32
20,84,ATLASCYCLE,EQ,9614,6249,65.00
20,85,ATNINTER,EQ,33792,22585,66.84
20,86,ATUL,EQ,53090,28163,53.05
20,87,AURIONPRO,EQ,41,41,100.00
20,88,AUROPHARMA,EQ,173001,82163,47.49
20,89,AUSTRAL,EQ,11130061,5800215,52.11
20,90,AVAYAGCL,EQ,13640,9159,67.15
20,91,AVENTIS,EQ,461,424,91.97
