Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08022010,195785216,0001158
Trade Date <08-FEB-2010>,Settlement Type <N>,Settlement No <2010025>,Settlement Date <10-FEB-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,20014,11835,59.13
20,2,3IINFOTECH,EQ,770209,235579,30.59
20,3,3MINDIA,EQ,293,158,53.92
20,4,AARTIDRUGS,EQ,14798,4750,32.10
20,5,AARTIIND,EQ,42391,21476,50.66
20,6,AARVEEDEN,EQ,19679,15278,77.64
20,7,ABAN,EQ,2107915,275240,13.06
20,8,ABB,EQ,265075,124576,47.00
20,9,ABBOTINDIA,EQ,344,216,62.79
20,10,ABCIL,EQ,23466,15899,67.75
20,11,ABGSHIP,EQ,1047777,222576,21.24
20,12,ABIRLANUVO,EQ,98032,44435,45.33
20,13,ABSHEKINDS,EQ,220604,98298,44.56
20,14,ACC,EQ,323712,115252,35.60
20,15,ACE,EQ,77645,43773,56.38
20,16,ACKRUTI,EQ,116549,11578,9.93
20,17,ADANIENT,EQ,600302,537326,89.51
20,18,ADANIPOWER,EQ,2331355,854818,36.67
20,19,ADHUNIK,EQ,127719,54589,42.74
20,20,ADORWELD,EQ,32199,13795,42.84
20,21,ADSL,EQ,44340,15770,35.57
20,22,ADVANIHOTR,EQ,150,100,66.67
20,23,ADVANTA,EQ,27179,7106,26.15
20,24,AEGISCHEM,EQ,4486,2032,45.30
20,25,AHLUCONT,EQ,50129,27327,54.51
20,26,AHMEDFORGE,EQ,151906,53430,35.17
20,27,AIAENG,EQ,15188,7908,52.07
20,28,AICHAMP,EQ,6112,2912,47.64
20,29,AJANTPHARM,EQ,22669,7872,34.73
20,30,AJMERA,EQ,40276,14845,36.86
20,31,AKSHOPTFBR,EQ,37403,29373,78.53
20,32,ALBK,EQ,628002,329648,52.49
20,33,ALCHEM,EQ,89462,42407,47.40
20,34,ALEMBICLTD,EQ,57027,29704,52.09
20,35,ALFALAVAL,EQ,1421,1091,76.78
20,36,ALKALI,EQ,46250,16310,35.26
20,37,ALKYLAMINE,EQ,1498,472,31.51
20,38,ALLCARGO,EQ,30372,4009,13.20
20,39,ALMONDZ,EQ,1592,1180,74.12
20,40,ALOKTEXT,EQ,7723625,2746346,35.56
20,41,ALPA,EQ,16166,14853,91.88
20,42,ALPHAGEO,EQ,6595,2309,35.01
20,43,ALPSINDUS,EQ,100484,56070,55.80
20,44,AMAR,EQ,206340,85555,41.46
20,45,AMARAJABAT,EQ,69523,44910,64.60
20,46,AMARJOTHI,EQ,1481,1481,100.00
20,47,AMBIKCO,EQ,5545,2703,48.75
20,48,AMBUJACEM,EQ,1597442,849008,53.15
20,49,AMDIND,EQ,58312,29791,51.09
20,50,AMLSTEEL,EQ,650,650,100.00
20,51,AMRUTANJAN,EQ,2416,1520,62.91
20,52,AMTEKAUTO,EQ,76768,30503,39.73
20,53,AMTEKINDIA,EQ,102384,36904,36.04
20,54,ANANTRAJ,EQ,419261,239047,57.02
20,55,ANDHRABANK,EQ,1026128,445493,43.41
20,56,ANDHRSUGAR,EQ,10551,5072,48.07
20,57,ANGAUTO,EQ,7300,4940,67.67
20,58,ANIKINDS,EQ,1096,1095,99.91
20,59,ANKURDRUGS,EQ,41026,12753,31.09
20,60,ANSALHSG,EQ,33220,13584,40.89
20,61,ANSALINFRA,EQ,392906,92839,23.63
20,62,ANTGRAPHIC,EQ,107214,18448,17.21
20,63,APARINDS,EQ,3968,2153,54.26
20,64,APCOTEXIND,EQ,5462,4109,75.23
20,65,APIL,EQ,53825,15324,28.47
20,66,APOLLOHOSP,EQ,14460,5981,41.36
20,67,APOLLOTYRE,EQ,1431180,694293,48.51
20,68,APPAPER,EQ,31995,7126,22.27
20,69,APTECHT,EQ,729839,103702,14.21
20,70,ARCHIDPLY,EQ,1306,1140,87.29
20,71,ARCHIES,EQ,14273,6945,48.66
20,72,AREVAT&D,EQ,186768,66218,35.45
20,73,ARL,EQ,136912,120183,87.78
20,74,AROGRANITE,EQ,8003,3772,47.13
20,75,ARSHIYA,EQ,717,357,49.79
20,76,ARVIND,EQ,857152,193526,22.58
20,77,ASAHIINDIA,EQ,67010,31569,47.11
20,78,ASAL,EQ,1930,1178,61.04
20,79,ASHAPURMIN,EQ,92071,33278,36.14
20,80,ASHCO,EQ,127076,81525,64.15
20,81,ASHOKLEY,EQ,2029320,600817,29.61
20,82,ASIANELEC,EQ,174923,63580,36.35
20,83,ASIANHOTEL,EQ,2208,1912,86.59
20,84,ASIANPAINT,EQ,40737,25544,62.70
20,85,ASSAMCO,EQ,1309896,545004,41.61
20,86,ASTEC,EQ,482964,129011,26.71
20,87,ASTRAL,EQ,12576,7021,55.83
20,88,ASTRAMICRO,EQ,268615,62597,23.30
20,89,ASTRAZEN,EQ,1115,967,86.73
20,90,ATFL,EQ,1105,711,64.34
20,91,ATLANTA,EQ,134410,44649,33.22
