Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15112010,295401467,0001363
Trade Date <15-NOV-2010>,Settlement Type <N>,Settlement No <2010219>,Settlement Date <18-NOV-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,72914,58943,80.84
20,2,3IINFOTECH,EQ,1531935,418957,27.35
20,3,3MINDIA,EQ,824,811,98.42
20,4,AARTIDRUGS,EQ,53338,15294,28.67
20,5,AARTIIND,EQ,163833,68781,41.98
20,6,AARVEEDEN,EQ,18703,8903,47.60
20,7,ABAN,EQ,526533,69403,13.18
20,8,ABB,EQ,28456,8682,30.51
20,9,ABBOTINDIA,EQ,3299,1729,52.41
20,10,ABCIL,EQ,167368,68608,40.99
20,11,ABGSHIP,EQ,822208,91297,11.10
20,12,ABIRLANUVO,EQ,90858,30991,34.11
20,13,ACC,EQ,202177,63788,31.55
20,14,ACE,EQ,169481,73014,43.08
20,15,ACKRUTI,EQ,27212,10895,40.04
20,16,ADANIENT,EQ,369826,239512,64.76
20,17,ADANIPOWER,EQ,1350992,574895,42.55
20,18,ADFFOODS,EQ,14617,10451,71.50
20,19,ADHUNIK,EQ,345941,147269,42.57
20,20,ADORWELD,EQ,9282,5394,58.11
20,21,ADSL,EQ,103936,84805,81.59
20,22,ADVANTA,EQ,3967,1618,40.79
20,23,AEGISCHEM,EQ,61632,17199,27.91
20,24,AFL,EQ,195964,117495,59.96
20,25,AGCNET,EQ,6982,5267,75.44
20,26,AGRODUTCH,EQ,109005,81894,75.13
20,27,AHLEAST,EQ,1072,506,47.20
20,28,AHLUCONT,EQ,12664,8434,66.60
20,29,AHLWEST,EQ,1158,771,66.58
20,30,AHMEDFORGE,EQ,78864,37841,47.98
20,31,AIAENG,EQ,58063,55435,95.47
20,32,AICHAMP,EQ,711,689,96.91
20,33,AJANTPHARM,EQ,72190,12405,17.18
20,34,AJMERA,EQ,76109,28974,38.07
20,35,AKSHOPTFBR,EQ,632013,260735,41.25
20,36,AKZOINDIA,EQ,18317,11920,65.08
20,37,ALBK,EQ,872747,319652,36.63
20,38,ALCHEM,EQ,110155,27532,24.99
20,39,ALEMBICLTD,EQ,154019,98251,63.79
20,40,ALFALAVAL,EQ,1171,790,67.46
20,41,ALKALI,EQ,24270,10336,42.59
20,42,ALKYLAMINE,EQ,1375,0,0.00
20,43,ALLCARGO,EQ,26171,16977,64.87
20,44,ALLSEC,EQ,2628,1775,67.54
20,45,ALMONDZ,EQ,26966,21263,78.85
20,46,ALOKTEXT,EQ,36681952,7065558,19.26
20,47,ALPA,EQ,19651,12773,65.00
20,48,ALPHAGEO,EQ,5410,3714,68.65
20,49,ALPSINDUS,EQ,160354,73670,45.94
20,50,AMAR,EQ,75554,44401,58.77
20,51,AMARAJABAT,EQ,58587,28766,49.10
20,52,AMARJOTHI,EQ,16828,13020,77.37
20,53,AMBIKCO,EQ,20799,13769,66.20
20,54,AMBUJACEM,EQ,1306689,537283,41.12
20,55,AMDIND,EQ,37503,25435,67.82
20,56,AMLSTEEL,EQ,2492,2273,91.21
20,57,AMRUTANJAN,EQ,4365,2430,55.67
20,58,AMTEKAUTO,EQ,860411,462872,53.80
20,59,AMTEKINDIA,EQ,88340,65621,74.28
20,60,ANANTRAJ,EQ,631434,439800,69.65
20,61,ANDHRABANK,EQ,2511877,1006982,40.09
20,62,ANDHRACEMT,EQ,64371,41414,64.34
20,63,ANDHRSUGAR,EQ,8344,5613,67.27
20,64,ANGIND,EQ,19763,11958,60.51
20,65,ANIKINDS,EQ,6374,5074,79.60
20,66,ANKURDRUGS,EQ,83350,53762,64.50
20,67,ANSALAPI,EQ,161757,103399,63.92
20,68,ANSALHSG,EQ,15053,9559,63.50
20,69,ANTGRAPHIC,EQ,1767792,227923,12.89
20,70,APARINDS,EQ,22383,15552,69.48
20,71,APCOTEXIND,EQ,2419,1260,52.09
20,72,APIL,EQ,32060,13123,40.93
20,73,APLAB,EQ,9161,54,0.59
20,74,APOLLOHOSP,EQ,61495,34642,56.33
20,75,APOLLOTYRE,EQ,5499614,2860081,52.01
20,76,APPAPER,EQ,16138,9688,60.03
20,77,APTECHT,EQ,411204,176320,42.88
20,78,AQUA,EQ,237170,150924,63.64
20,79,ARCHIDPLY,EQ,285121,175083,61.41
20,80,ARCHIES,EQ,380584,143859,37.80
20,81,AREVAT&D,EQ,239900,193005,80.45
20,82,ARIES,EQ,47220,41244,87.34
20,83,ARIHANT,EQ,1400,1341,95.79
20,84,ARL,EQ,242924,167327,68.88
20,85,AROGRANITE,EQ,9680,7463,77.10
20,86,ARROWTEX,EQ,112141,79863,71.22
20,87,ARSHIYA,EQ,22629,14538,64.24
