Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29112010,310668519,0001353
Trade Date <29-NOV-2010>,Settlement Type <D>,Settlement No <2010228>,Settlement Date <01-DEC-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,10,10,100.00
Trade Date <29-NOV-2010>,Settlement Type <N>,Settlement No <2010228>,Settlement Date <01-DEC-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,87345,34673,39.70
20,3,3IINFOTECH,EQ,794031,324878,40.92
20,4,3MINDIA,EQ,1454,1354,93.12
20,5,AARTIDRUGS,EQ,14288,10175,71.21
20,6,AARTIIND,EQ,72825,30198,41.47
20,7,AARVEEDEN,EQ,2222,1797,80.87
20,8,ABAN,EQ,693076,198792,28.68
20,9,ABB,EQ,123257,52030,42.21
20,10,ABBOTINDIA,EQ,5544,3555,64.12
20,11,ABCIL,EQ,22640,17378,76.76
20,12,ABGSHIP,EQ,1172876,67365,5.74
20,13,ABIRLANUVO,EQ,80463,48459,60.23
20,14,ACC,EQ,305794,140503,45.95
20,15,ACE,EQ,104521,61602,58.94
20,16,ACKRUTI,EQ,112930,52602,46.58
20,17,ADANIENT,EQ,2719763,1884141,69.28
20,18,ADANIPOWER,EQ,3566221,2506250,70.28
20,19,ADFFOODS,EQ,26633,15063,56.56
20,20,ADHUNIK,EQ,154785,78694,50.84
20,21,ADORWELD,EQ,9111,5570,61.13
20,22,ADSL,EQ,73112,49463,67.65
20,23,ADVANTA,EQ,9698,4108,42.36
20,24,AEGISCHEM,EQ,192338,47454,24.67
20,25,AFL,EQ,11292,7030,62.26
20,26,AGCNET,EQ,4910,3773,76.84
20,27,AGRODUTCH,EQ,77762,41753,53.69
20,28,AHLEAST,EQ,4114,1489,36.19
20,29,AHLUCONT,EQ,49452,43318,87.60
20,30,AHLWEST,EQ,1378,571,41.44
20,31,AHMEDFORGE,EQ,60707,31497,51.88
20,32,AIAENG,EQ,125777,124828,99.25
20,33,AJANTPHARM,EQ,20468,9000,43.97
20,34,AJMERA,EQ,44144,21001,47.57
