Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24122010,185201317,0001430
Trade Date <24-DEC-2010>,Settlement Type <N>,Settlement No <2010246>,Settlement Date <28-DEC-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,9172,5544,60.44
20,2,3IINFOTECH,EQ,453010,162381,35.84
20,3,3MINDIA,EQ,217,147,67.74
20,4,A2ZMES,EQ,9296960,693018,7.45
20,5,AARTIDRUGS,EQ,11295,4720,41.79
20,6,AARTIIND,EQ,10790,7405,68.63
20,7,AARVEEDEN,EQ,2296,1981,86.28
20,8,ABAN,EQ,371377,54825,14.76
20,9,ABB,EQ,264714,50707,19.16
20,10,ABBOTINDIA,EQ,930,484,52.04
20,11,ABCIL,EQ,2437,2130,87.40
20,12,ABGSHIP,EQ,1934618,307644,15.90
20,13,ABHISHEK,EQ,18612,13392,71.95
20,14,ABIRLANUVO,EQ,77552,44655,57.58
20,15,ABSHEKINDS,EQ,43073,25465,59.12
20,16,ACC,EQ,541130,455745,84.22
20,17,ACE,EQ,58821,35205,59.85
20,18,ACKRUTI,EQ,32240,21427,66.46
20,19,ADANIENT,EQ,169364,95266,56.25
20,20,ADANIPOWER,EQ,579031,249171,43.03
20,21,ADFFOODS,EQ,35687,20408,57.19
20,22,ADHUNIK,EQ,49158,20981,42.68
20,23,ADORWELD,EQ,1545,974,63.04
20,24,ADSL,EQ,19350,9601,49.62
20,25,ADVANIHOTR,EQ,1168,1168,100.00
20,26,ADVANTA,EQ,778,518,66.58
20,27,AEGISCHEM,EQ,82274,20157,24.50
20,28,AFL,EQ,4328,2327,53.77
20,29,AFTEK,EQ,98424,67607,68.69
20,30,AGCNET,EQ,3939,2948,74.84
20,31,AGRODUTCH,EQ,337109,323021,95.82
20,32,AHLEAST,EQ,1173,941,80.22
20,33,AHLUCONT,EQ,6972,4489,64.39
20,34,AHLWEST,EQ,1269,710,55.95
20,35,AHMEDFORGE,EQ,29520,17286,58.56
20,36,AIAENG,EQ,30210,27526,91.12
20,37,AJANTPHARM,EQ,4871,1825,37.47
20,38,AJMERA,EQ,101762,15464,15.20
20,39,AKSHOPTFBR,EQ,106732,65508,61.38
