Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21092018,1035034937,0001804
rade Date <21-SEP-2018>,Settlement Type <N>,Settlement No <2018180>,Settlement Date <25-SEP-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,87346,66458,76.09
20,2,21STCENMGM,EQ,801,551,68.79
20,3,3IINFOTECH,EQ,5907575,1933457,32.73
20,4,3MINDIA,EQ,2003,1065,53.17
20,5,5PAISA,EQ,24849,15211,61.21
20,6,63MOONS,EQ,282271,138218,48.97
20,7,A2ZINFRA,EQ,486844,297034,61.01
20,8,AARON,SM,3000,3000,100.00
20,9,AARTIDRUGS,EQ,55146,28261,51.25
20,10,AARTIIND,EQ,35295,22101,62.62
20,11,AARVEEDEN,EQ,18477,13847,74.94
20,12,AARVI,SM,16000,12000,75.00
20,13,ABAN,EQ,1002073,357469,35.67
20,14,ABB,EQ,145552,60012,41.23
20,15,ABBOTINDIA,EQ,18632,11408,61.23
20,16,ABCAPITAL,EQ,3678460,2453179,66.69
20,17,ABFRL,EQ,1369815,607140,44.32
20,18,ACC,EQ,528944,94840,17.93
20,19,ACCELYA,EQ,49609,44671,90.05
20,20,ACCURACY,SM,8000,8000,100.00
20,21,ACE,EQ,264702,197490,74.61
20,22,ADANIENT,EQ,12829824,2410587,18.79
20,23,ADANIGREEN,EQ,871518,667429,76.58
20,24,ADANIPORTS,EQ,3241191,854389,26.36
20,25,ADANIPOWER,EQ,35274496,5767791,16.35
20,26,ADANITRANS,EQ,696746,337364,48.42
20,27,ADFFOODS,EQ,62475,29533,47.27
20,28,ADHUNIKIND,EQ,16257,10092,62.08
20,29,ADLABS,EQ,117381,82224,70.05
20,30,ADORWELD,EQ,21407,13284,62.05
20,31,ADSL,EQ,37720,28734,76.18
20,32,ADVANIHOTR,EQ,18597,13354,71.81
20,33,ADVENZYMES,EQ,221519,133955,60.47
20,34,AEGISCHEM,EQ,108535,77507,71.41
20,35,AFL,EQ,41833,24070,57.54
20,36,AGARIND,EQ,21078,20683,98.13
20,37,AGCNET,EQ,6404,5208,81.32
20,38,AGLSL,EQ,5509,3020,54.82
20,39,AGRITECH,EQ,19416,10618,54.69
20,40,AGROPHOS,SM,120000,102000,85.00
20,41,AHLEAST,EQ,17623,16077,91.23
20,42,AHLUCONT,EQ,4627,2325,50.25
20,43,AHLWEST,EQ,1754,947,53.99
20,44,AIAENG,EQ,74871,35870,47.91
20,45,AIFL,EQ,157265,62972,40.04
20,46,AIRAN,SM,22500,20000,88.89
20,47,AIROLAM,SM,30000,27000,90.00
20,48,AISL,SM,1200,1200,100.00
20,49,AJANTPHARM,EQ,541790,87230,16.10
20,50,AJMERA,EQ,93140,43382,46.58
20,51,AKASH,SM,36000,36000,100.00
20,52,AKSHARCHEM,EQ,4385,2450,55.87
20,53,AKSHOPTFBR,EQ,1440438,589784,40.94
20,54,AKZOINDIA,EQ,4346,2320,53.38
20,55,ALANKIT,EQ,1167215,216064,18.51
20,56,ALBERTDAVD,EQ,69564,23957,34.44
20,57,ALBK,EQ,6175904,1093286,17.70
20,58,ALEMBICLTD,EQ,619508,195605,31.57
20,59,ALICON,EQ,5907,4101,69.43
20,60,ALKALI,EQ,11552,7368,63.78
20,61,ALKEM,EQ,46127,25850,56.04
20,62,ALKYLAMINE,EQ,5041,3679,72.98
20,63,ALLCARGO,EQ,458327,275447,60.10
20,64,ALLSEC,EQ,68749,27687,40.27
20,65,ALPA,EQ,41987,35657,84.92
20,66,ALPHAGEO,EQ,12679,6684,52.72
20,67,AMARAJABAT,EQ,603744,129542,21.46
20,68,AMBANIORG,SM,4000,4000,100.00
20,69,AMBER,EQ,38250,29384,76.82
20,70,AMBIKCO,EQ,4040,2657,65.77
20,71,AMBUJACEM,EQ,3464829,1960906,56.59
20,72,AMDIND,EQ,3499,3038,86.82
20,73,AMJLAND,EQ,40434,24208,59.87
20,74,AMJUMBO,SM,8000,6000,75.00
20,75,AMRUTANJAN,EQ,35450,15180,42.82
20,76,ANANTRAJ,EQ,1738098,1203869,69.26
20,77,ANDHRABANK,EQ,7885525,2523511,32.00
20,78,ANDHRACEMT,EQ,109037,76047,69.74
20,79,ANDHRSUGAR,EQ,294115,93424,31.76
20,80,ANIKINDS,EQ,3780,3666,96.98
20,81,ANSALAPI,EQ,171089,115333,67.41
20,82,ANSALHSG,EQ,28219,15196,53.85
20,83,APARINDS,EQ,18558,18206,98.10
20,84,APCL,EQ,1506,967,64.21
20,85,APCOTEXIND,EQ,14961,8948,59.81
20,86,APEX,EQ,81361,45811,56.31
20,87,APLAPOLLO,EQ,60408,51890,85.90
20,88,APLLTD,EQ,171702,124894,72.74
20,89,APOLLO,EQ,27688,15140,54.68
20,90,APOLLOHOSP,EQ,1087190,406491,37.39
20,91,APOLLOTYRE,EQ,5453773,1664690,30.52
20,92,APOLSINHOT,EQ,212,108,50.94
20,93,APTECHT,EQ,541571,210516,38.87
20,94,ARCHIDPLY,EQ,22623,16377,72.39
20,95,ARCHIES,EQ,76792,43787,57.02
20,96,ARIES,EQ,67758,35131,51.85
20,97,ARIHANT,EQ,21193,587,2.77
20,98,ARIHANTSUP,EQ,32787,13095,39.94
20,99,ARMANFIN,EQ,7325,4684,63.95
20,100,AROGRANITE,EQ,35163,19951,56.74
20,101,ARROWGREEN,EQ,29297,18332,62.57
20,102,ARROWTEX,EQ,25488,20048,78.66
20,103,ARSHIYA,EQ,185722,18729,10.08
20,104,ARSSINFRA,EQ,16334,14513,88.85
