Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,14012020,516994544,0001776
Trade Date <14-JAN-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,42338,19770,46.70
20,2,21STCENMGM,EQ,604,604,100.00
20,3,3IINFOTECH,EQ,1488954,1069109,71.80
20,4,3MINDIA,EQ,1311,750,57.21
20,5,3PLAND,EQ,307,263,85.67
20,6,5PAISA,EQ,73107,21339,29.19
20,7,63MOONS,EQ,202039,54754,27.10
20,8,759GS2026,GS,1000,1000,100.00
20,9,A2ZINFRA,EQ,300209,238843,79.56
20,10,AARON,SM,3300,3300,100.00
20,11,AARTIDRUGS,EQ,252991,54158,21.41
20,12,AARTIIND,EQ,200401,108032,53.91
20,13,AARVEEDEN,EQ,9735,6133,63.00
20,14,AAVAS,EQ,15942,8518,53.43
20,15,ABAN,EQ,33182,23516,70.87
20,16,ABB,EQ,96552,66834,69.22
20,17,ABBOTINDIA,EQ,6074,4624,76.13
20,18,ABCAPITAL,EQ,1919376,683119,35.59
20,19,ABFRL,EQ,139700,80225,57.43
20,20,ABSLBANETF,EQ,3,1,33.33
20,21,ABSLFTSLRG,MF,3000,3000,100.00
20,22,ABSLNN50ET,EQ,73,56,76.71
20,23,ACC,EQ,850556,499067,58.68
20,24,ACCELYA,EQ,6827,3072,45.00
20,25,ACCURACY,SM,76800,75200,97.92
20,26,ACE,EQ,98904,53610,54.20
20,27,ADANIENT,EQ,1775182,237545,13.38
20,28,ADANIGAS,EQ,1181436,326242,27.61
20,29,ADANIGREEN,EQ,80682,80681,100.00
20,30,ADANIPORTS,EQ,1963128,661362,33.69
20,31,ADANIPOWER,EQ,5833027,1241081,21.28
20,32,ADANITRANS,EQ,68981,28353,41.10
20,33,ADFFOODS,EQ,17705,10543,59.55
20,34,ADHUNIKIND,EQ,11276,8889,78.83
20,35,ADORWELD,EQ,16625,8689,52.26
20,36,ADVANIHOTR,EQ,6314,4227,66.95
20,37,ADVENZYMES,EQ,185233,104323,56.32
20,38,AEGISCHEM,EQ,471057,221106,46.94
20,39,AFFLE,EQ,36992,12723,34.39
