Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06022020,593772078,0001749
Trade Date <06-FEB-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,26322,15357,58.34
20,2,21STCENMGM,EQ,1740,1740,100.00
20,3,3IINFOTECH,EQ,1146549,682351,59.51
20,4,3MINDIA,EQ,3664,1585,43.26
20,5,3PLAND,EQ,1967,1967,100.00
20,6,5PAISA,EQ,18028,6514,36.13
20,7,63MOONS,EQ,79033,34643,43.83
20,8,A2ZINFRA,EQ,697446,438269,62.84
20,9,AARON,SM,3300,3300,100.00
20,10,AARTIDRUGS,EQ,22048,14880,67.49
20,11,AARTIIND,EQ,134128,63645,47.45
20,12,AARVEEDEN,EQ,20597,10521,51.08
20,13,AAVAS,EQ,14201,5432,38.25
20,14,ABAN,EQ,52937,39960,75.49
20,15,ABB,EQ,25507,8232,32.27
20,16,ABBOTINDIA,EQ,5686,4299,75.61
20,17,ABCAPITAL,EQ,3639578,1229236,33.77
20,18,ABFRL,EQ,3115912,1359536,43.63
20,19,ABSLBANETF,EQ,34,34,100.00
20,20,ABSLNN50ET,EQ,61,44,72.13
20,21,ABSLRIF6RG,MF,11000,11000,100.00
20,22,ACC,EQ,820849,284631,34.68
20,23,ACCELYA,EQ,4929,3981,80.77
20,24,ACCURACY,SM,9600,6400,66.67
20,25,ACE,EQ,363014,173428,47.77
20,26,ADANIENT,EQ,8852675,1135069,12.82
20,27,ADANIGAS,EQ,872853,327088,37.47
20,28,ADANIGREEN,EQ,2711020,1006549,37.13
20,29,ADANIPORTS,EQ,4172547,2556457,61.27
20,30,ADANIPOWER,EQ,10491714,2075994,19.79
20,31,ADANITRANS,EQ,99932,48523,48.56
20,32,ADFFOODS,EQ,9878,5940,60.13
20,33,ADHUNIKIND,EQ,45972,25692,55.89
20,34,ADORWELD,EQ,3667,2488,67.85
20,35,ADVANIHOTR,EQ,17319,13792,79.64
20,36,ADVENZYMES,EQ,555123,144137,25.96
20,37,AEGISCHEM,EQ,229617,139721,60.85
20,38,AFFLE,EQ,132755,63082,47.52
20,39,AGARIND,EQ,13791,9384,68.04
20,40,AGCNET,EQ,78253,71637,91.55
20,41,AGRITECH,EQ,3725,1691,45.40
20,42,AGROPHOS,EQ,3363,3363,100.00
20,43,AHLADA,SM,3000,3000,100.00
20,44,AHLEAST,EQ,841,760,90.37
20,45,AHLUCONT,EQ,1603,870,54.27
20,46,AHLWEST,EQ,974,156,16.02
20,47,AIAENG,EQ,22162,11200,50.54
20,48,AIONJSW,EQ,169080,135148,79.93
20,49,AIRAN,EQ,9651,7197,74.57
20,50,AIROLAM,SM,6000,6000,100.00
20,51,AJANTPHARM,EQ,937391,188612,20.12
20,52,AJMERA,EQ,125749,52114,41.44
20,53,AKSHARCHEM,EQ,2198,1524,69.34
20,54,AKSHOPTFBR,EQ,129153,91321,70.71
20,55,AKZOINDIA,EQ,7115,4340,61.00
20,56,ALANKIT,EQ,239715,98962,41.28
20,57,ALBERTDAVD,EQ,16547,8823,53.32
20,58,ALBK,EQ,1517060,639571,42.16
20,59,ALEMBICLTD,EQ,189090,104002,55.00
20,60,ALICON,EQ,8062,4529,56.18
20,61,ALKALI,EQ,6688,4062,60.74
20,62,ALKEM,EQ,127417,92722,72.77
20,63,ALKYLAMINE,EQ,180427,80452,44.59
20,64,ALLCARGO,EQ,108294,59090,54.56
20,65,ALLSEC,EQ,3112,1865,59.93
20,66,ALMONDZ,EQ,976,975,99.90
20,67,ALPA,EQ,43244,16911,39.11
20,68,ALPHAGEO,EQ,9443,6574,69.62
20,69,AMARAJABAT,EQ,352819,103569,29.35
20,70,AMBER,EQ,33647,12031,35.76
20,71,AMBIKCO,EQ,5481,3192,58.24
20,72,AMBUJACEM,EQ,3569538,1949825,54.62
20,73,AMDIND,EQ,5839,5278,90.39
20,74,AMJLAND,EQ,1715,1661,96.85
20,75,AMJUMBO,SM,8000,8000,100.00
20,76,AMRUTANJAN,EQ,17928,10829,60.40
20,77,ANANTRAJ,EQ,312524,167195,53.50
20,78,ANDHRABANK,EQ,1214666,487304,40.12
20,79,ANDHRACEMT,EQ,51573,30613,59.36
20,80,ANDHRSUGAR,EQ,85234,46474,54.53
20,81,ANDPAPER,EQ,7009,2779,39.65
20,82,ANSALAPI,EQ,13588,7819,57.54
20,83,ANUP,EQ,24757,15881,64.15
20,84,APARINDS,EQ,23638,15068,63.74
20,85,APCL,EQ,2406,1660,68.99
20,86,APCOTEXIND,EQ,37787,25903,68.55
20,87,APEX,EQ,425244,96038,22.58
20,88,APLAPOLLO,EQ,36325,26288,72.37
20,89,APLLTD,EQ,469375,303332,64.62
20,90,APOLLO,EQ,11166,7101,63.59
20,91,APOLLOHOSP,EQ,552992,188190,34.03
20,92,APOLLOPIPE,EQ,26882,20468,76.14
20,93,APOLLOTYRE,EQ,5431485,877434,16.15
20,94,APOLSINHOT,EQ,674,551,81.75
20,95,APTECHT,EQ,133132,41296,31.02
20,96,ARCHIDPLY,EQ,15831,10544,66.60
20,97,ARCHIES,EQ,179318,93282,52.02
20,98,ARENTERP,EQ,3,3,100.00
20,99,ARIES,EQ,23912,14646,61.25
20,100,ARIHANT,EQ,1554,1231,79.21
20,101,ARIHANTSUP,EQ,657,545,82.95
20,102,ARMANFIN,EQ,12330,7639,61.95
20,103,AROGRANITE,EQ,2669,1792,67.14
20,104,ARROWGREEN,EQ,66797,32613,48.82
20,105,ARSHIYA,EQ,7805,5601,71.76
20,106,ARSSINFRA,EQ,21788,19592,89.92
20,107,ARTEMISMED,EQ,3063,2678,87.43
20,108,ARVIND,EQ,846101,456767,53.98
20,109,ARVINDFASN,EQ,106599,96379,90.41
20,110,ARVSMART,EQ,15696,11947,76.11
20,111,ASAHIINDIA,EQ,16070,9494,59.08
20,112,ASAHISONG,EQ,11767,10424,88.59
20,113,ASAL,EQ,3806,2418,63.53
20,114,ASCOM,SM,4000,4000,100.00
20,115,ASHAPURMIN,EQ,18883,18327,97.06
20,116,ASHIANA,EQ,11101,6798,61.24
20,117,ASHIMASYN,EQ,12646,11142,88.11
20,118,ASHOKA,EQ,632153,353791,55.97
20,119,ASHOKLEY,EQ,20629194,5720739,27.73
20,120,ASIANHOTNR,EQ,2025,1750,86.42
