Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,13032020,1619216853,0001889
Trade Date <13-MAR-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,63349,43043,67.95
20,2,21STCENMGM,EQ,223,183,82.06
20,3,3IINFOTECH,EQ,3203842,1525308,47.61
20,4,3MINDIA,EQ,14994,5982,39.90
20,5,3PLAND,EQ,166,166,100.00
20,6,5PAISA,EQ,11554,7876,68.17
20,7,63MOONS,EQ,292325,164063,56.12
20,8,726GS2029,GS,2160,2160,100.00
20,9,795GS2032,GS,100,100,100.00
20,10,808GS2022,GS,1,1,100.00
20,11,824GS2027,GS,100,100,100.00
20,12,824GS2033,GS,100,100,100.00
20,13,A2ZINFRA,EQ,2249787,1919928,85.34
20,14,AARON,SM,3300,3300,100.00
20,15,AARTIDRUGS,EQ,54740,18723,34.20
20,16,AARTIIND,EQ,539340,381086,70.66
20,17,AARVEEDEN,EQ,15863,11073,69.80
20,18,AARVI,SM,4000,4000,100.00
20,19,AAVAS,EQ,63465,37247,58.69
20,20,ABAN,EQ,158621,82861,52.24
20,21,ABB,EQ,113247,76038,67.14
20,22,ABBOTINDIA,EQ,45797,26811,58.54
20,23,ABCAPITAL,EQ,5129497,2421725,47.21
20,24,ABFRL,EQ,1280855,888339,69.36
20,25,ABINFRA,SM,8000,4000,50.00
20,26,ABSLBANETF,EQ,245,222,90.61
20,27,ABSLFTQWDG,MF,90000,90000,100.00
20,28,ABSLNN50ET,EQ,163,138,84.66
20,29,ABSLRIF6RG,MF,2500,2500,100.00
20,30,ACC,EQ,1195003,463720,38.80
20,31,ACCELYA,EQ,36112,32641,90.39
20,32,ACE,EQ,246180,110148,44.74
20,33,ACEINTEG,SM,3000,3000,100.00
20,34,ADANIENT,EQ,7463676,1133133,15.18
20,35,ADANIGAS,EQ,4102337,939123,22.89
20,36,ADANIGREEN,EQ,2367027,929261,39.26
20,37,ADANIPORTS,EQ,21079070,13302073,63.11
20,38,ADANIPOWER,EQ,20770964,5495678,26.46
20,39,ADANITRANS,EQ,365938,175490,47.96
20,40,ADFFOODS,EQ,415994,182619,43.90
