Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27042020,576605137,0001740
Trade Date <27-APR-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,22616,12924,57.15
20,2,21STCENMGM,EQ,2044,2044,100.00
20,3,3IINFOTECH,EQ,1819978,1105610,60.75
20,4,3MINDIA,EQ,5023,4178,83.18
20,5,3PLAND,EQ,7451,7451,100.00
20,6,5PAISA,EQ,5198,3800,73.11
20,7,706GS2046,GS,200,100,50.00
20,8,75GS2034,GS,158,158,100.00
20,9,A2ZINFRA,EQ,537306,380186,70.76
20,10,AARTIDRUGS,EQ,196738,56211,28.57
20,11,AARTIIND,EQ,817997,293368,35.86
20,12,AARVEEDEN,EQ,3237,3073,94.93
20,13,AARVI,SM,2000,2000,100.00
20,14,AAVAS,EQ,72369,65570,90.61
20,15,ABB,EQ,47484,20098,42.33
20,16,ABBOTINDIA,EQ,22738,10925,48.05
20,17,ABCAPITAL,EQ,2488329,688539,27.67
20,18,ABFRL,EQ,1088209,496521,45.63
20,19,ABSLBANETF,EQ,5,5,100.00
20,20,ABSLNN50ET,EQ,267,187,70.04
20,21,ACC,EQ,1469480,431174,29.34
20,22,ACCELYA,EQ,11898,9223,77.52
20,23,ACCURACY,SM,4800,1600,33.33
20,24,ACE,EQ,78074,45258,57.97
20,25,ADANIENT,EQ,2996933,536169,17.89
20,26,ADANIGAS,EQ,604363,224281,37.11
20,27,ADANIGREEN,EQ,391809,269147,68.69
20,28,ADANIPORTS,EQ,1845577,641894,34.78
20,29,ADANIPOWER,EQ,8557927,2107695,24.63
20,30,ADANITRANS,EQ,169473,105661,62.35
20,31,ADFFOODS,EQ,5813,4279,73.61
20,32,ADHUNIKIND,EQ,3059,2945,96.27
20,33,ADORWELD,EQ,1310,883,67.40
20,34,ADSL,EQ,65896,41302,62.68
20,35,ADVANIHOTR,EQ,3122,2199,70.44
20,36,ADVENZYMES,EQ,57407,35343,61.57
20,37,AEGISCHEM,EQ,232691,182609,78.48
20,38,AGARIND,EQ,6327,3540,55.95
20,39,AGRITECH,EQ,6489,4114,63.40
20,40,AGROPHOS,EQ,4714,4714,100.00
20,41,AHLEAST,EQ,2039,1756,86.12
20,42,AHLUCONT,EQ,4165,2418,58.06
20,43,AIAENG,EQ,21213,9232,43.52
20,44,AIRAN,EQ,12675,11422,90.11
20,45,AISL,SM,1200,1200,100.00
20,46,AJANTPHARM,EQ,334317,112318,33.60
20,47,AJMERA,EQ,54913,13171,23.99
20,48,AKSHARCHEM,EQ,6107,2665,43.64
