Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22052020,610478797,0001639
Trade Date <22-MAY-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,17957,11387,63.41
20,2,21STCENMGM,EQ,27,27,100.00
20,3,3IINFOTECH,EQ,1883857,1146132,60.84
20,4,3MINDIA,EQ,1825,757,41.48
20,5,3PLAND,EQ,500,500,100.00
20,6,5PAISA,EQ,20000,11714,58.57
20,7,716GS2050,GS,100,100,100.00
20,8,719GS2060,GS,101,101,100.00
20,9,75GS2034,GS,220,220,100.00
20,10,A2ZINFRA,EQ,69393,50463,72.72
20,11,AAKASH,SM,6000,6000,100.00
20,12,AARTIDRUGS,EQ,158918,57448,36.15
20,13,AARTIIND,EQ,452080,141158,31.22
20,14,AARVEEDEN,EQ,4924,3716,75.47
20,15,AARVI,SM,4000,4000,100.00
20,16,AAVAS,EQ,13866,6353,45.82
20,17,ABB,EQ,126840,65853,51.92
20,18,ABBOTINDIA,EQ,9692,5044,52.04
20,19,ABCAPITAL,EQ,4304414,515350,11.97
20,20,ABFRL,EQ,3112451,866421,27.84
20,21,ABSLBANETF,EQ,821,495,60.29
20,22,ABSLNN50ET,EQ,196,140,71.43
20,23,ABSLRIF6RG,MF,5000,5000,100.00
20,24,ACC,EQ,1632263,273644,16.76
20,25,ACCELYA,EQ,2941,1340,45.56
20,26,ACE,EQ,79831,47676,59.72
20,27,ADANIENT,EQ,2449109,595562,24.32
20,28,ADANIGAS,EQ,4406548,1053958,23.92
20,29,ADANIGREEN,EQ,495551,322011,64.98
20,30,ADANIPORTS,EQ,3428549,891323,26.00
20,31,ADANIPOWER,EQ,13601869,3192369,23.47
20,32,ADANITRANS,EQ,575536,372146,64.66
20,33,ADFFOODS,EQ,94930,51864,54.63
20,34,ADHUNIKIND,EQ,48167,40242,83.55
20,35,ADORWELD,EQ,3243,1341,41.35
20,36,ADSL,EQ,11053,7910,71.56
20,37,ADVANIHOTR,EQ,2360,1392,58.98
20,38,ADVENZYMES,EQ,60991,35450,58.12
20,39,AEGISCHEM,EQ,62689,46244,73.77
20,40,AGARIND,EQ,35632,25126,70.52
20,41,AGROPHOS,EQ,40200,40200,100.00
20,42,AHLADA,SM,9000,4000,44.44
20,43,AHLEAST,EQ,4946,913,18.46
20,44,AHLUCONT,EQ,1930,1521,78.81
20,45,AIAENG,EQ,42951,35459,82.56
20,46,AIRAN,EQ,34872,24065,69.01
20,47,AJANTPHARM,EQ,225860,47553,21.05
20,48,AJMERA,EQ,32041,16218,50.62
20,49,AKSHARCHEM,EQ,14099,7723,54.78
20,50,AKSHOPTFBR,EQ,73483,48298,65.73
20,51,AKZOINDIA,EQ,5494,3022,55.01
20,52,ALANKIT,EQ,29615,21396,72.25
20,53,ALBERTDAVD,EQ,54574,18917,34.66
20,54,ALEMBICLTD,EQ,425885,222897,52.34
20,55,ALICON,EQ,454,340,74.89
20,56,ALKALI,EQ,5472,4221,77.14
20,57,ALKEM,EQ,94050,42525,45.22
20,58,ALKYLAMINE,EQ,61807,27306,44.18
20,59,ALLCARGO,EQ,47490,25847,54.43
20,60,ALLSEC,EQ,6252,5542,88.64
20,61,ALMONDZ,EQ,3839,3281,85.46
20,62,ALOKINDS,EQ,6739340,3743737,55.55
20,63,ALPA,EQ,21750,16066,73.87
20,64,ALPHAGEO,EQ,32570,23763,72.96
20,65,AMARAJABAT,EQ,4067306,228589,5.62
20,66,AMBER,EQ,57077,29953,52.48
20,67,AMBIKCO,EQ,1140,747,65.53
20,68,AMBUJACEM,EQ,6953579,2429612,34.94
20,69,AMDIND,EQ,14362,11948,83.19
20,70,AMJLAND,EQ,3980,3780,94.97
20,71,AMJUMBO,SM,16000,16000,100.00
20,72,AMRUTANJAN,EQ,37150,20597,55.44
20,73,ANANTRAJ,EQ,77112,42224,54.76
20,74,ANDHRAPAP,EQ,4776,2610,54.65
20,75,ANDHRSUGAR,EQ,25335,17814,70.31
20,76,ANKITMETAL,EQ,374,361,96.52
20,77,ANSALHSG,EQ,15549,12555,80.74
20,78,ANUP,EQ,8869,7870,88.74
20,79,APARINDS,EQ,3180,1473,46.32
20,80,APCL,EQ,14940,6682,44.73
20,81,APCOTEXIND,EQ,27839,14831,53.27
20,82,APEX,EQ,83989,35084,41.77
20,83,APLAPOLLO,EQ,37057,13407,36.18
20,84,APLLTD,EQ,808034,307043,38.00
20,85,APOLLO,EQ,79914,34447,43.11
20,86,APOLLOHOSP,EQ,775353,171684,22.14
20,87,APOLLOPIPE,EQ,42902,17877,41.67
20,88,APOLLOTYRE,EQ,6964251,821425,11.79
20,89,APOLSINHOT,EQ,268,23,8.58
20,90,APTECHT,EQ,119770,44018,36.75
20,91,ARCHIDPLY,EQ,6922,5134,74.17
20,92,ARENTERP,EQ,36,36,100.00
20,93,ARIES,EQ,17563,10637,60.56
20,94,ARIHANT,EQ,877,701,79.93
20,95,ARIHANTSUP,EQ,2354,1376,58.45
20,96,ARMANFIN,EQ,29669,17971,60.57
20,97,AROGRANITE,EQ,13415,11751,87.60
20,98,ARTEMISMED,EQ,1959,1224,62.48
20,99,ARVIND,EQ,2546666,449259,17.64
20,100,ARVINDFASN,EQ,316873,278147,87.78
20,101,ARVSMART,EQ,15166,11548,76.14
20,102,ASAHIINDIA,EQ,16393,6733,41.07
20,103,ASAHISONG,EQ,2411,1412,58.56
20,104,ASAL,EQ,6814,6625,97.23
20,105,ASALCBR,EQ,154794,77311,49.94
20,106,ASCOM,SM,4000,4000,100.00
20,107,ASHAPURMIN,EQ,75067,69262,92.27
20,108,ASHIANA,EQ,14441,10749,74.43
20,109,ASHOKA,EQ,111314,67294,60.45
20,110,ASHOKLEY,EQ,29579130,7329867,24.78
20,111,ASIANHOTNR,EQ,89283,39378,44.10
20,112,ASIANPAINT,EQ,5203737,1594454,30.64
20,113,ASIANTILES,EQ,59978,20405,34.02
20,114,ASTEC,EQ,224521,60523,26.96
20,115,ASTERDM,EQ,344142,134271,39.02
20,116,ASTRAL,EQ,68214,28691,42.06
20,117,ASTRAMICRO,EQ,56082,25573,45.60
20,118,ASTRAZEN,EQ,151730,28267,18.63
20,119,ASTRON,EQ,8425,7105,84.33
20,120,ATFL,EQ,1355,700,51.66
20,121,ATLANTA,EQ,42592,33500,78.65
20,122,ATUL,EQ,15476,8377,54.13
20,123,ATULAUTO,EQ,112183,107986,96.26
20,124,AUBANK,EQ,800996,534716,66.76
20,125,AURIONPRO,EQ,4610,2925,63.45
20,126,AUROPHARMA,EQ,5086125,782719,15.39
20,127,AUTOAXLES,EQ,19515,6456,33.08
20,128,AUTOLITIND,EQ,1037,794,76.57
20,129,AVADHSUGAR,EQ,54365,34876,64.15
20,130,AVANTIFEED,EQ,254636,104535,41.05
20,131,AVTNPL,EQ,54659,34079,62.35
20,132,AXISBANK,EQ,48368474,15450047,31.94
20,133,AXISCADES,EQ,24116,17194,71.30
20,134,AXISGOLD,EQ,1429,638,44.65
20,135,AXISNIFTY,EQ,11,11,100.00
20,136,AYMSYNTEX,EQ,10784,9640,89.39
20,137,BABAFOOD,SM,2000,2000,100.00
20,138,BAJAJ-AUTO,EQ,1328369,440828,33.19
20,139,BAJAJCON,EQ,98241,68753,69.98
20,140,BAJAJELEC,EQ,52133,15285,29.32
20,141,BAJAJFINSV,EQ,2725018,486592,17.86
20,142,BAJAJHIND,EQ,2351076,1421269,60.45
20,143,BAJAJHLDNG,EQ,194719,138407,71.08
20,144,BAJFINANCE,EQ,16195152,3491621,21.56
20,145,BALAJITELE,EQ,43262,31517,72.85
20,146,BALAMINES,EQ,86077,22160,25.74
20,147,BALKRISHNA,EQ,4906,4112,83.82
20,148,BALKRISIND,EQ,784410,178981,22.82
20,149,BALLARPUR,EQ,641302,584562,91.15
