Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11062020,1365083031,0001799
Trade Date <11-JUN-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,46329,35358,76.32
20,2,21STCENMGM,EQ,37,37,100.00
20,3,3IINFOTECH,EQ,9977299,5749462,57.63
20,4,3MINDIA,EQ,7088,4352,61.40
20,5,3PLAND,EQ,15,15,100.00
20,6,5PAISA,EQ,10003,9160,91.57
20,7,63MOONS,EQ,62667,54550,87.05
20,8,719GS2060,GS,80,80,100.00
20,9,A2ZINFRA,EQ,567478,260052,45.83
20,10,AARON,SM,3300,3300,100.00
20,11,AARTIDRUGS,EQ,52480,26803,51.07
20,12,AARTIIND,EQ,275490,133463,48.45
20,13,AARVEEDEN,EQ,16720,12307,73.61
20,14,AAVAS,EQ,89345,48073,53.81
20,15,ABAN,EQ,86054,55811,64.86
20,16,ABB,EQ,123269,47545,38.57
20,17,ABBOTINDIA,EQ,19232,10546,54.84
20,18,ABCAPITAL,EQ,7551307,1747269,23.14
20,19,ABFRL,EQ,1814479,570930,31.47
20,20,ABSLBANETF,EQ,500,500,100.00
20,21,ABSLNN50ET,EQ,33,23,69.70
20,22,ACC,EQ,865237,169338,19.57
20,23,ACCELYA,EQ,6815,2821,41.39
20,24,ACCURACY,SM,16000,12800,80.00
20,25,ACE,EQ,1176090,499167,42.44
20,26,ADANIENT,EQ,16533100,2617307,15.83
20,27,ADANIGAS,EQ,2528253,721387,28.53
20,28,ADANIGREEN,EQ,5505021,3164084,57.48
20,29,ADANIPORTS,EQ,4260956,1752011,41.12
20,30,ADANIPOWER,EQ,11304368,2413475,21.35
20,31,ADANITRANS,EQ,4767879,2074281,43.51
20,32,ADFFOODS,EQ,55770,24528,43.98
20,33,ADHUNIKIND,EQ,24120,19809,82.13
20,34,ADORWELD,EQ,6297,3347,53.15
20,35,ADROITINFO,EQ,45570,28969,63.57
20,36,ADSL,EQ,87968,70224,79.83
20,37,ADVANIHOTR,EQ,46495,36831,79.21
20,38,ADVENZYMES,EQ,165323,92715,56.08
