Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072020,832428273,0001662
Trade Date <17-JUL-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,35504,19076,53.73
20,2,21STCENMGM,EQ,1183,1183,100.00
20,3,3IINFOTECH,EQ,7139138,4157105,58.23
20,4,3MINDIA,EQ,6102,3529,57.83
20,5,3PLAND,EQ,1,1,100.00
20,6,509GS2022,GS,100,100,100.00
20,7,522GS2025,GS,7,7,100.00
20,8,5PAISA,EQ,341181,211394,61.96
20,9,716GS2050,GS,70,70,100.00
20,10,737GS2023,GS,1,1,100.00
20,11,757GS2033,GS,2,1,50.00
20,12,75GS2034,GS,1,1,100.00
20,13,763GS2059,GS,400,400,100.00
20,14,A2ZINFRA,EQ,365600,155818,42.62
20,15,AARON,SM,9900,9900,100.00
20,16,AARTIDRUGS,EQ,133954,72585,54.19
20,17,AARTIIND,EQ,187976,89269,47.49
20,18,AARVI,EQ,432,352,81.48
20,19,AAVAS,EQ,27448,20992,76.48
20,20,ABAN,EQ,50489,34128,67.59
20,21,ABB,EQ,101310,46799,46.19
20,22,ABBOTINDIA,EQ,14330,8155,56.91
20,23,ABCAPITAL,EQ,1957970,655055,33.46
20,24,ABFRL,EQ,1320301,492062,37.27
20,25,ABSLBANETF,EQ,3245,1500,46.22
20,26,ABSLNN50ET,EQ,47,25,53.19
20,27,ABSLRIF6RG,MF,25074,15037,59.97
20,28,ACC,EQ,1179386,364481,30.90
20,29,ACCELYA,EQ,31545,14521,46.03
20,30,ACCORD,SM,2000,2000,100.00
20,31,ACCURACY,SM,24000,22400,93.33
20,32,ACE,EQ,567653,183256,32.28
20,33,ADANIENT,EQ,2222846,311927,14.03
20,34,ADANIGAS,EQ,822875,258183,31.38
20,35,ADANIGREEN,EQ,586031,251802,42.97
20,36,ADANIPORTS,EQ,3264266,1290345,39.53
20,37,ADANIPOWER,EQ,5039398,1901028,37.72
20,38,ADANITRANS,EQ,257246,162510,63.17
20,39,ADFFOODS,EQ,10327,6901,66.82
20,40,ADORWELD,EQ,15623,6654,42.59
20,41,ADSL,EQ,52192,42610,81.64
20,42,ADVANIHOTR,EQ,5648,4671,82.70
20,43,ADVENZYMES,EQ,96745,50013,51.70
20,44,AEGISCHEM,EQ,229297,93107,40.61
20,45,AFFLE,EQ,18334,9936,54.19
20,46,AGARIND,EQ,8986,6567,73.08
20,47,AGCNET,EQ,26702,24001,89.88
20,48,AGROPHOS,EQ,41953,37395,89.14
20,49,AHLADA,SM,6000,3000,50.00
20,50,AHLEAST,EQ,1519,1265,83.28
20,51,AHLUCONT,EQ,12334,5319,43.12
