Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04092020,1075455455,0001835
Trade Date <04-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,50185,35538,70.81
20,2,21STCENMGM,EQ,6071,6071,100.00
20,3,3IINFOTECH,EQ,4927518,2973209,60.34
20,4,3MINDIA,EQ,3854,2071,53.74
20,5,3PLAND,EQ,501,501,100.00
20,6,63MOONS,EQ,22401,16928,75.57
20,7,716GS2050,GS,103,103,100.00
20,8,719GS2060,GS,220,200,90.91
20,9,A2ZINFRA,EQ,498691,437672,87.76
20,10,AARON,SM,6300,6300,100.00
20,11,AARTIDRUGS,EQ,217939,72494,33.26
20,12,AARTIIND,EQ,219343,117223,53.44
20,13,AARVEEDEN,EQ,4071,2838,69.71
20,14,AARVI,EQ,1070,930,86.92
20,15,AAVAS,EQ,42620,28547,66.98
20,16,ABAN,EQ,70899,37799,53.31
20,17,ABB,EQ,142693,90958,63.74
20,18,ABBOTINDIA,EQ,10275,4727,46.00
20,19,ABCAPITAL,EQ,29993208,5381283,17.94
20,20,ABFRL,EQ,2457098,695160,28.29
20,21,ABFRLPP,E1,65628,31346,47.76
20,22,ABSLBANETF,EQ,116,82,70.69
20,23,ABSLNN50ET,EQ,146,97,66.44
20,24,ACC,EQ,783809,141018,17.99
20,25,ACCELYA,EQ,10530,6633,62.99
20,26,ACCURACY,SM,6400,4800,75.00
20,27,ACE,EQ,170097,61477,36.14
20,28,ADANIENT,EQ,6720255,522679,7.78
20,29,ADANIGAS,EQ,7651638,1523975,19.92
20,30,ADANIGREEN,EQ,993071,720748,72.58
20,31,ADANIPORTS,EQ,7628188,2395338,31.40
20,32,ADANIPOWER,EQ,3218545,1466248,45.56
20,33,ADANITRANS,EQ,467633,192015,41.06
20,34,ADFFOODS,EQ,74353,37378,50.27
20,35,ADHUNIKIND,EQ,17767,12130,68.27
20,36,ADORWELD,EQ,5177,3184,61.50
20,37,ADSL,EQ,56805,35096,61.78
20,38,ADVANIHOTR,EQ,10291,5544,53.87
20,39,ADVENZYMES,EQ,1437542,837157,58.24
20,40,AEGISCHEM,EQ,327446,196325,59.96
20,41,AFFLE,EQ,147126,61287,41.66
20,42,AGARIND,EQ,24173,16237,67.17
20,43,AGCNET,EQ,7166,2596,36.23
20,44,AGRITECH,EQ,18510,11038,59.63
20,45,AGROPHOS,EQ,28030,17685,63.09
20,46,AHLADA,SM,2000,2000,100.00
20,47,AHLEAST,EQ,644,378,58.70
20,48,AHLUCONT,EQ,117526,24311,20.69
20,49,AHLWEST,EQ,217,147,67.74
20,50,AIAENG,EQ,38137,32641,85.59
20,51,AIONJSW,EQ,659497,573449,86.95
20,52,AIRAN,EQ,33876,18752,55.35
20,53,AIROLAM,SM,3000,3000,100.00
20,54,AJANTPHARM,EQ,147294,45371,30.80
20,55,AJMERA,EQ,43664,20153,46.15
20,56,AJOONI,SM,48000,24000,50.00
20,57,AKG,SM,12000,8000,66.67
20,58,AKSHARCHEM,EQ,17300,8630,49.88
20,59,AKSHOPTFBR,EQ,702185,462165,65.82
20,60,AKZOINDIA,EQ,9793,6057,61.85
20,61,ALANKIT,EQ,448653,171300,38.18
20,62,ALBERTDAVD,EQ,18606,10455,56.19
20,63,ALCHEM,EQ,53097,49693,93.59
20,64,ALEMBICLTD,EQ,1017034,422561,41.55
20,65,ALICON,EQ,16682,8743,52.41
20,66,ALKALI,EQ,11762,6248,53.12
20,67,ALKEM,EQ,61916,27327,44.14
20,68,ALKYLAMINE,EQ,53256,21903,41.13
20,69,ALLCARGO,EQ,407098,190472,46.79
20,70,ALLSEC,EQ,3504,2436,69.52
20,71,ALMONDZ,EQ,25819,10333,40.02
20,72,ALOKINDS,EQ,10630582,5588205,52.57
20,73,ALPA,EQ,134212,102589,76.44
20,74,ALPHAGEO,EQ,12645,8456,66.87
20,75,ALPSINDUS,EQ,19044,15541,81.61
20,76,AMARAJABAT,EQ,939631,103618,11.03
20,77,AMBANIORG,SM,2000,2000,100.00
20,78,AMBER,EQ,193178,72052,37.30
20,79,AMBIKCO,EQ,6033,4104,68.03
20,80,AMBUJACEM,EQ,3950171,2135845,54.07
20,81,AMDIND,EQ,17403,11285,64.85
