Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27102020,676303612,0001795
Trade Date <27-OCT-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,12199,5708,46.79
20,2,21STCENMGM,EQ,1423,1421,99.86
20,3,3IINFOTECH,EQ,2478774,1678001,67.69
20,4,3MINDIA,EQ,4614,2476,53.66
20,5,63MOONS,EQ,37656,22575,59.95
20,6,716GS2050,GS,181,181,100.00
20,7,719GS2060,GS,563,563,100.00
20,8,75GS2034,GS,1,1,100.00
20,9,A2ZINFRA,EQ,136254,82905,60.85
20,10,AAATECH,SM,15000,12000,80.00
20,11,AAKASH,EQ,46987,24043,51.17
20,12,AARON,SM,6300,6300,100.00
20,13,AARTIDRUGS,EQ,577406,284636,49.30
20,14,AARTIIND,EQ,161998,76707,47.35
20,15,AARVEEDEN,EQ,1727,1209,70.01
20,16,AARVI,EQ,816,565,69.24
20,17,AAVAS,EQ,25410,4544,17.88
20,18,ABAN,EQ,32532,25240,77.59
20,19,ABB,EQ,239419,169086,70.62
20,20,ABBOTINDIA,EQ,10467,8432,80.56
20,21,ABCAPITAL,EQ,2254103,440135,19.53
20,22,ABFRL,EQ,5933369,1223390,20.62
20,23,ABFRLPP,E1,151491,65501,43.24
20,24,ABSLBANETF,EQ,275,270,98.18
20,25,ABSLNN50ET,EQ,5,5,100.00
20,26,ABSLRIF6RG,MF,2507,2507,100.00
20,27,ACC,EQ,3953879,1263316,31.95
20,28,ACCELYA,EQ,6964,2543,36.52
20,29,ACE,EQ,76193,32943,43.24
20,30,ADANIENT,EQ,3550035,437481,12.32
20,31,ADANIGAS,EQ,1208489,493399,40.83
20,32,ADANIGREEN,EQ,930072,543295,58.41
20,33,ADANIPORTS,EQ,5869581,1342010,22.86
20,34,ADANIPOWER,EQ,1159020,289677,24.99
20,35,ADANITRANS,EQ,105493,57955,54.94
20,36,ADFFOODS,EQ,24120,10151,42.09
20,37,ADHUNIKIND,EQ,3551,1948,54.86
20,38,ADORWELD,EQ,7930,4914,61.97
20,39,ADSL,EQ,133441,20982,15.72
20,40,ADVANIHOTR,EQ,3304,2512,76.03
20,41,ADVENZYMES,EQ,325490,102836,31.59
20,42,AEGISCHEM,EQ,348373,101139,29.03
20,43,AFFLE,EQ,34805,16958,48.72
20,44,AGARIND,EQ,5982,4738,79.20
20,45,AGCNET,EQ,181397,56374,31.08
20,46,AGRITECH,EQ,5535,3722,67.24
20,47,AGROPHOS,EQ,13714,10995,80.17
20,48,AHLEAST,EQ,1362,1304,95.74
20,49,AHLUCONT,EQ,11499,6684,58.13
20,50,AHLWEST,EQ,683,207,30.31
20,51,AIAENG,EQ,48347,8956,18.52
20,52,AIRAN,EQ,77110,72452,93.96
20,53,AIROLAM,SM,6000,3000,50.00
20,54,AJANTPHARM,EQ,72184,17917,24.82
20,55,AJMERA,EQ,36347,11907,32.76
20,56,AJOONI,SM,28000,20000,71.43
20,57,AKG,SM,28000,16000,57.14
20,58,AKSHARCHEM,EQ,7206,3383,46.95
20,59,AKSHOPTFBR,EQ,95225,50702,53.24
20,60,AKZOINDIA,EQ,5544,3632,65.51
20,61,ALANKIT,EQ,274506,53095,19.34
20,62,ALBERTDAVD,EQ,10205,6914,67.75
20,63,ALCHEM,EQ,31701,24986,78.82
20,64,ALEMBICLTD,EQ,299753,84426,28.17
20,65,ALICON,EQ,8841,3458,39.11
20,66,ALKALI,EQ,7459,3560,47.73
20,67,ALKEM,EQ,197211,107361,54.44
20,68,ALKYLAMINE,EQ,23653,14494,61.28
20,69,ALLCARGO,EQ,216995,90348,41.64
20,70,ALLSEC,EQ,5859,3470,59.23
20,71,ALMONDZ,EQ,6963,5692,81.75
20,72,ALOKINDS,EQ,9539268,2391028,25.07
20,73,ALPA,EQ,123665,75284,60.88
20,74,ALPHAGEO,EQ,7804,4872,62.43
20,75,ALPSINDUS,EQ,3458,3348,96.82
20,76,AMARAJABAT,EQ,1421183,176910,12.45
20,77,AMBER,EQ,270687,132820,49.07
20,78,AMBIKCO,EQ,8714,6803,78.07
20,79,AMBUJACEM,EQ,13207219,4880061,36.95
20,80,AMDIND,EQ,2643,1473,55.73
20,81,AMJLAND,EQ,70374,58315,82.86
20,82,AMJUMBO,SM,48000,40000,83.33
20,83,AMRUTANJAN,EQ,15820,8089,51.13
20,84,ANANTRAJ,EQ,91230,61818,67.76
20,85,ANDHRACEMT,EQ,316318,190273,60.15
20,86,ANDHRAPAP,EQ,11528,6785,58.86
20,87,ANDHRSUGAR,EQ,28416,18461,64.97
20,88,ANGELBRKG,EQ,4710027,1063464,22.58
20,89,ANIKINDS,EQ,4664,4435,95.09
20,90,ANSALAPI,EQ,43821,28929,66.02
20,91,ANSALHSG,EQ,18776,17559,93.52
20,92,ANUP,EQ,7024,4138,58.91
20,93,APARINDS,EQ,14118,7305,51.74
20,94,APCL,EQ,131802,51467,39.05
20,95,APCOTEXIND,EQ,846437,218981,25.87
20,96,APEX,EQ,51343,33364,64.98
20,97,APLAPOLLO,EQ,104987,36484,34.75
20,98,APLLTD,EQ,212091,107550,50.71
20,99,APOLLO,EQ,19237,11230,58.38
20,100,APOLLOHOSP,EQ,1429731,500121,34.98
20,101,APOLLOPIPE,EQ,91247,58886,64.53
20,102,APOLLOTYRE,EQ,9819752,1286347,13.10
20,103,APOLSINHOT,EQ,727,380,52.27
20,104,APTECHT,EQ,136097,37511,27.56
20,105,ARCHIDPLY,EQ,6972,4803,68.89
20,106,ARCHIES,EQ,10245,7889,77.00
20,107,ARENTERP,EQ,695,695,100.00
20,108,ARIES,EQ,19170,12110,63.17
20,109,ARIHANT,EQ,4183,1214,29.02
20,110,ARIHANTSUP,EQ,8098,8095,99.96
20,111,ARMANFIN,EQ,1887,1072,56.81
20,112,AROGRANITE,EQ,192907,90165,46.74
20,113,ARROWGREEN,EQ,752,560,74.47
20,114,ARSSINFRA,EQ,3134,2587,82.55
20,115,ARTEMISMED,EQ,5592,4766,85.23
20,116,ARVIND,EQ,1078502,319285,29.60
20,117,ARVINDFASN,EQ,129125,94067,72.85
20,118,ARVSMART,EQ,484658,219025,45.19
20,119,ASAHIINDIA,EQ,19241,12746,66.24
20,120,ASAHISONG,EQ,16863,9784,58.02
20,121,ASAL,EQ,5975,5074,84.92
20,122,ASALCBR,EQ,12658,5474,43.25
20,123,ASHAPURMIN,EQ,61712,41052,66.52
20,124,ASHIANA,EQ,15484,8158,52.69
20,125,ASHOKA,EQ,301483,107985,35.82
20,126,ASHOKLEY,EQ,61371443,9763623,15.91
20,127,ASIANHOTNR,EQ,2771,1738,62.72
20,128,ASIANPAINT,EQ,4964904,1328297,26.75
20,129,ASIANTILES,EQ,124847,21921,17.56
20,130,ASPINWALL,EQ,203,110,54.19
20,131,ASTEC,EQ,82320,24632,29.92
20,132,ASTERDM,EQ,506543,372632,73.56
20,133,ASTRAL,EQ,74779,21616,28.91
20,134,ASTRAMICRO,EQ,352952,144935,41.06
