Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17112020,1168324435,0001898
Trade Date <17-NOV-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,31197,18314,58.70
20,2,21STCENMGM,EQ,689,689,100.00
20,3,3IINFOTECH,EQ,4488942,2718968,60.57
20,4,3MINDIA,EQ,7637,5112,66.94
20,5,3PLAND,EQ,604,604,100.00
20,6,5PAISA,EQ,13545,10606,78.30
20,7,63MOONS,EQ,101872,60273,59.17
20,8,716GS2050,GS,436,336,77.06
20,9,762GS2039,GS,1,1,100.00
20,10,824GS2033,GS,410,410,100.00
20,11,A2ZINFRA,EQ,490826,317106,64.61
20,12,AAATECH,SM,6000,6000,100.00
20,13,AAKASH,EQ,15384,3064,19.92
20,14,AARON,EQ,4650,4500,96.77
20,15,AARTIDRUGS,EQ,1156659,442540,38.26
20,16,AARTIIND,EQ,474494,327563,69.03
20,17,AARVEEDEN,EQ,16922,14392,85.05
20,18,AARVI,EQ,24189,19873,82.16
20,19,AAVAS,EQ,29390,26240,89.28
20,20,ABAN,EQ,146725,79605,54.25
20,21,ABB,EQ,94002,55335,58.87
20,22,ABBOTINDIA,EQ,15913,12169,76.47
20,23,ABCAPITAL,EQ,6332232,2332907,36.84
20,24,ABFRL,EQ,1790034,1052181,58.78
20,25,ABFRLPP,E1,51064,39557,77.47
20,26,ABSLBANETF,EQ,1572,879,55.92
20,27,ABSLNN50ET,EQ,447,337,75.39
20,28,ABSLRIF6RG,MF,26500,26000,98.11
20,29,ACC,EQ,2626953,714688,27.21
20,30,ACCELYA,EQ,4983,3111,62.43
20,31,ACE,EQ,722396,319938,44.29
20,32,ADANIENT,EQ,10496968,921242,8.78
20,33,ADANIGAS,EQ,15144641,2703540,17.85
20,34,ADANIGREEN,EQ,5333462,3043858,57.07
20,35,ADANIPORTS,EQ,11192618,3818822,34.12
20,36,ADANIPOWER,EQ,11199945,4326845,38.63
20,37,ADANITRANS,EQ,2679615,576809,21.53
20,38,ADFFOODS,EQ,46670,27249,58.39
20,39,ADHUNIKIND,EQ,36763,19847,53.99
20,40,ADORWELD,EQ,17746,7419,41.81
20,41,ADSL,EQ,269203,34677,12.88
20,42,ADVANIHOTR,EQ,37948,22649,59.68
20,43,ADVENZYMES,EQ,204198,114129,55.89
20,44,AEGISCHEM,EQ,505587,290888,57.53
20,45,AFFLE,EQ,121263,87477,72.14
20,46,AGARIND,EQ,15805,12513,79.17
20,47,AGRITECH,EQ,5445,4001,73.48
20,48,AGROPHOS,EQ,53015,40605,76.59
20,49,AHLEAST,EQ,2890,1716,59.38
20,50,AHLUCONT,EQ,24784,16178,65.28
20,51,AHLWEST,EQ,870,409,47.01
20,52,AIAENG,EQ,10893,6420,58.94
20,53,AIRAN,EQ,84037,39374,46.85
20,54,AISL,SM,3600,3600,100.00
20,55,AJANTPHARM,EQ,135842,87222,64.21
20,56,AJMERA,EQ,168008,75407,44.88
20,57,AJOONI,SM,12000,8000,66.67
20,58,AKASH,EQ,93369,65049,69.67
20,59,AKG,SM,4000,4000,100.00
20,60,AKSHARCHEM,EQ,19755,14126,71.51
20,61,AKSHOPTFBR,EQ,660940,359127,54.34
20,62,AKZOINDIA,EQ,24975,8463,33.89
20,63,ALANKIT,EQ,79670,67688,84.96
20,64,ALBERTDAVD,EQ,11836,8218,69.43
20,65,ALCHEM,EQ,24624,19681,79.93
20,66,ALEMBICLTD,EQ,428131,208163,48.62
20,67,ALICON,EQ,33667,15745,46.77
20,68,ALKALI,EQ,10005,8426,84.22
20,69,ALKEM,EQ,203422,176354,86.69
20,70,ALKYLAMINE,EQ,34536,17447,50.52
20,71,ALLCARGO,EQ,1015066,399995,39.41
20,72,ALLSEC,EQ,5666,3501,61.79
20,73,ALMONDZ,EQ,11150,10405,93.32
20,74,ALOKINDS,EQ,3384277,3309612,97.79
20,75,ALPHAGEO,EQ,21289,11132,52.29
20,76,ALPSINDUS,EQ,11092,10592,95.49
20,77,AMARAJABAT,EQ,535893,113518,21.18
20,78,AMBER,EQ,88338,33393,37.80
20,79,AMBIKCO,EQ,8975,5379,59.93
20,80,AMBUJACEM,EQ,13207472,5728658,43.37
20,81,AMDIND,EQ,16791,12060,71.82
20,82,AMJLAND,EQ,42987,35208,81.90
20,83,AMRUTANJAN,EQ,258524,139653,54.02
20,84,ANANTRAJ,EQ,211069,166569,78.92
20,85,ANDHRACEMT,EQ,205377,124513,60.63
20,86,ANDHRAPAP,EQ,9769,7148,73.17
20,87,ANDHRSUGAR,EQ,23331,15194,65.12
20,88,ANGELBRKG,EQ,632194,354111,56.01
20,89,ANIKINDS,EQ,26587,16405,61.70
20,90,ANKITMETAL,EQ,94783,90225,95.19
20,91,ANSALAPI,EQ,64059,49931,77.95
20,92,ANSALHSG,EQ,47070,21675,46.05
20,93,ANUP,EQ,14286,8342,58.39
20,94,APARINDS,EQ,56863,40190,70.68
20,95,APCL,EQ,62708,36079,57.53
20,96,APCOTEXIND,EQ,82402,46545,56.49
20,97,APEX,EQ,148321,84046,56.66
20,98,APLAPOLLO,EQ,32480,20134,61.99
20,99,APLLTD,EQ,322892,226622,70.19
20,100,APOLLO,EQ,41627,24008,57.67
20,101,APOLLOHOSP,EQ,1832334,505632,27.59
20,102,APOLLOPIPE,EQ,58457,39875,68.21
20,103,APOLLOTYRE,EQ,10585162,2665654,25.18
20,104,APOLSINHOT,EQ,7270,1823,25.08
20,105,APTECHT,EQ,248250,71923,28.97
20,106,ARCHIDPLY,EQ,338430,136014,40.19
20,107,ARCHIES,EQ,70987,61359,86.44
20,108,ARCOTECH,EQ,59768,38391,64.23
20,109,ARENTERP,EQ,746,740,99.20
20,110,ARIES,EQ,174425,76605,43.92
20,111,ARIHANT,EQ,351,351,100.00
20,112,ARIHANTSUP,EQ,8457,6126,72.44
20,113,ARMANFIN,EQ,7471,4699,62.90
20,114,AROGRANITE,EQ,26536,16568,62.44
20,115,ARROWGREEN,EQ,8161,5551,68.02
20,116,ARSHIYA,EQ,67102,51797,77.19
20,117,ARSSINFRA,EQ,10107,8121,80.35
20,118,ARTEMISMED,EQ,2433,1802,74.06
20,119,ARVIND,EQ,3805629,2028891,53.31
20,120,ARVINDFASN,EQ,682217,376449,55.18
20,121,ARVSMART,EQ,80902,34408,42.53
20,122,ASAHIINDIA,EQ,53775,30638,56.97
20,123,ASAHISONG,EQ,48963,29663,60.58
20,124,ASAL,EQ,7505,7357,98.03
20,125,ASALCBR,EQ,47953,29594,61.71
20,126,ASHAPURMIN,EQ,217261,141549,65.15
20,127,ASHIANA,EQ,2437948,2396078,98.28
20,128,ASHIMASYN,EQ,51772,41453,80.07
20,129,ASHOKA,EQ,1849361,913809,49.41
20,130,ASHOKLEY,EQ,27649089,5471924,19.79
20,131,ASIANHOTNR,EQ,30740,11204,36.45
20,132,ASIANPAINT,EQ,1699293,621938,36.60
20,133,ASIANTILES,EQ,114873,22672,19.74
20,134,ASLIND,SM,124000,124000,100.00
20,135,ASPINWALL,EQ,1655,892,53.90
20,136,ASTEC,EQ,351922,143998,40.92
20,137,ASTERDM,EQ,707917,362001,51.14
20,138,ASTRAL,EQ,1175764,356978,30.36
20,139,ASTRAMICRO,EQ,123348,77637,62.94
20,140,ASTRAZEN,EQ,45345,20441,45.08
20,141,ASTRON,EQ,8405,5045,60.02
20,142,ATFL,EQ,7796,5220,66.96
20,143,ATLANTA,EQ,50489,40773,80.76
20,144,ATUL,EQ,17031,10895,63.97
20,145,ATULAUTO,EQ,321052,177636,55.33
20,146,AUBANK,EQ,1931599,1354793,70.14
20,147,AURIONPRO,EQ,7142,5677,79.49
20,148,AUROPHARMA,EQ,5585491,2282177,40.86
20,149,AUSOMENT,EQ,67229,37272,55.44
20,150,AUTOAXLES,EQ,36547,22367,61.20
20,151,AUTOIND,EQ,35274,27434,77.77
20,152,AUTOLITIND,EQ,11451,10626,92.80
20,153,AVADHSUGAR,EQ,29044,14372,49.48
20,154,AVANTIFEED,EQ,211416,97513,46.12
20,155,AVROIND,SM,2000,2000,100.00
20,156,AVSL,SM,3000,3000,100.00
20,157,AVTNPL,EQ,276972,179816,64.92
20,158,AXISBANK,EQ,25960060,8682059,33.44
20,159,AXISBNKETF,EQ,4313,4041,93.69
20,160,AXISCADES,EQ,26643,17329,65.04
20,161,AXISGOLD,EQ,56365,42825,75.98
20,162,AXISNIFTY,EQ,6580,4997,75.94
20,163,AYMSYNTEX,EQ,33894,24917,73.51
20,164,BAGFILMS,EQ,109336,74518,68.16
20,165,BAJAJ-AUTO,EQ,501135,149044,29.74
20,166,BAJAJCON,EQ,417024,275723,66.12
20,167,BAJAJELEC,EQ,850594,146017,17.17
20,168,BAJAJFINSV,EQ,1172544,190323,16.23
20,169,BAJAJHIND,EQ,1163999,801427,68.85
20,170,BAJAJHLDNG,EQ,126745,57330,45.23
20,171,BAJFINANCE,EQ,5851523,1164474,19.90
20,172,BALAJITELE,EQ,107250,58159,54.23
20,173,BALAMINES,EQ,182778,67971,37.19
20,174,BALAXI,EQ,2291,1767,77.13
20,175,BALKRISHNA,EQ,14519,7607,52.39
20,176,BALKRISIND,EQ,1477904,654943,44.32
20,177,BALLARPUR,EQ,731621,541905,74.07
20,178,BALMLAWRIE,EQ,205580,148478,72.22
20,179,BALRAMCHIN,EQ,1063306,540930,50.87
20,180,BANARBEADS,EQ,6289,3526,56.07
20,181,BANARISUG,EQ,128,89,69.53
20,182,BANCOINDIA,EQ,527138,222622,42.23
20,183,BANDHANBNK,EQ,11071629,4792294,43.28
20,184,BANG,EQ,4040,2421,59.93
20,185,BANKA,EQ,7669,7537,98.28
20,186,BANKBARODA,EQ,21494471,3404288,15.84
20,187,BANKBEES,EQ,1530445,676981,44.23
20,188,BANKINDIA,EQ,1776083,818845,46.10
20,189,BANSWRAS,EQ,8753,7668,87.60
20,190,BASF,EQ,31077,18899,60.81
20,191,BASML,EQ,6687,2914,43.58
20,192,BATAINDIA,EQ,597702,150886,25.24
20,193,BAYERCROP,EQ,30960,18411,59.47
20,194,BBL,EQ,57850,17819,30.80
20,195,BBTC,EQ,82061,40425,49.26
20,196,BBTCL,SM,15000,12000,80.00
20,197,BCG,EQ,3011834,1907263,63.33
20,198,BCP,EQ,93423,54258,58.08
20,199,BDL,EQ,155515,51016,32.80
20,200,BEARDSELL,EQ,22591,20028,88.65
20,201,BEDMUTHA,EQ,31745,23782,74.92
20,202,BEL,EQ,4536016,1579627,34.82
20,203,BEML,EQ,239361,91400,38.19
20,204,BEPL,EQ,1010748,588118,58.19
20,205,BERGEPAINT,EQ,813193,270980,33.32
20,206,BETA,SM,4800,4800,100.00
20,207,BFINVEST,EQ,8977,3577,39.85
20,208,BFUTILITIE,EQ,194937,57432,29.46
20,209,BGRENERGY,EQ,537767,231642,43.07
20,210,BHAGERIA,EQ,23249,14622,62.89
20,211,BHAGYANGR,EQ,4532,4414,97.40
20,212,BHAGYAPROP,EQ,1077,727,67.50
20,213,BHANDARI,EQ,117565,110404,93.91
20,214,BHARATFORG,EQ,3239040,1190200,36.75
20,215,BHARATGEAR,EQ,11124,7429,66.78
20,216,BHARATRAS,EQ,4800,2720,56.67
20,217,BHARATWIRE,EQ,8124,6123,75.37
20,218,BHARTIARTL,EQ,18699305,8583821,45.90
20,219,BHEL,EQ,15666967,6282885,40.10
20,220,BIL,EQ,1039,631,60.73
20,221,BILENERGY,EQ,281640,225231,79.97
20,222,BINDALAGRO,EQ,47886,36585,76.40
20,223,BIOCON,EQ,3459673,1376201,39.78
20,224,BIRLACABLE,EQ,114399,72470,63.35
20,225,BIRLACORPN,EQ,374174,202297,54.06
20,226,BIRLAMONEY,EQ,166675,75676,45.40
20,227,BIRLATYRE,EQ,298988,179321,59.98
20,228,BKMINDST,EQ,25557,24357,95.30
20,229,BLBLIMITED,EQ,32489,14103,43.41
20,230,BLISSGVS,EQ,406946,64163,15.77
20,231,BLKASHYAP,EQ,245766,230469,93.78
20,232,BLS,EQ,61781,44471,71.98
20,233,BLUECOAST,EQ,200,200,100.00
20,234,BLUEDART,EQ,33978,12751,37.53
20,235,BLUESTARCO,EQ,105644,59754,56.56
20,236,BODALCHEM,EQ,1053302,500002,47.47
20,237,BOHRA,SM,4000,4000,100.00
20,238,BOMDYEING,EQ,4459466,1540119,34.54
20,239,BORORENEW,EQ,2036185,830173,40.77
20,240,BOSCHLTD,EQ,85398,35125,41.13
20,241,BPCL,EQ,22148246,5257381,23.74
20,242,BPL,EQ,563390,220023,39.05
