Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <02-JAN-2003>,Settlement No <2003002>,Settlement Date <07-JAN-2003>
10,MTO,02012003,039640114,0000730
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1317,1303,98.94
20,2,ABANLLOYD,EQ,6054,5079,83.89
20,3,ABB,EQ,4975,3570,71.76
20,4,ABBALPO,EQ,39136,32217,82.32
20,5,ABBOTTLAB,EQ,200,175,87.50
20,6,ABSHEKINDS,EQ,12631,10749,85.10
20,7,ABSIND,EQ,64351,38386,59.65
20,8,ACC,EQ,621888,197826,31.81
20,9,ADANIEXPO,EQ,31250,1000,3.20
20,10,ADLABSFILM,EQ,17137,9675,56.46
20,11,ADVANIORLI,EQ,5850,5721,97.79
20,12,AEGISCHEM,EQ,2100,2000,95.24
20,13,AFTEKINFO,EQ,554480,62386,11.25
20,14,AGEEGOLD,EQ,2503,2353,94.01
20,15,AGREVOIND,EQ,4186,3251,77.66
20,16,AGRODUTCH,EQ,9545,5850,61.29
20,17,AHMEDELEC,EQ,375,375,100.00
20,18,AHMEDFORGE,EQ,801,801,100.00
20,19,AJANTPHARM,EQ,5551,550,9.91
20,20,AKSHOPTFBR,EQ,8622,8010,92.90
20,21,ALBK,EQ,159530,115858,72.62
20,22,ALEMBICLTD,EQ,10419,2969,28.50
20,23,ALFALAVAL,EQ,726,669,92.15
20,24,ALOKTEXT,EQ,161480,105057,65.06
20,25,ALPSINDUS,EQ,254,200,78.74
20,26,AMARAJABAT,EQ,8678,5711,65.81
20,27,AMBUJARAJN,EQ,18870,17850,94.59
20,28,AMITSPIN,EQ,500,500,100.00
20,29,AMTREXAPPL,EQ,22072,19172,86.86
20,30,ANAMALFIN,EQ,800,800,100.00
20,31,ANDHRABANK,EQ,1307162,564189,43.16
20,32,ANDHRSUGAR,EQ,20203,12381,61.28
20,33,ANTGRAPHIC,EQ,500,500,100.00
20,34,APCOTEXLAT,EQ,408,301,73.77
20,35,APOLLOHOSP,EQ,139856,70661,50.52
20,36,APOLLOTYRE,EQ,116174,72999,62.84
20,37,APTECHT,EQ,300106,115609,38.52
20,38,ARCHIES,EQ,819,694,84.74
20,39,ARHAMFISCL,EQ,28550,27550,96.50
20,40,ARIHANTCRE,EQ,61950,26100,42.13
20,41,ARVINDMILL,EQ,466965,195894,41.95
20,42,ASAHIINDIA,EQ,963,961,99.79
20,43,ASHAPURMIN,EQ,300,300,100.00
20,44,ASHIMASYN,EQ,100,100,100.00
20,45,ASHKLEYFIN,EQ,4388,3538,80.63
20,46,ASHOKLEY,EQ,23533,16474,70.00
20,47,ASIANELEC,EQ,702,651,92.74
20,48,ASIANHOTEL,EQ,1306,1206,92.34
20,49,ASIANPAINT,EQ,1596,1395,87.41
20,50,ASTRAIDL,EQ,25,25,100.00
20,51,ATCOIND,EQ,13153,10924,83.05
20,52,ATFL,EQ,450,450,100.00
20,53,ATLASCOPCO,EQ,1884,1884,100.00
20,54,ATLASCYCLE,EQ,50,50,100.00
20,55,ATULPROD,EQ,1968,1750,88.92
20,56,AUROPHARMA,EQ,6739,5182,76.90
