Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02042008,163294168,0001214
Trade Date <02-APR-2008>,Settlement Type <N>,Settlement No <2008064>,Settlement Date <04-APR-2008>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,97778,36463,37.29
20,2,3MINDIA,EQ,275,261,94.91
20,3,AARTIDRUGS,EQ,14777,11753,79.54
20,4,AARTIIND,EQ,27359,12389,45.28
20,5,AARVEEDEN,EQ,1430,726,50.77
20,6,ABAN,EQ,60779,34646,57.00
20,7,ABB,EQ,190106,125429,65.98
20,8,ABGSHIP,EQ,7465,4849,64.96
20,9,ABIRLANUVO,EQ,38239,27407,71.67
20,10,ABSHEKINDS,EQ,66513,46463,69.86
20,11,ACC,EQ,299209,196692,65.74
20,12,ACE,EQ,286326,225490,78.75
20,13,ADANIENT,EQ,78221,55360,70.77
20,14,ADHUNIK,EQ,48335,18234,37.72
20,15,ADLABSFILM,EQ,1948592,322054,16.53
20,16,ADORWELD,EQ,13186,9246,70.12
20,17,ADSL,EQ,640,436,68.12
20,18,ADVANTA,EQ,1930,1363,70.62
20,19,AEGISCHEM,EQ,12165,8642,71.04
20,20,AFL,EQ,3361,2546,75.75
20,21,AFTEK,EQ,188513,81248,43.10
20,22,AGRODUTCH,EQ,38854,33475,86.16
20,23,AHMEDFORGE,EQ,5544,3447,62.18
20,24,AIAENG,EQ,1473,1084,73.59
20,25,AICHAMP,EQ,191,191,100.00
20,26,AIRDECCAN,EQ,351069,139641,39.78
20,27,AJANTPHARM,EQ,2306,1382,59.93
20,28,AKRUTI,EQ,371049,126416,34.07
20,29,AKSHOPTFBR,EQ,12496,9236,73.91
20,30,ALBK,EQ,380003,161224,42.43
20,31,ALCHEM,EQ,15310,9223,60.24
20,32,ALEMBICLTD,EQ,131093,60727,46.32
20,33,ALFALAVAL,EQ,265,196,73.96
20,34,ALKYLAMINE,EQ,3305,311,9.41
20,35,ALLCARGO,EQ,5560,286,5.14
20,36,ALLSEC,EQ,4701,2956,62.88
20,37,ALOKTEXT,EQ,342030,140545,41.09
20,38,ALPA,EQ,65746,39605,60.24
20,39,ALPHAGEO,EQ,573,467,81.50
20,40,ALPSINDUS,EQ,58785,31023,52.77
20,41,AMAR,EQ,37003,16265,43.96
20,42,AMARAJABAT,EQ,7139,4033,56.49
20,43,AMBICAAGAR,EQ,27555,25500,92.54
20,44,AMBIKCO,EQ,600,0,0.00
20,45,AMBUJACEM,EQ,401662,221096,55.05
20,46,AMDIND,EQ,4123,2780,67.43
20,47,AML,EQ,50284,50019,99.47
20,48,AMTEKAUTO,EQ,666193,351426,52.75
20,49,AMTEKINDIA,EQ,129482,67055,51.79
20,50,ANANTRAJ,EQ,9812,8733,89.00
20,51,ANDHRABANK,EQ,212411,107197,50.47
20,52,ANDHRSUGAR,EQ,15187,9103,59.94
20,53,ANGAUTO,EQ,6838,5592,81.78
20,54,ANKURDRUGS,EQ,31984,27781,86.86
20,55,ANSALHSG,EQ,13024,2469,18.96
20,56,ANSALINFRA,EQ,295585,141811,47.98
20,57,ANTGRAPHIC,EQ,468285,369437,78.89
20,58,APARINDS,EQ,842,586,69.60
20,59,APIL,EQ,52045,39894,76.65
20,60,APOLLOHOSP,EQ,6671,3862,57.89
20,61,APOLLOSIND,EQ,15699,6787,43.23
20,62,APOLLOTYRE,EQ,365279,151654,41.52
20,63,APPAPER,EQ,401,291,72.57
20,64,APTECHT,EQ,483525,145654,30.12
20,65,ARCHIES,EQ,119497,40270,33.70
20,66,ARIES,EQ,3584,1396,38.95
20,67,ARIHANT,EQ,591,582,98.48
20,68,ARL,EQ,506705,304384,60.07
20,69,AROGRANITE,EQ,180,125,69.44
20,70,ARROWGROUP,EQ,44502,28892,64.92
20,71,ARVINDMILL,EQ,753532,273135,36.25
20,72,ASAHIINDIA,EQ,92755,81382,87.74
20,73,ASAL,EQ,100,100,100.00
20,74,ASHAPURMIN,EQ,21448,11385,53.08
20,75,ASHCO,EQ,29301,14051,47.95
20,76,ASHIMASYN,EQ,12755,11263,88.30
20,77,ASHOKLEY,EQ,819273,294363,35.93
20,78,ASIANELEC,EQ,296485,93096,31.40
20,79,ASIANHOTEL,EQ,610,531,87.05
20,80,ASIANPAINT,EQ,5214,3058,58.65
20,81,ASIANTILES,EQ,44513,17384,39.05
20,82,ASIL,EQ,1449,1207,83.30
20,83,ASSAMCO,EQ,559895,358822,64.09
20,84,ASTRAL,EQ,4962,2182,43.97
20,85,ASTRAMICRO,EQ,104102,73431,70.54
20,86,ASTRAZEN,EQ,212,127,59.91
20,87,ATFL,EQ,4416,3386,76.68
20,88,ATLANTA,EQ,31465,16204,51.50
20,89,ATLASCYCLE,EQ,32687,14674,44.89
