Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <02-MAY-2002>,Settlement No <2002083>,Settlement Date <07-MAY-2002>
10,MTO,02052002,047616381,0000784
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1200,1050,87.50
20,2,ABANLLOYD,EQ,17275,14675,84.95
20,3,ABB,EQ,34865,28513,81.78
20,4,ABBALPO,EQ,28826,22512,78.10
20,5,ABBOTTLAB,EQ,160,130,81.25
20,6,ABSHEKINDS,EQ,4400,2300,52.27
20,7,ABSIND,EQ,16199,11869,73.27
20,8,ACC,EQ,1234272,580411,47.02
20,9,ADANIEXPO,EQ,72571,3539,4.88
20,10,ADLABSFILM,EQ,188359,73926,39.25
20,11,ADVANIORLI,EQ,1985,1255,63.22
20,12,AEGISCHEM,EQ,1765,1335,75.64
20,13,AFTEKINFO,EQ,1586807,171141,10.79
20,14,AGEEGOLD,EQ,703,295,41.96
20,15,AGREVOIND,EQ,28765,15259,53.05
20,16,AGRODUTCH,EQ,19345,15700,81.16
20,17,AHMEDELEC,EQ,11604,11520,99.28
20,18,AHMEDFORGE,EQ,3252,3251,99.97
20,19,AJANTPHARM,EQ,7037,797,11.33
20,20,AKSHOPTFBR,EQ,48623,33167,68.21
20,21,ALEMBICLTD,EQ,7886,5198,65.91
20,22,ALFALAVAL,EQ,931,876,94.09
20,23,ALOKTEXT,EQ,120193,97344,80.99
20,24,ALPSINDUS,EQ,147,147,100.00
20,25,AMARAJABAT,EQ,57160,30690,53.69
20,26,AMBUJARAJN,EQ,11553,11550,99.97
20,27,AMTREXAPPL,EQ,3352,3250,96.96
20,28,ANAMALFIN,EQ,101,101,100.00
20,29,ANDHRABANK,EQ,464887,288727,62.11
20,30,ANDHRSUGAR,EQ,4978,4928,99.00
20,31,ANTGRAPHIC,EQ,3150,3150,100.00
20,32,APCOTEXLAT,EQ,4442,2897,65.22
20,33,APOLLOHOSP,EQ,214885,69523,32.35
20,34,APOLLOTYRE,EQ,61695,45175,73.22
20,35,ARCHIES,EQ,9423,5228,55.48
20,36,ARHAMFISCL,EQ,21791,19404,89.05
20,37,ARIHANTCRE,EQ,98632,48731,49.41
20,38,ARIHANTRED,EQ,200,200,100.00
20,39,ARVINDMILL,EQ,1126745,685256,60.82
20,40,ASAHIINDIA,EQ,1855,1845,99.46
20,41,ASHAPURMIN,EQ,300,300,100.00
20,42,ASHIMASYN,EQ,1022,982,96.09
20,43,ASHKLEYFIN,EQ,35768,31632,88.44
20,44,ASHOKLEY,EQ,301174,187676,62.31
20,45,ASIANELEC,EQ,3750,3500,93.33
20,46,ASIANHOTEL,EQ,1795,1255,69.92
20,47,ASIANPAINT,EQ,5358,3600,67.19
20,48,ASSAMCO,EQ,860,830,96.51
20,49,ASSAMFRONT,EQ,108,108,100.00
20,50,ASTRAIDL,EQ,817,530,64.87
20,51,ATCOIND,EQ,1272766,362762,28.50
20,52,ATLASCOPCO,EQ,9597,7171,74.72
20,53,ATLASCYCLE,EQ,4160,3630,87.26
20,54,ATULPROD,EQ,4536,4214,92.90
20,55,AUROPHARMA,EQ,4774,3852,80.69
20,56,AUTOAXLES,EQ,75,75,100.00
20,57,AUTORIDFIN,EQ,500,500,100.00
20,58,AZTEC,EQ,644176,241870,37.55
20,59,BAGYAMETAL,EQ,830,830,100.00
20,60,BAJAJAUTO,EQ,129103,115213,89.24
20,61,BAJAJHIND,EQ,152,102,67.11
20,62,BAJAUTOFIN,EQ,47456,38320,80.75
20,63,BALAJIDIST,EQ,725,625,86.21
