Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02052003,056911418,0000690
Trade Date <02-MAY-2003>,Settlement Type <D>,Settlement No <2003083>,Settlement Date <06-MAY-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0981E13,GC,500,500,100.00
Trade Date <02-MAY-2003>,Settlement Type <N>,Settlement No <2003083>,Settlement Date <06-MAY-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIIND,EQ,425,425,100.00
20,3,ABANLLOYD,EQ,6261,5057,80.77
20,4,ABB,EQ,13571,9995,73.65
20,5,ABBALPO,EQ,17014,12520,73.59
20,6,ABSHEKINDS,EQ,17306,12440,71.88
20,7,ABSIND,EQ,24554,17355,70.68
20,8,ACC,EQ,1512524,270537,17.89
20,9,ADANIEXPO,EQ,38815,4462,11.50
20,10,ADLABSFILM,EQ,27275,19144,70.19
20,11,ADVANIORLI,EQ,8342,7642,91.61
20,12,AEGISCHEM,EQ,2222,2021,90.95
20,13,AFTEKINFO,EQ,1583288,128424,8.11
20,14,AGREVOIND,EQ,230,200,86.96
20,15,AGRODUTCH,EQ,7600,6200,81.58
20,16,AHMEDELEC,EQ,1300,1100,84.62
20,17,AHMEDFORGE,EQ,2238,1725,77.08
20,18,AJANTPHARM,EQ,4630,490,10.58
20,19,AKSHOPTFBR,EQ,7666,6460,84.27
20,20,ALBK,EQ,907545,591262,65.15
20,21,ALEMBICLTD,EQ,28776,21289,73.98
20,22,ALFALAVAL,EQ,11858,11500,96.98
20,23,ALOKTEXT,EQ,76785,62445,81.32
20,24,ALPSINDUS,EQ,1357,1115,82.17
20,25,AMARAJABAT,EQ,8503,7683,90.36
20,26,AMBUJARAJN,EQ,8572,8571,99.99
20,27,AMITSPIN,EQ,118,105,88.98
20,28,AMTREXAPPL,EQ,6750,6550,97.04
20,29,ANDHRABANK,EQ,2828573,1038785,36.72
20,30,ANDHRSUGAR,EQ,13882,11211,80.76
20,31,APCOTEXLAT,EQ,6975,5550,79.57
20,32,APOLLOHOSP,EQ,47338,14177,29.95
20,33,APOLLOTYRE,EQ,83297,34954,41.96
20,34,APTECHT,EQ,21974,14298,65.07
20,35,ARCHIES,EQ,7157,5071,70.85
20,36,ARHAMFISCL,EQ,3150,2800,88.89
20,37,ARIHANTCRE,EQ,53660,13972,26.04
20,38,ARL,EQ,51351,17179,33.45
20,39,ARVINDMILL,EQ,1193875,638697,53.50
20,40,ASAHIINDIA,EQ,12629,11154,88.32
20,41,ASHKLEYFIN,EQ,11578,10904,94.18
20,42,ASHOKLEY,EQ,788968,487137,61.74
20,43,ASIANELEC,EQ,4836,4715,97.50
20,44,ASIANHOTEL,EQ,631,471,74.64
20,45,ASIANPAINT,EQ,13612,10221,75.09
20,46,ASTRAIDL,EQ,25,25,100.00
20,47,ATCOIND,EQ,47193,37336,79.11
20,48,ATFL,EQ,6585,5285,80.26
20,49,ATLASCYCLE,EQ,401,401,100.00
20,50,ATULPROD,EQ,1304,1054,80.83
20,51,AUROPHARMA,EQ,37424,22188,59.29
20,52,AZTEC,EQ,36203,19803,54.70
20,53,BAJAJAUTO,EQ,177551,95980,54.06
20,54,BAJAJHIND,EQ,270,150,55.56
20,55,BAJAJPLAST,EQ,2,0,0.00
20,56,BAJAUTOFIN,EQ,5640,5380,95.39
20,57,BALAJIDIST,EQ,9250,6979,75.45
20,58,BALAJITELE,EQ,71443,37344,52.27
20,59,BALMLAWRIE,EQ,7464,1700,22.78
20,60,BALRAMCHIN,EQ,15407,14084,91.41
20,61,BANKBARODA,EQ,1873946,461496,24.63
20,62,BANKINDIA,EQ,2412841,929913,38.54
20,63,BANKPUNJAB,EQ,161317,107128,66.41
20,64,BANKRAJAS,EQ,226104,151505,67.01
20,65,BASF,EQ,13545,12777,94.33
20,66,BATAINDIA,EQ,16011,11961,74.70
20,67,BEL,EQ,258572,58508,22.63
20,68,BELCERAMIC,EQ,1377,1377,100.00
20,69,BEML,EQ,104475,39766,38.06
20,70,BERGEPAINT,EQ,807,528,65.43
20,71,BFLSOFTWAR,EQ,41006,16412,40.02
20,72,BGFL,EQ,10447,10247,98.09
20,73,BHARATFORG,EQ,169336,111030,65.57
20,74,BHARATGEAR,EQ,937,632,67.45
20,75,BHARATHOT,EQ,200,100,50.00
20,76,BHARTI,EQ,719456,493280,68.56
20,77,BHEL,EQ,702034,335026,47.72
20,78,BIL,EQ,5161,4961,96.12
20,79,BILT,EQ,71838,46418,64.61
20,80,BINDALAGRO,EQ,29713,22658,76.26
20,81,BIRLA3M,EQ,2109,1949,92.41
20,82,BIRLAERIC,EQ,5170,3890,75.24
20,83,BIRLAJUTE,EQ,99446,91800,92.31
20,84,BLBLIMITED,EQ,550,550,100.00
20,85,BLUECHIP,EQ,5300,2750,51.89
20,86,BLUEDART,EQ,13210,12350,93.49
20,87,BLUESTARCO,EQ,2706,2225,82.22
20,88,BLUESTINFO,EQ,5512,3394,61.57
20,89,BOMDYEING,EQ,73327,36603,49.92
20,90,BONGAIREFN,EQ,2244178,1044145,46.53
20,91,BPCL,EQ,418445,172149,41.14
20,92,BPL,EQ,30959,21096,68.14
20,93,BPLENGG,EQ,3550,3550,100.00
20,94,BPLREFRIG,EQ,2000,2000,100.00
20,95,BPLSANTECH,EQ,1,1,100.00
20,96,BPLSANUTIL,EQ,904,700,77.43
20,97,BRITANNIA,EQ,1887,993,52.62
20,98,BSELINFO,EQ,302,200,66.23
20,99,BSES,EQ,60081,53313,88.74
20,100,BSL,EQ,158,158,100.00
20,101,CADILAHC,EQ,22048,12940,58.69
20,102,CALSOFT,EQ,200,200,100.00
20,103,CANBK,EQ,6003420,1030581,17.17
20,104,CANFINHOME,EQ,17296,16246,93.93
20,105,CARBORUNIV,EQ,4335,3815,88.00
20,106,CEAT,EQ,91724,57631,62.83
20,107,CENTENKA,EQ,15320,9937,64.86
20,108,CENTURION,EQ,453442,256384,56.54
20,109,CENTURYTEX,EQ,538912,234079,43.44
20,110,CESC,EQ,91753,69387,75.62
20,111,CGIGARSH,EQ,2338,2018,86.31
20,112,CHAMBLFERT,EQ,590888,477397,80.79
20,113,CHEMPLAST,EQ,5374,4590,85.41
20,114,CHENNPETRO,EQ,514756,348647,67.73
20,115,CHESLINTEX,EQ,4200,4200,100.00
20,116,CHLORIDIND,EQ,20625,13421,65.07
20,117,CHOLAINV,EQ,6207,4902,78.98
20,118,CIMCOBIRLA,EQ,34,16,47.06
20,119,CINEVISTA,EQ,2915,2005,68.78
20,120,CIPL,EQ,1726,1726,100.00
20,121,CIPLA,EQ,34224,17608,51.45
20,122,CITICORSEC,EQ,32481,24378,75.05
20,123,CLARIANT,EQ,552,502,90.94
20,124,CMC,EQ,26166,10661,40.74
20,125,COATESIND,EQ,6005,5795,96.50
20,126,COCHINREFN,EQ,33360,33360,100.00
20,127,COLGATE,EQ,44874,31197,69.52
20,128,COLORCHEM,EQ,3897,2880,73.90
20,129,COMPUDYNE,EQ,47339,33401,70.56
20,130,COMPUTECH,EQ,33655,25625,76.14
20,131,CONCOR,EQ,16791,11728,69.85
20,132,CONSCOFFEE,EQ,253,200,79.05
20,133,COREPARENT,EQ,810,810,100.00
20,134,COROMNFERT,EQ,2995,2400,80.13
20,135,CORPBANK,EQ,40822,22227,54.45
20,136,COSMOFILMS,EQ,251484,95818,38.10
20,137,CREATIVEYE,EQ,15115,8485,56.14
20,138,CRESTCOMM,EQ,77639,39808,51.27
20,139,CRISIL,EQ,520,510,98.08
20,140,CROMPGREAV,EQ,43672,32797,75.10
20,141,CUB,EQ,16466,14380,87.33
20,142,CYBERTECH,EQ,14074,10921,77.60
20,143,D-LINK,EQ,17570,12350,70.29
20,144,DABUR,EQ,291784,133756,45.84
20,145,DALALSTCOM,EQ,40500,40500,100.00
20,146,DALMIACEM,EQ,797,797,100.00
20,147,DCM,EQ,2420,2320,95.87
20,148,DCMFINSERV,EQ,1000,1000,100.00
20,149,DCMSRMCONS,EQ,3763,3763,100.00
20,150,DCW,EQ,149187,112654,75.51
20,151,DEEPAKFERT,EQ,41211,38452,93.31
20,152,DENABANK,EQ,98282,63534,64.64
20,153,DEWANHOUS,EQ,220,220,100.00
20,154,DGPWINDSOR,EQ,956,952,99.58
20,155,DHAMPURSUG,EQ,2266,1819,80.27
20,156,DHARSUGAR,EQ,102,100,98.04
20,157,DIGITALEQP,EQ,1738179,77284,4.45
20,158,DIVISLAB,EQ,884071,136593,15.45
20,159,DRREDDY,EQ,124545,69175,55.54
20,160,DUNCANSIND,EQ,1084,1081,99.72
20,161,DYNACONS,EQ,110300,110097,99.82
20,162,EASTSILK,EQ,100,100,100.00
20,163,EASUNREYRL,EQ,500,500,100.00
20,164,EICHERLTD,EQ,3585,2585,72.11
20,165,EICHERMOT,EQ,38625,29799,77.15
20,166,EIDPARRY,EQ,558,508,91.04
20,167,EIHOTEL,EQ,734,711,96.87
20,168,EIMCOELECO,EQ,1035,935,90.34
20,169,ELDERPHARM,EQ,2253,1949,86.51
20,170,ELECTCAST,EQ,11216,9150,81.58
20,171,ELGIEQUIP,EQ,93860,68474,72.95
20,172,ELGITYRE,EQ,50,50,100.00
20,173,EMERCK,EQ,1233,1123,91.08
20,174,ENGINERSIN,EQ,5378,3684,68.50
20,175,ESABINDIA,EQ,7708,6363,82.55
20,176,ESCORTS,EQ,32935,26693,81.05
20,177,ESSARGUJ,EQ,524761,372527,70.99
20,178,ESSAROIL,EQ,62394,52585,84.28
20,179,ESSELPACK,EQ,14597,11205,76.76
20,180,ETERNEVRST,EQ,6227,6100,97.96
20,181,EUROTEXIND,EQ,2900,2800,96.55
20,182,EXCELIND,EQ,7088,6389,90.14
20,183,FACT,EQ,5766,2977,51.63
20,184,FAGBEARING,EQ,7820,7060,90.28
20,185,FDC,EQ,1761,1326,75.30
20,186,FEDERALBNK,EQ,98924,34828,35.21
20,187,FINCABLES,EQ,19326,13473,69.71
20,188,FINPIPE,EQ,46586,38288,82.19
20,189,FIRSTLEASE,EQ,891574,885774,99.35
20,190,FLEX,EQ,18044,15020,83.24
20,191,FLEXCHEM,EQ,4,1,25.00
20,192,FLEXENGG,EQ,1961,1720,87.71
20,193,FLOATGLASS,EQ,28810,26278,91.21
20,194,FOSECOIND,EQ,2464,1754,71.19
20,195,FUJITSICIM,EQ,24684,8131,32.94
20,196,GAEL,EQ,4861,4145,85.27
20,197,GAIL,EQ,748756,520502,69.52
20,198,GAMMONIND,EQ,4288,215,5.01
20,199,GARDENSILK,EQ,15216,12168,79.97
20,200,GENESYS,EQ,3150,2600,82.54
20,201,GEOMETRIC,EQ,1002900,67859,6.77
20,202,GEORGWILIM,EQ,4145,1897,45.77
20,203,GERMANREM,EQ,145,100,68.97
20,204,GESCOCORP,EQ,2326,2326,100.00
20,205,GESHIPPING,EQ,1419904,650188,45.79
20,206,GHCL,EQ,93815,69098,73.65
20,207,GICHSGFIN,EQ,7327,5410,73.84
20,208,GINNIFILA,EQ,4726,4672,98.86
20,209,GIPCL,EQ,86460,58372,67.51
20,210,GKW,EQ,3130,3130,100.00
20,211,GLAXO,EQ,70287,33946,48.30
20,212,GLENMARK,EQ,879,626,71.22
20,213,GLFL,EQ,4800,3200,66.67
20,214,GLOBALTELE,EQ,6482971,602652,9.30
20,215,GLOBLTRUST,EQ,159151,111468,70.04
20,216,GMDCLTD,EQ,21553,20000,92.79
20,217,GNFC,EQ,79653,59660,74.90
20,218,GODAVRFERT,EQ,10953,10952,99.99
20,219,GODFRYPHLP,EQ,14702,12974,88.25
20,220,GODREJCP,EQ,14048,11908,84.77
20,221,GODREJIND,EQ,3563,3352,94.08
20,222,GOETZEIND,EQ,7478,6338,84.76
20,223,GOLDTECH,EQ,202132,90744,44.89
20,224,GOLDTELE,EQ,92228,35022,37.97
20,225,GOODLASNER,EQ,18174,12130,66.74
20,226,GPELECT,EQ,1801,1200,66.63
20,227,GRANDFONRY,EQ,1002,1000,99.80
20,228,GRAPHITE,EQ,10972,8550,77.93
20,229,GRASIM,EQ,97559,48908,50.13
20,230,GSFC,EQ,26611,20179,75.83
20,231,GTCIND,EQ,2031,1196,58.89
20,232,GTNTEXT,EQ,2406,2347,97.55
20,233,GUJALKALI,EQ,58987,32614,55.29
20,234,GUJAMBCEM,EQ,148094,131594,88.86
20,235,GUJFLUORO,EQ,700,500,71.43
20,236,GUJRATGAS,EQ,1201,1126,93.76
20,237,GUJSIDHCEM,EQ,8175,7400,90.52
20,238,HARRMALAYA,EQ,2304,2090,90.71
20,239,HAVELLS,EQ,56,56,100.00
20,240,HCL-INSYS,EQ,151010,48987,32.44
20,241,HCLTECH,EQ,1777999,262642,14.77
20,242,HDFC,EQ,578120,356959,61.74
20,243,HDFCBANK,EQ,336690,254066,75.46
20,244,HEG,EQ,13091,12291,93.89
20,245,HERDILCHEM,EQ,150,150,100.00
20,246,HERITGFOOD,EQ,4446,3550,79.85
20,247,HEROHONDA,EQ,831444,343570,41.32
20,248,HEXAWARE,EQ,2334165,189268,8.11
20,249,HIKAL,EQ,1377,1218,88.45
20,250,HIMACHLFUT,EQ,15983691,4426978,27.70
20,251,HIMATSEIDE,EQ,498,473,94.98
20,252,HINDALC0,EQ,72783,52234,71.77
20,253,HINDCOMPOS,EQ,90,90,100.00
20,254,HINDCONS,EQ,9527,7807,81.95
20,255,HINDINKS,EQ,5924,4293,72.47
20,256,HINDLEVCHM,EQ,3692,2698,73.08
20,257,HINDLEVER,EQ,3463796,2010813,58.05
20,258,HINDMOTOR,EQ,301395,172525,57.24
20,259,HINDOILEXP,EQ,12883,11541,89.58
20,260,HINDPETRO,EQ,1118191,255350,22.84
20,261,HINDSANIT,EQ,1650,1540,93.33
20,262,HINDSYNTEX,EQ,2,0,0.00
20,263,HMT,EQ,27075,17107,63.18
20,264,HOCL,EQ,125813,68060,54.10
20,265,HOECHST,EQ,18043,13443,74.51
20,266,HOTELEELA,EQ,14571,8146,55.91
20,267,HTMT,EQ,1827158,322423,17.65
20,268,HUGHESSOFT,EQ,889974,113297,12.73
20,269,HUGHESTELE,EQ,66003,50697,76.81
20,270,HYDRBADIND,EQ,744,744,100.00
20,271,I-FLEX,EQ,197884,27219,13.76
20,272,IBP,EQ,11401,7874,69.06
20,273,ICI,EQ,9375,6631,70.73
20,274,ICICIBANK,EQ,1854322,1018369,54.92
20,275,IDBI,EQ,370796,301258,81.25
20,276,IDBIBANK,EQ,65878,46671,70.84
20,277,IFBAGRO,EQ,1422,1422,100.00
20,278,IFBIND,EQ,4657,4652,99.89
20,279,IFCI,EQ,203240,157882,77.68
20,280,IFCI,N1,4,4,100.00
20,281,IGFLFERT,EQ,71213,50953,71.55
20,282,INDAL,EQ,211,210,99.53
20,283,INDGYPSUM,EQ,615,465,75.61
20,284,INDHOTEL,EQ,28302,21556,76.16
20,285,INDIACEM,EQ,41885,38541,92.02
20,286,INDIAFOILS,EQ,625,412,65.92
20,287,INDIANCARD,EQ,475,470,98.95
20,288,INDNIPPON,EQ,330,330,100.00
20,289,INDORAMSYN,EQ,150808,112059,74.31
20,290,INDRAMEDCO,EQ,21952,16901,76.99
20,291,INDRAYON,EQ,109894,64248,58.46
20,292,INDSHAVING,EQ,5808,4844,83.40
20,293,INDSWFTLAB,EQ,180359,108059,59.91
20,294,INDUSINDBK,EQ,69413,54573,78.62
20,295,INFOSYSTCH,EQ,993778,192910,19.41
20,296,INFOTECENT,EQ,1708117,274456,16.07
20,297,INGERRAND,EQ,8948,8798,98.32
20,298,INVESTCORP,EQ,1850,1450,78.38
20,299,IOB,EQ,615718,377818,61.36
20,300,IOC,EQ,21905,15073,68.81
20,301,IOL,EQ,31248,23032,73.71
20,302,IPCALAB,EQ,25074,15717,62.68
20,303,IPCL,EQ,253901,135043,53.19
20,304,IPITATASPO,EQ,26699,20479,76.70
20,305,IT&T,EQ,33304,21095,63.34
20,306,ITC,EQ,279857,164470,58.77
20,307,ITCHOTEL,EQ,3679,3336,90.68
20,308,ITI,EQ,186222,142528,76.54
20,309,IVC,EQ,1600,1400,87.50
20,310,IVRCLINFRA,EQ,2575,1950,75.73
20,311,J&KBANK,EQ,742617,287193,38.67
20,312,JAGSNPHARM,EQ,6,5,83.33
20,313,JAINSTUDIO,EQ,7719,5949,77.07
20,314,JAYAGROGN,EQ,50,50,100.00
20,315,JAYBARMARU,EQ,4415,4040,91.51
20,316,JAYSREETEA,EQ,1281,1071,83.61
20,317,JBCHEPHARM,EQ,42077,24970,59.34
20,318,JCTELEC,EQ,13112,12350,94.19
20,319,JENSONICOL,EQ,8374,7229,86.33
20,320,JIKINDS,EQ,16941,1100,6.49
20,321,JINDALFOTO,EQ,17890,14625,81.75
20,322,JINDALIRON,EQ,869875,189247,21.76
20,323,JINDALPOLY,EQ,4281,4281,100.00
20,324,JINDALSTEL,EQ,17312,11197,64.68
20,325,JINDLSTRIP,EQ,22831,15158,66.39
20,326,JISLJALEQS,EQ,650,350,53.85
20,327,JPIND,EQ,662245,467938,70.66
20,328,JUNIORBEES,EQ,2,2,100.00
20,329,JYOTISTRUC,EQ,12126,10202,84.13
20,330,KABRAEXTRU,EQ,1679,1400,83.38
20,331,KAJARIACER,EQ,15477,14689,94.91
20,332,KAKATCEM,EQ,1674,1166,69.65
20,333,KALECONSUL,EQ,27140,13505,49.76
20,334,KALPATPOWR,EQ,705,680,96.45
20,335,KAMATHOTEL,EQ,200,200,100.00
20,336,KARURVYSYA,EQ,39219,28188,71.87
20,337,KCP,EQ,103,101,98.06
20,338,KCPSUGIND,EQ,600,550,91.67
20,339,KECINTL,EQ,59438,43128,72.56
20,340,KELVINATOR,EQ,36947,26785,72.50
20,341,KESORAMIND,EQ,15016,13529,90.10
20,342,KHAITANELE,EQ,809,607,75.03
20,343,KHANDSE,EQ,600,600,100.00
20,344,KIRLOSKCUM,EQ,71344,62639,87.80
20,345,KIRLOSOIL,EQ,1729,1520,87.91
20,346,KITPLYIND,EQ,3884,3434,88.41
20,347,KLGSYSTEL,EQ,7466,5010,67.10
20,348,KOPDRUGS,EQ,925,925,100.00
20,349,KOPRAN,EQ,48738,26382,54.13
20,350,KOTAKBANK,EQ,4049,2264,55.92
20,351,KOTHARIPET,EQ,41779,41779,100.00
20,352,KOTHARIPRO,EQ,1951,1651,84.62
20,353,KPIT,EQ,304071,67464,22.19
20,354,KRBL,EQ,196,196,100.00
20,355,KSBPUMPS,EQ,18932,8891,46.96
20,356,KTKBANK,EQ,110574,71718,64.86
20,357,L&T,EQ,1192569,726057,60.88
20,358,LAKME,EQ,1586,822,51.83
20,359,LAKSHAUTO,EQ,3499,3299,94.28
20,360,LAKSHVILAS,EQ,14113,10567,74.87
20,361,LANESEDA,EQ,1500,1500,100.00
20,362,LAXMIMACH,EQ,68,68,100.00
20,363,LCCINFOTEC,EQ,5422,5020,92.59
20,364,LEADEDSYS,EQ,107823,42424,39.35
20,365,LGBROS,EQ,730,555,76.03
20,366,LIBERTSHOE,EQ,725,600,82.76
20,367,LICHSGFIN,EQ,52939,44257,83.60
20,368,LLOYDFIN,EQ,2780,2780,100.00
20,369,LLOYDSTEEL,EQ,38649,30797,79.68
20,370,LML,EQ,70203,45319,64.55
20,371,LUMAXIND,EQ,800,800,100.00
20,372,LUPIN,EQ,389088,141401,36.34
20,373,LYKALABS,EQ,10129,1364,13.47
20,374,M&M,EQ,887030,390852,44.06
20,375,MAARSOFTW,EQ,47973,25396,52.94
20,376,MACMILLAN,EQ,22777,13224,58.06
20,377,MADRASCEM,EQ,3,2,66.67
20,378,MADRASFERT,EQ,11160,10535,94.40
20,379,MAHAVIRSPG,EQ,1629,1624,99.69
20,380,MAHINDUGIN,EQ,20815,19832,95.28
20,381,MAHSCOOTER,EQ,600,600,100.00
20,382,MAHSEAMLES,EQ,9410,7270,77.26
20,383,MALWACOTT,EQ,51,50,98.04
20,384,MANALIPET,EQ,26301,24800,94.29
20,385,MANGLMCEM,EQ,4200,4200,100.00
20,386,MANGTIMBER,EQ,1,0,0.00
20,387,MARALOVER,EQ,13149,9931,75.53
20,388,MARDIACHEM,EQ,1300,1100,84.62
20,389,MARDIASTL,EQ,6201,6201,100.00
20,390,MARICOIND,EQ,1406,1175,83.57
20,391,MASCOT,EQ,27642,10881,39.36
20,392,MASTEK,EQ,2142363,95819,4.47
