Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02082018,416201102,0001789
Trade Date <02-AUG-2018>,Settlement Type <N>,Settlement No <2018148>,Settlement Date <06-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,130360,81225,62.31
20,2,21STCENMGM,EQ,17527,16627,94.87
20,3,3IINFOTECH,EQ,1744853,1025151,58.75
20,4,3MINDIA,EQ,567,304,53.62
20,5,3PLAND,EQ,711,628,88.33
20,6,5PAISA,EQ,3292,2721,82.65
20,7,63MOONS,EQ,234555,65530,27.94
20,8,8KMILES,EQ,658005,304254,46.24
20,9,A2ZINFRA,EQ,649048,314796,48.50
20,10,AARTIDRUGS,EQ,4592,1898,41.33
20,11,AARTIIND,EQ,8792,6548,74.48
20,12,AARVEEDEN,EQ,4810,4041,84.01
20,13,AARVI,SM,14000,14000,100.00
20,14,ABAN,EQ,1548143,256034,16.54
20,15,ABB,EQ,33647,16237,48.26
20,16,ABBOTINDIA,EQ,8746,4829,55.21
20,17,ABCAPITAL,EQ,1688538,703832,41.68
20,18,ABFRL,EQ,18677915,5107448,27.34
20,19,ABSLRIF6RG,MF,10001,10000,99.99
20,20,ACC,EQ,456730,110765,24.25
20,21,ACCELYA,EQ,6122,5284,86.31
20,22,ACCORD,SM,2000,2000,100.00
20,23,ACCURACY,SM,6400,4800,75.00
20,24,ACE,EQ,421676,173351,41.11
20,25,ACEINTEG,SM,15000,15000,100.00
20,26,ADANIENT,EQ,17024744,982275,5.77
20,27,ADANIGREEN,EQ,162902,155334,95.35
20,28,ADANIPORTS,EQ,2966243,971233,32.74
20,29,ADANIPOWER,EQ,70652820,5725323,8.10
20,30,ADANITRANS,EQ,684270,84183,12.30
20,31,ADFFOODS,EQ,23822,14019,58.85
20,32,ADHUNIKIND,EQ,6293,2717,43.17
20,33,ADLABS,EQ,101947,45665,44.79
20,34,ADORWELD,EQ,138744,24519,17.67
20,35,ADSL,EQ,14787,11534,78.00
20,36,ADVANIHOTR,EQ,2402,1441,59.99
20,37,ADVENZYMES,EQ,479855,105973,22.08
20,38,AEGISCHEM,EQ,66733,37258,55.83
20,39,AFL,EQ,24903,17271,69.35
20,40,AGARIND,EQ,3210,2383,74.24
20,41,AGCNET,EQ,2248,1380,61.39
20,42,AGLSL,EQ,2071,1597,77.11
20,43,AGRITECH,EQ,95337,62716,65.78
20,44,AGROPHOS,SM,90000,60000,66.67
20,45,AHLEAST,EQ,397,340,85.64
20,46,AHLUCONT,EQ,6582,5668,86.11
20,47,AHLWEST,EQ,175,175,100.00
20,48,AIAENG,EQ,148176,138369,93.38
20,49,AIFL,EQ,171345,65836,38.42
20,50,AIRAN,SM,3000,3000,100.00
20,51,AISL,SM,1200,1200,100.00
20,52,AJANTPHARM,EQ,325936,30125,9.24
20,53,AJMERA,BL,1200520,1200520,100.00
20,54,AJMERA,EQ,55596,30364,54.62
20,55,AJOONI,SM,4000,4000,100.00
20,56,AKSHARCHEM,EQ,1453,834,57.40
20,57,AKSHOPTFBR,EQ,747307,317389,42.47
20,58,AKZOINDIA,EQ,12728,6472,50.85
20,59,ALANKIT,EQ,991198,258549,26.08
20,60,ALBERTDAVD,EQ,435,431,99.08
20,61,ALBK,EQ,3760518,337927,8.99
20,62,ALEMBICLTD,EQ,443359,178528,40.27
20,63,ALICON,EQ,1612,1346,83.50
20,64,ALKALI,EQ,3057,1850,60.52
20,65,ALKEM,EQ,47952,11184,23.32
20,66,ALKYLAMINE,EQ,2616,2379,90.94
20,67,ALLCARGO,EQ,218372,91449,41.88
20,68,ALLSEC,EQ,5489,2772,50.50
20,69,ALMONDZ,EQ,2410,1710,70.95
20,70,ALPA,EQ,5102,3432,67.27
20,71,ALPHAGEO,EQ,3978,2641,66.39
20,72,AMARAJABAT,EQ,346056,107925,31.19
20,73,AMBANIORG,SM,26000,22000,84.62
20,74,AMBER,EQ,6379,2772,43.46
20,75,AMBIKCO,EQ,2051,1588,77.43
20,76,AMBUJACEM,EQ,1820808,757175,41.58
20,77,AMDIND,EQ,4958,4071,82.11
20,78,AMJLAND,EQ,14344,9662,67.36
20,79,AMRUTANJAN,EQ,42405,33832,79.78
20,80,ANANTRAJ,EQ,540726,234183,43.31
20,81,ANDHRABANK,EQ,3229072,432703,13.40
20,82,ANDHRACEMT,EQ,42287,35343,83.58
20,83,ANDHRSUGAR,EQ,20255,11996,59.22
20,84,ANIKINDS,EQ,23858,13895,58.24
20,85,ANSALAPI,EQ,65924,49908,75.71
20,86,ANSALHSG,EQ,23693,13568,57.27
