Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03022003,035509063,0000717
Trade Date <03-FEB-2003>,Settlement Type <D>,Settlement No <2003024>,Settlement Date <06-FEB-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0807A17,GC,1000,0,0.00
20,2,0939G11,GC,510,510,100.00
Trade Date <03-FEB-2003>,Settlement Type <N>,Settlement No <2003024>,Settlement Date <06-FEB-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3,AARTIIND,EQ,505,505,100.00
20,4,ABANLLOYD,EQ,37939,27875,73.47
20,5,ABB,EQ,33990,20608,60.63
20,6,ABBALPO,EQ,7752,6428,82.92
20,7,ABBOTTLAB,EQ,237,187,78.90
20,8,ABSHEKINDS,EQ,22885,21285,93.01
20,9,ABSIND,EQ,3930,3155,80.28
20,10,ACC,EQ,545499,188541,34.56
20,11,ADANIEXPO,EQ,35922,1332,3.71
20,12,ADLABSFILM,EQ,12241,7898,64.52
20,13,ADVANIORLI,EQ,3586,2186,60.96
20,14,AEGISCHEM,EQ,1877,1877,100.00
20,15,AFTEKINFO,EQ,2423114,167859,6.93
20,16,AGEEGOLD,EQ,1099,999,90.90
20,17,AGREVOIND,EQ,805,805,100.00
20,18,AGRODUTCH,EQ,17023,12425,72.99
20,19,AHMEDELEC,EQ,362,362,100.00
20,20,AHMEDFORGE,EQ,5440,5440,100.00
20,21,AJANTPHARM,EQ,6050,685,11.32
20,22,AKSHOPTFBR,EQ,8850,4507,50.93
20,23,ALBK,EQ,564762,303405,53.72
20,24,ALEMBICLTD,EQ,4826,3866,80.11
20,25,ALFALAVAL,EQ,302,275,91.06
20,26,ALOKTEXT,EQ,120335,110284,91.65
20,27,ALPSINDUS,EQ,460,456,99.13
20,28,AMARAJABAT,EQ,15770,10838,68.73
20,29,AMBUJARAJN,EQ,29701,29700,100.00
20,30,AMITSPIN,EQ,15,5,33.33
20,31,AMTREXAPPL,EQ,4036,3535,87.59
20,32,ANAMALFIN,EQ,2500,2500,100.00
20,33,ANDHRABANK,EQ,2852818,1075004,37.68
20,34,ANDHRSUGAR,EQ,1400,1400,100.00
20,35,ANTGRAPHIC,EQ,1500,1500,100.00
20,36,APCOTEXLAT,EQ,2057,1957,95.14
20,37,APOLLOHOSP,EQ,26684,12861,48.20
20,38,APOLLOTYRE,EQ,58426,40684,69.63
20,39,APTECHT,EQ,248928,90163,36.22
20,40,ARCHIES,EQ,5699,3457,60.66
20,41,ARHAMFISCL,EQ,43495,29342,67.46
20,42,ARIHANTCRE,EQ,54050,15450,28.58
20,43,ARL,EQ,477687,336945,70.54
20,44,ARVINDMILL,EQ,265675,186211,70.09
20,45,ASAHIINDIA,EQ,15046,14456,96.08
20,46,ASHIMASYN,EQ,300,300,100.00
20,47,ASHKLEYFIN,EQ,6595,6434,97.56
20,48,ASHOKLEY,EQ,15296,11418,74.65
20,49,ASIANELEC,EQ,1052,1051,99.90
20,50,ASIANHOTEL,EQ,1275,1025,80.39
20,51,ASIANPAINT,EQ,5475,4053,74.03
20,52,ASTRAIDL,EQ,110,110,100.00
20,53,ATCOIND,EQ,6958,5867,84.32
20,54,ATFL,EQ,640,500,78.13
20,55,ATLASCOPCO,EQ,1702,1585,93.13
20,56,ATLASCYCLE,EQ,525,405,77.14
20,57,ATULPROD,EQ,11060,10790,97.56
20,58,AUROPHARMA,EQ,49338,23686,48.01
20,59,AZTEC,EQ,111712,42297,37.86
20,60,BAJAJAUTO,EQ,102775,58101,56.53
20,61,BAJAJHIND,EQ,6030,5500,91.21
20,62,BAJAJPLAST,EQ,200,200,100.00
20,63,BAJAUTOFIN,EQ,4300,4200,97.67
20,64,BALAJIDIST,EQ,4650,4150,89.25
20,65,BALAJITELE,EQ,261382,130030,49.75
20,66,BALMLAWRIE,EQ,2370,2323,98.02
20,67,BALRAMCHIN,EQ,5204,3835,73.69
20,68,BANARISUG,EQ,716,651,90.92
20,69,BANKBARODA,EQ,712233,272026,38.19
20,70,BANKINDIA,EQ,552208,188264,34.09
20,71,BANKPUNJAB,EQ,91161,74368,81.58
20,72,BANKRAJAS,EQ,83828,51869,61.88
20,73,BASF,EQ,9669,5473,56.60
20,74,BATAINDIA,EQ,14618,10182,69.65
20,75,BAUSCHLOMB,EQ,8527,6425,75.35
20,76,BAYER,EQ,35,30,85.71
20,77,BBTC,EQ,4000,0,0.00
20,78,BEL,EQ,396978,135155,34.05
20,79,BELCERAMIC,EQ,2645,2645,100.00
20,80,BEML,EQ,325095,80270,24.69
20,81,BERGEPAINT,EQ,1095,890,81.28
20,82,BFLSOFTWAR,EQ,28942,18396,63.56
20,83,BGFL,EQ,1986,1900,95.67
20,84,BHARATFORG,EQ,25983,22975,88.42
20,85,BHARATGEAR,EQ,842,842,100.00
20,86,BHARATRAS,EQ,385,385,100.00
20,87,BHARTI,EQ,873800,494819,56.63
20,88,BHEL,EQ,338430,150901,44.59
20,89,BIL,EQ,1900,1900,100.00
20,90,BILT,EQ,86338,72485,83.95
20,91,BINDALAGRO,EQ,19779,16842,85.15
20,92,BIRLA3M,EQ,1040,676,65.00
20,93,BIRLAERIC,EQ,5385,4985,92.57
20,94,BIRLAJUTE,EQ,8375,7475,89.25
20,95,BLBLIMITED,EQ,500,500,100.00
20,96,BLUECHIP,EQ,300,300,100.00
20,97,BLUEDART,EQ,1268,1193,94.09
20,98,BLUESTARCO,EQ,5145,4088,79.46
20,99,BLUESTINFO,EQ,10872,6502,59.81
20,100,BOMDYEING,EQ,5265,4140,78.63
20,101,BONGAIREFN,EQ,58659,37076,63.21
20,102,BOOTSPHARM,EQ,4935,3775,76.49
20,103,BPCL,EQ,550791,132220,24.01
20,104,BPL,EQ,19470,15524,79.73
20,105,BPLENGG,EQ,492,492,100.00
20,106,BPLREFRIG,EQ,2376,2276,95.79
20,107,BPLSANTECH,EQ,2553,2550,99.88
20,108,BPLSANUTIL,EQ,100,100,100.00
20,109,BRITANNIA,EQ,1735,1356,78.16
20,110,BSELINFO,EQ,600,600,100.00
20,111,BSES,EQ,45765,33133,72.40
20,112,BSL,EQ,1055,1005,95.26
20,113,BURRWELCOM,EQ,11364,11160,98.20
20,114,CADILAHC,EQ,9407,5597,59.50
20,115,CANBK,EQ,3985975,833358,20.91
20,116,CANFINHOME,EQ,1500,1500,100.00
20,117,CARBORUNIV,EQ,389,379,97.43
20,118,CARRIERAIR,EQ,500,500,100.00
20,119,CASTROL,EQ,54473,34626,63.57
20,120,CEAT,EQ,24425,19505,79.86
20,121,CENTENKA,EQ,13715,11935,87.02
20,122,CENTEXTRU,EQ,200,200,100.00
20,123,CENTURION,EQ,123562,79900,64.66
20,124,CENTURYTEX,EQ,243771,134368,55.12
20,125,CESC,EQ,51978,44334,85.29
20,126,CGIGARSH,EQ,7527,7436,98.79
20,127,CHAMBLFERT,EQ,605141,300710,49.69
20,128,CHEMPLAST,EQ,6719,6319,94.05
20,129,CHENNPETRO,EQ,63242,52713,83.35
20,130,CHESLINTEX,EQ,2600,2600,100.00
20,131,CHLORIDIND,EQ,238,228,95.80
20,132,CHOLAINV,EQ,6470,6360,98.30
20,133,CIBASPEC,EQ,962,932,96.88
20,134,CIMCOBIRLA,EQ,870,685,78.74
20,135,CINEVISTA,EQ,3126,2660,85.09
20,136,CIPL,EQ,3900,2500,64.10
20,137,CIPLA,EQ,32872,18422,56.04
20,138,CITICORSEC,EQ,30338,15281,50.37
20,139,CLARIANT,EQ,501,463,92.42
20,140,CMC,EQ,241052,38167,15.83
20,141,COATESIND,EQ,820,575,70.12
20,142,COCHINREFN,EQ,99591,59136,59.38
20,143,COLGATE,EQ,16303,11852,72.70
20,144,COLORCHEM,EQ,8111,6753,83.26
20,145,COMPUDYNE,EQ,55577,28671,51.59
20,146,COMPUTECH,EQ,16675,14600,87.56
20,147,CONCOR,EQ,27186,22261,81.88
20,148,CONSCOFFEE,EQ,5117,3958,77.35
20,149,COREPARENT,EQ,6200,4900,79.03
20,150,COROMNFERT,EQ,4675,4375,93.58
20,151,CORPBANK,EQ,64722,19141,29.57
20,152,COSMOFILMS,EQ,64059,36443,56.89
20,153,CREATIVEYE,EQ,4070,3080,75.68
20,154,CRESTCOMM,EQ,79123,33196,41.95
20,155,CRISIL,EQ,190,180,94.74
20,156,CROMPGREAV,EQ,51599,36253,70.26
20,157,CUB,EQ,4225,3375,79.88
20,158,CYBERTECH,EQ,8595,7677,89.32
20,159,D-LINK,EQ,15998,8819,55.13
20,160,DABUR,EQ,149719,77762,51.94
20,161,DALALSTCOM,EQ,35002,35001,100.00
20,162,DALMIACEM,EQ,400,350,87.50
20,163,DCM,EQ,3590,2588,72.09
20,164,DCMFINSERV,EQ,1150,1150,100.00
20,165,DCMSRMCONS,EQ,3030,1820,60.07
20,166,DCW,EQ,31997,22696,70.93
20,167,DEEPAKFERT,EQ,13170,11945,90.70
20,168,DENABANK,EQ,49906,32355,64.83
20,169,DEWANHOUS,EQ,1463,1463,100.00
20,170,DGPWINDSOR,EQ,237,229,96.62
20,171,DHAMPURSUG,EQ,1650,1525,92.42
20,172,DHARSUGAR,EQ,700,700,100.00
20,173,DIGITALEQP,EQ,6467934,481463,7.44
20,174,DRREDDY,EQ,53830,17859,33.18
20,175,DUNCANSIND,EQ,575,575,100.00
20,176,DYNACONS,EQ,27302,25000,91.57
20,177,EASTSILK,EQ,450,450,100.00
20,178,EASUNREYRL,EQ,300,200,66.67
20,179,EICHERLTD,EQ,3700,3500,94.59
20,180,EICHERMOT,EQ,9089,7904,86.96
20,181,EIDPARRY,EQ,751,549,73.10
20,182,EIHOTEL,EQ,713,517,72.51
20,183,EIMCOELECO,EQ,91,90,98.90
20,184,ELDERPHARM,EQ,500,500,100.00
20,185,ELECTCAST,EQ,10339,5146,49.77
20,186,ELGIEQUIP,EQ,8745,8645,98.86
20,187,EMERCK,EQ,7112,5563,78.22
20,188,ENGINERSIN,EQ,16862,5909,35.04
20,189,ESABINDIA,EQ,4750,4000,84.21
20,190,ESCORTS,EQ,11400,7270,63.77
20,191,ESSARGUJ,EQ,644797,376054,58.32
20,192,ESSAROIL,EQ,122391,85665,69.99
20,193,ESSELPACK,EQ,5360,2929,54.65
20,194,ETERNEVRST,EQ,400,350,87.50
20,195,EUROTEXIND,EQ,5648,5397,95.56
20,196,EXCELIND,EQ,14005,10317,73.67
20,197,FACT,EQ,5514,3564,64.64
20,198,FAGBEARING,EQ,6459,6359,98.45
20,199,FDC,EQ,5275,4825,91.47
20,200,FEDERALBNK,EQ,355964,129665,36.43
20,201,FINCABLES,EQ,17646,14943,84.68
20,202,FINPIPE,EQ,19892,12669,63.69
20,203,FIRSTLEASE,EQ,5775,5775,100.00
20,204,FLEX,EQ,12430,10530,84.71
20,205,FLEXCHEM,EQ,680,500,73.53
20,206,FLOATGLASS,EQ,67911,67910,100.00
20,207,FOSECOIND,EQ,839,789,94.04
20,208,FUJITSICIM,EQ,222397,45942,20.66
20,209,GAEL,EQ,2145,1970,91.84
20,210,GAIL,EQ,42826,37366,87.25
20,211,GAMMONIND,EQ,150,100,66.67
20,212,GARDENSILK,EQ,2225,2225,100.00
20,213,GENESYS,EQ,4361,3000,68.79
20,214,GEOMETRIC,EQ,939721,45167,4.81
20,215,GEORGWILIM,EQ,18818,12404,65.92
20,216,GERMANREM,EQ,170,160,94.12
20,217,GESCOCORP,EQ,1577,1248,79.14
20,218,GESHIPPING,EQ,56750,46285,81.56
20,219,GHCL,EQ,49030,33780,68.90
20,220,GICHSGFIN,EQ,1900,1900,100.00
20,221,GINNIFILA,EQ,980,950,96.94
20,222,GIPCL,EQ,24440,18418,75.36
20,223,GKW,EQ,2934,2526,86.09
20,224,GLAXO,EQ,12375,8954,72.36
20,225,GLENMARK,EQ,1381,1140,82.55
20,226,GLFL,EQ,350,350,100.00
20,227,GLOBALTELE,EQ,1470007,340214,23.14
20,228,GLOBLTRUST,EQ,92954,64571,69.47
20,229,GMBREW,EQ,660,600,90.91
20,230,GMDCLTD,EQ,10070,6464,64.19
20,231,GNFC,EQ,18427,12840,69.68
20,232,GODAVRFERT,EQ,4434,4434,100.00
20,233,GODFRYPHLP,EQ,157,157,100.00
20,234,GODREJCP,EQ,12226,9006,73.66
20,235,GOETZEIND,EQ,1268,1068,84.23
20,236,GOLDTECH,EQ,282659,78363,27.72
20,237,GOLDTELE,EQ,42494,29050,68.36
20,238,GOODLASNER,EQ,80462,43160,53.64
20,239,GPELECT,EQ,1,1,100.00
20,240,GRANDFONRY,EQ,3012,3001,99.63
20,241,GRAPHITE,EQ,14931,14930,99.99
20,242,GRASIM,EQ,146637,88603,60.42
