Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03062020,1288425310,0001826
Trade Date <03-JUN-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,93636,64064,68.42
20,2,21STCENMGM,EQ,1049,1049,100.00
20,3,3IINFOTECH,EQ,6230252,4002012,64.24
20,4,3MINDIA,EQ,36350,32972,90.71
20,5,509GS2022,GS,2,2,100.00
20,6,5PAISA,EQ,10362,9508,91.76
20,7,617GS2021,GS,2,2,100.00
20,8,618GS2024,GS,5,5,100.00
20,9,63MOONS,EQ,57887,41318,71.38
20,10,645GS2029,GS,45,45,100.00
20,11,706GS2046,GS,199,199,100.00
20,12,716GS2050,GS,51,51,100.00
20,13,726GS2029,GS,99,99,100.00
20,14,727GS2026,GS,50,50,100.00
20,15,757GS2033,GS,128,128,100.00
20,16,762GS2039,GS,300,300,100.00
20,17,795GS2032,GS,1358,1358,100.00
20,18,808GS2022,GS,1,1,100.00
20,19,824GS2027,GS,100,100,100.00
20,20,A2ZINFRA,EQ,134304,120405,89.65
20,21,AARON,SM,3300,3300,100.00
20,22,AARTIDRUGS,EQ,271045,91370,33.71
20,23,AARTIIND,EQ,848495,385591,45.44
20,24,AARVEEDEN,EQ,80474,71062,88.30
20,25,AAVAS,EQ,50625,28308,55.92
20,26,ABAN,EQ,77209,69289,89.74
20,27,ABB,EQ,245789,164819,67.06
20,28,ABBOTINDIA,EQ,16446,9417,57.26
20,29,ABCAPITAL,EQ,10712653,2907597,27.14
20,30,ABFRL,EQ,2182682,804187,36.84
20,31,ABSLBANETF,EQ,5087,4348,85.47
20,32,ABSLNN50ET,EQ,311,152,48.87
20,33,ACC,EQ,1460107,384026,26.30
20,34,ACCELYA,EQ,6230,3783,60.72
20,35,ACCURACY,SM,8000,3200,40.00
20,36,ACE,EQ,216295,139967,64.71
20,37,ADANIENT,EQ,5875945,873203,14.86
20,38,ADANIGAS,EQ,17977178,2869688,15.96
20,39,ADANIGREEN,EQ,1411752,679893,48.16
20,40,ADANIPORTS,EQ,5177337,2517942,48.63
20,41,ADANIPOWER,EQ,68612729,21441096,31.25
20,42,ADANITRANS,EQ,2486626,1552265,62.42
20,43,ADFFOODS,EQ,158938,79032,49.73
20,44,ADHUNIKIND,EQ,19574,14794,75.58
20,45,ADORWELD,EQ,13456,6802,50.55
20,46,ADROITINFO,EQ,30883,20624,66.78
20,47,ADSL,EQ,108855,74431,68.38
20,48,ADVANIHOTR,EQ,5624,4719,83.91
20,49,ADVENZYMES,EQ,338207,123718,36.58
20,50,AEGISCHEM,EQ,442853,133849,30.22
20,51,AFFLE,EQ,37705,24470,64.90
20,52,AGARIND,EQ,28355,23896,84.27
20,53,AGCNET,EQ,5220,4839,92.70
20,54,AGROPHOS,EQ,129335,128499,99.35
20,55,AHLADA,SM,1000,1000,100.00
20,56,AHLEAST,EQ,5930,2680,45.19
20,57,AHLUCONT,EQ,12176,7481,61.44
20,58,AHLWEST,EQ,737,562,76.26
20,59,AIAENG,EQ,35736,26485,74.11
20,60,AIONJSW,EQ,16682,16682,100.00
20,61,AIRAN,EQ,42705,30803,72.13
20,62,AJANTPHARM,EQ,176463,65397,37.06
20,63,AJMERA,EQ,223947,65875,29.42
20,64,AJOONI,SM,8000,8000,100.00
20,65,AKSHARCHEM,EQ,34749,20532,59.09
20,66,AKSHOPTFBR,EQ,57758,57757,100.00
20,67,AKZOINDIA,EQ,11663,7566,64.87
20,68,ALANKIT,EQ,134211,80725,60.15
20,69,ALBERTDAVD,EQ,145003,57170,39.43
20,70,ALEMBICLTD,EQ,326012,175508,53.83
20,71,ALICON,EQ,4118,2859,69.43
20,72,ALKALI,EQ,115862,40760,35.18
20,73,ALKEM,EQ,177273,88488,49.92
20,74,ALKYLAMINE,EQ,35074,10501,29.94
20,75,ALLCARGO,EQ,174184,115965,66.58
20,76,ALLSEC,EQ,11607,10463,90.14
20,77,ALMONDZ,EQ,1294,1294,100.00
20,78,ALOKINDS,EQ,444009,444009,100.00
20,79,ALPA,EQ,70915,56850,80.17
20,80,ALPHAGEO,EQ,63592,40836,64.22
20,81,ALPSINDUS,EQ,39776,35217,88.54
20,82,AMARAJABAT,EQ,1696637,275990,16.27
20,83,AMBER,EQ,187462,82846,44.19
20,84,AMBIKCO,EQ,4596,3277,71.30
20,85,AMBUJACEM,EQ,4719425,2251508,47.71
20,86,AMDIND,EQ,14592,9171,62.85
20,87,AMJLAND,EQ,3675,2890,78.64
20,88,AMRUTANJAN,EQ,236273,74150,31.38
20,89,ANANTRAJ,EQ,1453132,956881,65.85
20,90,ANDHRACEMT,EQ,500849,378997,75.67
20,91,ANDHRAPAP,EQ,4209,4129,98.10
20,92,ANDHRSUGAR,EQ,25889,14941,57.71
20,93,ANIKINDS,EQ,9409,5909,62.80
20,94,ANKITMETAL,EQ,4715,4715,100.00
20,95,ANSALHSG,EQ,50505,43380,85.89
20,96,ANUP,EQ,10644,9701,91.14
20,97,APARINDS,EQ,33834,22268,65.82
20,98,APCL,EQ,18322,9939,54.25
20,99,APCOTEXIND,EQ,24316,16059,66.04
20,100,APEX,EQ,325528,106351,32.67
20,101,APLAPOLLO,EQ,35663,18892,52.97
20,102,APLLTD,EQ,393980,183740,46.64
20,103,APOLLO,EQ,113592,45569,40.12
20,104,APOLLOHOSP,EQ,738651,201081,27.22
20,105,APOLLOPIPE,EQ,32912,18263,55.49
20,106,APOLLOTYRE,EQ,13936460,2228926,15.99
20,107,APOLSINHOT,EQ,1163,676,58.13
20,108,APTECHT,EQ,219282,91406,41.68
20,109,ARCHIDPLY,EQ,121085,51554,42.58
20,110,ARCHIES,EQ,43757,30570,69.86
20,111,ARENTERP,EQ,1280,758,59.22
20,112,ARIES,EQ,70317,41589,59.15
20,113,ARIHANT,EQ,4623,852,18.43
20,114,ARIHANTSUP,EQ,3185,2311,72.56
20,115,ARMANFIN,EQ,56440,42736,75.72
20,116,AROGRANITE,EQ,17330,13300,76.75
