Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04012005,209675879,0000749
Trade Date <04-JAN-2005>,Settlement Type <N>,Settlement No <2005002>,Settlement Date <06-JAN-2005>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3MINDIA,EQ,376,285,75.80
20,2,AARTIDRUGS,EQ,89047,50902,57.16
20,3,AARTIIND,EQ,90422,42690,47.21
20,4,ABANLLOYD,EQ,13087,8935,68.27
20,5,ABB,EQ,11179,4368,39.07
20,6,ABSIND,EQ,134843,79461,58.93
20,7,ACC,EQ,2377765,553532,23.28
20,8,ADANIEXPO,EQ,512746,64320,12.54
20,9,ADLABSFILM,EQ,78667,37587,47.78
20,10,ADORWELD,EQ,39225,19386,49.42
20,11,AFTEKINFO,EQ,296819,173766,58.54
20,12,AGEEGOLD,EQ,19602,16820,85.81
20,13,AGRODUTCH,EQ,187468,113846,60.73
20,14,AHMEDELEC,EQ,62530,44562,71.26
20,15,AHMEDFORGE,EQ,11976,8785,73.36
20,16,AJANTPHARM,EQ,191424,56490,29.51
20,17,AKSHOPTFBR,EQ,130096,101359,77.91
20,18,ALBK,EQ,1164321,632254,54.30
20,19,ALEMBICLTD,EQ,494410,290258,58.71
20,20,ALFALAVAL,EQ,877,674,76.85
20,21,ALOKTEXT,EQ,1052991,627015,59.55
20,22,ALPSINDUS,EQ,70442,40213,57.09
20,23,AMBICAAGAR,EQ,154117,91475,59.35
20,24,AMITSPIN,EQ,187234,140425,75.00
20,25,AMTEKAUTO,EQ,242883,171049,70.42
20,26,AMTREXAPPL,EQ,7784,5330,68.47
20,27,ANDHRABANK,EQ,1831860,434960,23.74
20,28,ANDHRSUGAR,EQ,466335,204295,43.81
20,29,ANTGRAPHIC,EQ,21256,21256,100.00
20,30,APARINDS,EQ,13930,11272,80.92
20,31,APCOTEXLAT,EQ,11357,7528,66.29
20,32,APIL,EQ,86955,63794,73.36
20,33,APOLLOHOSP,EQ,138815,72250,52.05
20,34,APOLLOTYRE,EQ,22594,14659,64.88
20,35,APPAPER,EQ,11423,9069,79.39
20,36,APTECHT,EQ,2869716,1243246,43.32
20,37,ARCHIES,EQ,132455,39350,29.71
20,38,ARSBONDS,N1,25107,25100,99.97
20,39,ARVINDMILL,EQ,2435576,1222852,50.21
20,40,ASAHIINDIA,EQ,41125,26191,63.69
20,41,ASHAPURMIN,EQ,2758,2298,83.32
20,42,ASHIMASYN,EQ,361314,232492,64.35
20,43,ASHOKLEY,EQ,3615627,2418392,66.89
20,44,ASIANELEC,EQ,32820,20845,63.51
20,45,ASIANHOTEL,EQ,9843,9471,96.22
20,46,ASIANPAINT,EQ,32240,29340,91.00
