Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04022020,547896660,0001745
Trade Date <04-FEB-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,19419,13808,71.11
20,2,3IINFOTECH,EQ,1677171,867693,51.74
20,3,3MINDIA,EQ,8496,5938,69.89
20,4,3PLAND,EQ,2089,2075,99.33
20,5,5PAISA,EQ,3951,2230,56.44
20,6,63MOONS,EQ,80721,37560,46.53
20,7,762GS2039,GS,100,100,100.00
20,8,772GS2049,GS,300,300,100.00
20,9,A2ZINFRA,EQ,294270,164307,55.84
20,10,AAKASH,SM,84000,80000,95.24
20,11,AARON,SM,3300,3300,100.00
20,12,AARTIDRUGS,EQ,11955,8326,69.64
20,13,AARTIIND,EQ,198175,96979,48.94
20,14,AARVEEDEN,EQ,1956,558,28.53
20,15,AAVAS,EQ,15186,8367,55.10
20,16,ABAN,EQ,46730,33329,71.32
20,17,ABB,EQ,21892,8094,36.97
20,18,ABBOTINDIA,EQ,13188,7762,58.86
20,19,ABCAPITAL,EQ,2766962,1184363,42.80
20,20,ABFRL,EQ,506335,401733,79.34
20,21,ABINFRA,SM,12000,12000,100.00
20,22,ABSLBANETF,EQ,5,5,100.00
20,23,ABSLNN50ET,EQ,53,51,96.23
20,24,ACC,EQ,944148,418256,44.30
20,25,ACCELYA,EQ,3678,2540,69.06
20,26,ACCURACY,SM,3200,3200,100.00
20,27,ACE,EQ,296918,184802,62.24
20,28,ACEINTEG,SM,3000,3000,100.00
20,29,ADANIENT,EQ,2028088,290240,14.31
20,30,ADANIGAS,EQ,741382,267473,36.08
20,31,ADANIGREEN,EQ,3984199,1277550,32.07
20,32,ADANIPORTS,EQ,3061868,767128,25.05
20,33,ADANIPOWER,EQ,5643410,1135433,20.12
20,34,ADANITRANS,EQ,150439,56466,37.53
20,35,ADFFOODS,EQ,61100,40704,66.62
20,36,ADHUNIKIND,EQ,5478,4064,74.19
20,37,ADORWELD,EQ,7632,3837,50.28
20,38,ADVANIHOTR,EQ,38668,23392,60.49
20,39,ADVENZYMES,EQ,32507,20730,63.77
20,40,AEGISCHEM,EQ,1149314,387354,33.70
20,41,AFFLE,EQ,412370,174744,42.38
20,42,AGARIND,EQ,91397,52718,57.68
20,43,AGCNET,EQ,46897,33517,71.47
20,44,AGRITECH,EQ,10806,6977,64.57
20,45,AGROPHOS,EQ,2082,2082,100.00
20,46,AHLEAST,EQ,1989,1452,73.00
20,47,AHLUCONT,EQ,9340,4452,47.67
20,48,AHLWEST,EQ,422,115,27.25
20,49,AIAENG,EQ,9513,4341,45.63
20,50,AIONJSW,EQ,182647,151464,82.93
20,51,AIRAN,EQ,23232,13913,59.89
20,52,AJANTPHARM,EQ,428955,296793,69.19
20,53,AJMERA,EQ,63327,33400,52.74
20,54,AKSHARCHEM,EQ,1964,1583,80.60
20,55,AKSHOPTFBR,EQ,165041,94480,57.25
20,56,AKZOINDIA,EQ,10699,7341,68.61
20,57,ALANKIT,EQ,61586,27852,45.22
20,58,ALBERTDAVD,EQ,10397,5677,54.60
20,59,ALBK,EQ,687858,345480,50.23
20,60,ALEMBICLTD,EQ,202386,120802,59.69
20,61,ALICON,EQ,2637,1517,57.53
20,62,ALKALI,EQ,6815,5043,74.00
20,63,ALKEM,EQ,128380,66522,51.82
20,64,ALKYLAMINE,EQ,49992,34208,68.43
20,65,ALLCARGO,EQ,339467,185519,54.65
20,66,ALLSEC,EQ,8669,5830,67.25
20,67,ALMONDZ,EQ,2506,1906,76.06
20,68,ALPA,EQ,87186,38445,44.10
20,69,ALPHAGEO,EQ,7997,6147,76.87
20,70,AMARAJABAT,EQ,650241,164751,25.34
20,71,AMBER,EQ,121732,54842,45.05
20,72,AMBIKCO,EQ,2029,1623,79.99
20,73,AMBUJACEM,EQ,3761981,1899878,50.50
20,74,AMDIND,EQ,5051,4701,93.07
20,75,AMJLAND,EQ,2873,2631,91.58
20,76,AMRUTANJAN,EQ,42547,20240,47.57
20,77,ANANTRAJ,EQ,171563,88074,51.34
20,78,ANDHRABANK,EQ,312377,175412,56.15
20,79,ANDHRACEMT,EQ,237538,228981,96.40
20,80,ANDHRSUGAR,EQ,55154,38121,69.12
20,81,ANDPAPER,EQ,14367,8848,61.59
20,82,ANSALAPI,EQ,11434,9627,84.20
20,83,ANUP,EQ,20860,10688,51.24
20,84,APARINDS,EQ,23722,17738,74.77
20,85,APCL,EQ,6474,4005,61.86
20,86,APCOTEXIND,EQ,23644,13625,57.63
20,87,APEX,EQ,360664,94319,26.15
20,88,APLAPOLLO,EQ,39263,25648,65.32
20,89,APLLTD,EQ,146448,106323,72.60
20,90,APOLLO,EQ,28184,17754,62.99
20,91,APOLLOHOSP,EQ,384789,130709,33.97
20,92,APOLLOPIPE,EQ,11404,7160,62.78
20,93,APOLLOTYRE,EQ,3108857,1006803,32.38
20,94,APOLSINHOT,EQ,1658,1026,61.88
20,95,APTECHT,EQ,140440,47504,33.83
20,96,ARCHIDPLY,EQ,27528,11180,40.61
20,97,ARCHIES,EQ,34064,26995,79.25
20,98,ARIES,EQ,40404,26805,66.34
20,99,ARIHANT,EQ,3288,2519,76.61
20,100,ARIHANTSUP,EQ,3210,2362,73.58
20,101,ARMANFIN,EQ,7993,5589,69.92
20,102,AROGRANITE,EQ,10106,8087,80.02
20,103,ARROWGREEN,EQ,6408,3932,61.36
20,104,ARSHIYA,EQ,11436,10350,90.50
20,105,ARSSINFRA,EQ,9610,6152,64.02
20,106,ARVIND,EQ,1406751,595210,42.31
20,107,ARVINDFASN,EQ,11090,7051,63.58
20,108,ARVSMART,EQ,7560,4706,62.25
20,109,ASAHIINDIA,EQ,129924,71906,55.34
20,110,ASAHISONG,EQ,3633,2599,71.54
20,111,ASAL,EQ,5301,3655,68.95
20,112,ASCOM,SM,48000,44000,91.67
20,113,ASHAPURMIN,EQ,23316,22930,98.34
20,114,ASHIANA,EQ,20448,12525,61.25
20,115,ASHIMASYN,EQ,32094,19319,60.20
20,116,ASHOKA,EQ,355609,213006,59.90
20,117,ASHOKLEY,EQ,18338944,4802916,26.19
20,118,ASIANHOTNR,EQ,4716,2715,57.57
20,119,ASIANPAINT,EQ,1830049,709331,38.76
20,120,ASIANTILES,EQ,112685,39274,34.85
20,121,ASPINWALL,EQ,2646,1524,57.60
20,122,ASTEC,EQ,13315,8090,60.76
20,123,ASTERDM,EQ,80207,56935,70.99
20,124,ASTRAL,EQ,66124,41128,62.20
20,125,ASTRAMICRO,EQ,889013,479297,53.91
20,126,ASTRAZEN,EQ,36950,21917,59.32
20,127,ASTRON,EQ,42051,32461,77.19
20,128,ATFL,EQ,2995,2289,76.43
20,129,ATLANTA,EQ,16480,13753,83.45
20,130,ATUL,EQ,16139,10756,66.65
20,131,ATULAUTO,EQ,31894,16244,50.93
20,132,AUBANK,EQ,260618,149101,57.21
20,133,AURIONPRO,EQ,11296,8852,78.36
20,134,AUROPHARMA,EQ,4880725,719222,14.74
20,135,AUTOAXLES,EQ,5404,2614,48.37
20,136,AUTOLITIND,EQ,16346,8683,53.12
20,137,AVADHSUGAR,EQ,150275,61530,40.94
20,138,AVANTIFEED,EQ,1033295,452041,43.75
