Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04072005,136928905,0000726
Trade Date <04-JUL-2005>,Settlement Type <N>,Settlement No <2005127>,Settlement Date <06-JUL-2005>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,3IINFOTECH,EQ,131192,63169,48.15
20,2,3MINDIA,EQ,13068,9777,74.82
20,3,AARTIDRUGS,EQ,364482,177318,48.65
20,4,AARTIIND,EQ,138054,57718,41.81
20,5,ABANLOYD,EQ,63340,49625,78.35
20,6,ABB,EQ,9993,5024,50.28
20,7,ABSHEKINDS,EQ,155974,93399,59.88
20,8,ACC,EQ,480443,203108,42.28
20,9,ADANIEXPO,EQ,450171,19531,4.34
20,10,ADLABSFILM,EQ,2762160,270075,9.78
20,11,ADORWELD,EQ,79196,32238,40.71
20,12,AEGISCHEM,EQ,130417,91808,70.40
20,13,AFTEKINFO,EQ,312827,156260,49.95
20,14,AGRODUTCH,EQ,4889296,1043618,21.34
20,15,AHMEDFORGE,EQ,8527,7996,93.77
20,16,AJANTPHARM,EQ,142306,83396,58.60
20,17,AKSHOPTFBR,EQ,34650,29590,85.40
20,18,ALBK,EQ,393428,218977,55.66
20,19,ALEMBICLTD,EQ,110860,54030,48.74
20,20,ALFALAVAL,EQ,14245,13930,97.79
20,21,ALLSEC,EQ,133481,72154,54.06
20,22,ALOKTEXT,EQ,1062312,561871,52.89
20,23,ALPSINDUS,EQ,69574,29472,42.36
20,24,AMBICAAGAR,EQ,214977,118361,55.06
20,25,AMTEKAUTO,EQ,963956,400769,41.58
20,26,AMTEKINDIA,EQ,252559,238471,94.42
20,27,AMTREXAPPL,EQ,24307,14641,60.23
20,28,ANDHRABANK,EQ,634943,202817,31.94
20,29,ANDHRSUGAR,EQ,75399,38483,51.04
20,30,APARINDS,EQ,27288,15833,58.02
20,31,APCOTEXLAT,EQ,9204,7398,80.38
20,32,APIL,EQ,86560,34409,39.75
20,33,APOLLOHOSP,EQ,37827,18207,48.13
20,34,APOLLOTYRE,EQ,36650,22470,61.31
20,35,APPAPER,EQ,4960,3073,61.96
20,36,APTECHT,EQ,460535,189215,41.09
20,37,ARCHIES,EQ,34255,18129,52.92
20,38,ARHAMFISCL,EQ,3688308,720137,19.52
20,39,ARL,EQ,604130,383189,63.43
20,40,ARSBONDS,N1,30820,29948,97.17
20,41,ARVINDMILL,EQ,1284055,355521,27.69
20,42,ASAHIINDIA,EQ,33234,25746,77.47
20,43,ASHAPURMIN,EQ,3556,1897,53.35
20,44,ASHOKLEY,EQ,7539427,4391897,58.25
20,45,ASIANELEC,EQ,87062,48947,56.22
20,46,ASIANHOTEL,EQ,1564,1155,73.85
20,47,ASIANPAINT,EQ,84721,79970,94.39
20,48,ASTRAIDL,EQ,115,90,78.26
20,49,ASTRAMICRO,EQ,11106,10679,96.16
20,50,ATLASCYCLE,EQ,4304,2145,49.84
20,51,ATUL,EQ,83232,39017,46.88
20,52,AUROPHARMA,EQ,450151,134528,29.89
20,53,AUTOAXLES,EQ,6636,3937,59.33
20,54,AVAYAGCL,EQ,2418,1917,79.28
20,55,AVENTIS,EQ,4373,2508,57.35
20,56,AZTEC,EQ,238061,59614,25.04
20,57,BAGFILMS,EQ,2621805,1195168,45.59
20,58,BAGYAMETAL,EQ,60705,39718,65.43
20,59,BAJAJAUTO,EQ,144875,118388,81.72
20,60,BAJAJHIND,EQ,1012517,694472,68.59
20,61,BAJAUTOFIN,EQ,10401,7918,76.13
20,62,BALAJITELE,EQ,118562,60569,51.09
20,63,BALASPONGE,EQ,41890,27500,65.65
20,64,BALMLAWRIE,EQ,10905,6545,60.02
20,65,BALRAMCHIN,EQ,3756155,2046978,54.50
20,66,BANARISUG,EQ,6227,5805,93.22
20,67,BANKBARODA,EQ,364021,164288,45.13
20,68,BANKBEES,EQ,6050,6050,100.00
20,69,BANKINDIA,EQ,500067,212210,42.44
20,70,BANKPUNJAB,EQ,457045,307119,67.20
20,71,BANKRAJAS,EQ,383686,174489,45.48
20,72,BASF,EQ,14223,10688,75.15
20,73,BATAINDIA,EQ,543583,173682,31.95
20,74,BEL,EQ,112862,80477,71.31
20,75,BELCERAMIC,EQ,325843,153564,47.13
20,76,BEML,EQ,128591,65398,50.86
20,77,BEPL,EQ,151546,135759,89.58
20,78,BERGEPAINT,EQ,141695,106410,75.10
