Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04082003,130229929,0000741
Trade Date <04-AUG-2003>,Settlement Type <D>,Settlement No <2003149>,Settlement Date <06-AUG-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,20,20,100.00
20,2,0835E22,GC,20,20,100.00
Trade Date <04-AUG-2003>,Settlement Type <N>,Settlement No <2003149>,Settlement Date <06-AUG-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3,AARTIIND,EQ,14963,12246,81.84
20,4,ABANLLOYD,EQ,25709,15293,59.49
20,5,ABB,EQ,32802,25434,77.54
20,6,ABSHEKINDS,EQ,42542,33037,77.66
20,7,ABSIND,EQ,9073,6860,75.61
20,8,ACC,EQ,2640723,400585,15.17
20,9,ADANIEXPO,EQ,36478,2490,6.83
20,10,ADLABSFILM,EQ,27803,18388,66.14
20,11,ADVANIORLI,EQ,10079,9302,92.29
20,12,AEGISCHEM,EQ,27308,22744,83.29
20,13,AFTEKINFO,EQ,462501,104289,22.55
20,14,AGEEGOLD,EQ,1065,1045,98.12
20,15,AGREVOIND,EQ,865,865,100.00
20,16,AGRODUTCH,EQ,34371,24156,70.28
20,17,AHMEDELEC,EQ,49180,31722,64.50
20,18,AHMEDFORGE,EQ,53986,52386,97.04
20,19,AJANTPHARM,EQ,96547,50469,52.27
20,20,AKSHOPTFBR,EQ,43092,24820,57.60
20,21,ALBK,EQ,823274,494866,60.11
20,22,ALEMBICLTD,EQ,11871,6266,52.78
20,23,ALFALAVAL,EQ,4249,3079,72.46
20,24,ALOKTEXT,EQ,723313,380480,52.60
20,25,ALPSINDUS,EQ,1401,1400,99.93
20,26,AMARAJABAT,EQ,26616,17331,65.11
20,27,AMBUJARAJN,EQ,2998967,1702099,56.76
20,28,AMITSPIN,EQ,2320,2310,99.57
20,29,AMTEKAUTO,EQ,31275,17225,55.08
20,30,AMTREXAPPL,EQ,5350,5275,98.60
20,31,ANAMALFIN,EQ,5549,5445,98.13
20,32,ANDHRABANK,EQ,1952484,1182375,60.56
20,33,ANDHRSUGAR,EQ,401898,247014,61.46
20,34,ANTGRAPHIC,EQ,20039,18239,91.02
20,35,APCOTEXLAT,EQ,3014,2445,81.12
20,36,APIL,EQ,54472,36510,67.03
20,37,APOLLOHOSP,EQ,94773,73176,77.21
20,38,APOLLOTYRE,EQ,215249,119088,55.33
20,39,APTECHT,EQ,200153,75266,37.60
20,40,ARCHIES,EQ,5685,5002,87.99
20,41,ARHAMFISCL,EQ,79157,61749,78.01
20,42,ARIHANTCRE,EQ,98207,49479,50.38
20,43,ARL,EQ,3736584,1976034,52.88
20,44,ARVINDMILL,EQ,1778454,677782,38.11
20,45,ASAHIINDIA,EQ,207708,118864,57.23
20,46,ASHIMASYN,EQ,1810,1810,100.00
20,47,ASHKLEYFIN,EQ,60360,41129,68.14
20,48,ASHOKLEY,EQ,564759,328585,58.18
20,49,ASIANELEC,EQ,75748,49049,64.75
20,50,ASIANHOTEL,EQ,4430,4365,98.53
20,51,ASIANPAINT,EQ,23784,19751,83.04
20,52,ASTRAIDL,EQ,404,381,94.31
20,53,ATCOIND,EQ,19883,16050,80.72
20,54,ATFL,EQ,4018,3392,84.42
20,55,ATLASCYCLE,EQ,18622,15347,82.41
20,56,ATULPROD,EQ,31528,25808,81.86
20,57,AUROPHARMA,EQ,139609,92729,66.42
20,58,AUTOAXLES,EQ,161765,89527,55.34
20,59,AUTORIDFIN,EQ,8232,4150,50.41
20,60,AVENTIS,EQ,36672,25552,69.68
20,61,AZTEC,EQ,49851,37425,75.07
20,62,BAJAJAUTO,EQ,241330,110445,45.77
20,63,BAJAJHIND,EQ,28170,27467,97.50
20,64,BAJAJPLAST,EQ,8326,8076,97.00
20,65,BAJAUTOFIN,EQ,79037,43212,54.67
20,66,BALAJIDIST,EQ,27925,22025,78.87
