Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <04-SEP-2002>,Settlement No <2002171>,Settlement Date <09-SEP-2002>
10,MTO,04092002,027133794,0000770
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,150,125,83.33
20,2,ABANLLOYD,EQ,8792,4475,50.90
20,3,ABB,EQ,4737,3113,65.72
20,4,ABBALPO,EQ,31791,19365,60.91
20,5,ABBOTTLAB,EQ,692,110,15.90
20,6,ABSHEKINDS,EQ,56769,56168,98.94
20,7,ABSIND,EQ,2770,2485,89.71
20,8,ACC,EQ,350894,220269,62.77
20,9,ADANIEXPO,EQ,36691,1999,5.45
20,10,ADLABSFILM,EQ,18055,8652,47.92
20,11,ADVANIORLI,EQ,6755,6755,100.00
20,12,AEGISCHEM,EQ,951,950,99.89
20,13,AFTEKINFO,EQ,3420903,157862,4.61
20,14,AGEEGOLD,EQ,736,675,91.71
20,15,AGREVOIND,EQ,17465,17465,100.00
20,16,AGRODUTCH,EQ,45246,37306,82.45
20,17,AHMEDELEC,EQ,2127,1512,71.09
20,18,AHMEDFORGE,EQ,4400,3400,77.27
20,19,AJANTPHARM,EQ,6194,3200,51.66
20,20,AKSHOPTFBR,EQ,7525,5533,73.53
20,21,ALEMBICLTD,EQ,10015,8350,83.37
20,22,ALFALAVAL,EQ,683,481,70.42
20,23,ALOKTEXT,EQ,13800,10500,76.09
20,24,ALPSINDUS,EQ,1616,1415,87.56
20,25,AMARAJABAT,EQ,8220,6766,82.31
20,26,AMBUJARAJN,EQ,7440,5640,75.81
20,27,AMITSPIN,EQ,600,600,100.00
20,28,AMTREXAPPL,EQ,1240,1220,98.39
20,29,ANAMALFIN,EQ,200,200,100.00
20,30,ANDHRABANK,EQ,187097,148227,79.22
20,31,ANDHRSUGAR,EQ,3451,3100,89.83
20,32,ANTGRAPHIC,EQ,400,400,100.00
20,33,APCOTEXLAT,EQ,400,300,75.00
20,34,APOLLOHOSP,EQ,52908,19791,37.41
20,35,APOLLOTYRE,EQ,92948,19746,21.24
20,36,ARCHIES,EQ,9478,7300,77.02
20,37,ARHAMFISCL,EQ,56891,45548,80.06
20,38,ARIHANTCRE,EQ,43407,13730,31.63
20,39,ARVINDMILL,EQ,163058,96294,59.06
20,40,ASHIMASYN,EQ,367,253,68.94
