Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05022004,064009012,0000708
Trade Date <05-FEB-2004>,Settlement Type <N>,Settlement No <2004024>,Settlement Date <09-FEB-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIDRUGS,EQ,24030,4370,18.19
20,2,AARTIIND,EQ,36928,13029,35.28
20,3,ABANLLOYD,EQ,30572,17075,55.85
20,4,ABB,EQ,28839,17100,59.29
20,5,ABSHEKINDS,EQ,176812,108039,61.10
20,6,ABSIND,EQ,7222,4506,62.39
20,7,ACC,EQ,4799968,338397,7.05
20,8,ADANIEXPO,EQ,36290,5831,16.07
20,9,ADLABSFILM,EQ,71350,44190,61.93
20,10,ADVANIORLI,EQ,15639,11047,70.64
20,11,AEGISCHEM,EQ,5353,4026,75.21
20,12,AFTEKINFO,EQ,344384,92750,26.93
20,13,AGEEGOLD,EQ,100,100,100.00
20,14,AGRODUTCH,EQ,25505,18493,72.51
20,15,AHMEDELEC,EQ,32418,13157,40.59
20,16,AHMEDFORGE,EQ,100,100,100.00
20,17,AJANTPHARM,EQ,29504,15264,51.74
20,18,AKSHOPTFBR,EQ,26405,19620,74.30
20,19,ALBK,EQ,763070,299190,39.21
20,20,ALEMBICLTD,EQ,3602,2278,63.24
20,21,ALFALAVAL,EQ,1677,1538,91.71
20,22,ALOKTEXT,EQ,583852,358458,61.40
20,23,ALPSINDUS,EQ,45631,14120,30.94
20,24,AMARAJABAT,EQ,20355,9356,45.96
20,25,AMBUJARAJN,EQ,85264,69007,80.93
20,26,AMITSPIN,EQ,1898,1898,100.00
20,27,AMTEKAUTO,EQ,23495,18203,77.48
20,28,AMTREXAPPL,EQ,4815,4465,92.73
20,29,ANDHRABANK,EQ,1349117,344036,25.50
20,30,ANDHRSUGAR,EQ,37713,28170,74.70
20,31,ANTGRAPHIC,EQ,4800,4250,88.54
20,32,APCOTEXLAT,EQ,653,653,100.00
20,33,APIL,EQ,36667,15261,41.62
20,34,APOLLOHOSP,EQ,73343,29307,39.96
20,35,APOLLOTYRE,EQ,37639,23095,61.36
20,36,APTECHT,EQ,252618,93507,37.02
20,37,ARCHIES,EQ,25468,15500,60.86
20,38,ARHAMFISCL,EQ,117851,65155,55.29
20,39,ARL,EQ,591657,372296,62.92
20,40,ARVINDMILL,EQ,2408893,530081,22.01
20,41,ASAHIINDIA,EQ,26932,11324,42.05
20,42,ASHAPURMIN,EQ,1501,1421,94.67
20,43,ASHIMASYN,EQ,16075,15975,99.38
20,44,ASHKLEYFIN,EQ,9152,8328,91.00
20,45,ASHOKLEY,EQ,377289,160116,42.44
20,46,ASIANELEC,EQ,24342,21199,87.09
20,47,ASIANHOTEL,EQ,18198,15397,84.61
20,48,ASIANPAINT,EQ,6759,3879,57.39
20,49,ASTRAIDL,EQ,126,116,92.06
20,50,ATCOIND,EQ,28926,24275,83.92
20,51,ATLASCYCLE,EQ,2161,1961,90.75
20,52,ATNINT,EQ,88913,76122,85.61
20,53,ATULPROD,EQ,24279,20355,83.84
20,54,AUROPHARMA,EQ,61429,20205,32.89
20,55,AUTOAXLES,EQ,280,175,62.50
20,56,AUTORIDFIN,EQ,1300,1300,100.00
20,57,AVENTIS,EQ,3103,2315,74.61
20,58,AZTEC,EQ,50975,20247,39.72
20,59,BAGFILMS,EQ,35055,20811,59.37
20,60,BAJAJAUTO,EQ,201456,108692,53.95
20,61,BAJAJHIND,EQ,1286,1055,82.04
20,62,BAJAJPLAST,EQ,201,200,99.50
20,63,BAJAUTOFIN,EQ,6126,4590,74.93
20,64,BALAJIDIST,EQ,5900,5400,91.53
20,65,BALAJITELE,EQ,282051,120574,42.75
20,66,BALASPONGE,EQ,205066,119948,58.49
20,67,BALMLAWRIE,EQ,12723,10213,80.27
20,68,BALRAMCHIN,EQ,29912,27341,91.40
20,69,BANARISUG,EQ,763,643,84.27
20,70,BANKBARODA,EQ,1119932,263721,23.55
20,71,BANKINDIA,EQ,2113484,375449,17.76
20,72,BANKPUNJAB,EQ,332167,119376,35.94
20,73,BANKRAJAS,EQ,317235,182714,57.60
20,74,BASF,EQ,22122,17564,79.40
20,75,BATAINDIA,EQ,175082,116433,66.50
20,76,BBTC,EQ,1201,1090,90.76
20,77,BEL,EQ,192657,90639,47.05
20,78,BEML,EQ,212005,51676,24.37
20,79,BERGEPAINT,EQ,9097,6776,74.49
20,80,BFLSOFTWAR,EQ,4661,2253,48.34
20,81,BGFL,EQ,20001,18020,90.10
20,82,BHARATFORG,EQ,52009,43271,83.20
20,83,BHARATGEAR,EQ,1490,1190,79.87
20,84,BHARATRAS,EQ,1001,799,79.82
20,85,BHARTI,EQ,2384723,902737,37.86
20,86,BHEL,EQ,982649,298336,30.36
20,87,BHUSANSTL,EQ,163649,100549,61.44
20,88,BIL,EQ,19905,17186,86.34
20,89,BILT,EQ,486931,230336,47.30
20,90,BINDALAGRO,EQ,46253,29001,62.70
20,91,BIRLA3M,EQ,490,390,79.59
20,92,BIRLAERIC,EQ,28891,13357,46.23
20,93,BIRLAJUTE,EQ,194786,78873,40.49
20,94,BLBLIMITED,EQ,6600,6600,100.00
20,95,BLUEDART,EQ,12724,12189,95.80
20,96,BLUESTARCO,EQ,7795,7049,90.43
20,97,BLUESTINFO,EQ,4604,3493,75.87
20,98,BOMDYEING,EQ,873427,362332,41.48
20,99,BONGAIREFN,EQ,1484407,344041,23.18
20,100,BPCL,EQ,1053117,270053,25.64
20,101,BPL,EQ,75620,23665,31.29
20,102,BPLENGG,EQ,9800,8349,85.19
20,103,BPLREFRIG,EQ,2500,2500,100.00
20,104,BPLSANTECH,EQ,500,300,60.00
20,105,BPLSANUTIL,EQ,2354,2004,85.13
20,106,BRITANNIA,EQ,7704,4514,58.59
20,107,BSELINFO,EQ,77500,3200,4.13
20,108,BSES,EQ,495644,186189,37.57
20,109,CADILAHC,EQ,33074,14943,45.18
20,110,CALSOFT,EQ,200,0,0.00
20,111,CANBK,EQ,6351716,1011389,15.92
20,112,CANFINHOME,EQ,22132,16436,74.26
20,113,CARBORUNIV,EQ,2727,2302,84.42
20,114,CEAT,EQ,92758,63557,68.52
20,115,CENTENKA,EQ,164398,81787,49.75
20,116,CENTURYTEX,EQ,417960,58910,14.09
20,117,CESC,EQ,213284,75320,35.31
20,118,CGIGARSH,EQ,4291,2825,65.84
20,119,CHAMBLFERT,EQ,425814,270889,63.62
20,120,CHEMPLAST,EQ,493,491,99.59
20,121,CHENNPETRO,EQ,271335,112090,41.31
20,122,CHESLINTEX,EQ,8285,6865,82.86
20,123,CHLORIDIND,EQ,21859,17914,81.95
20,124,CHOLAINV,EQ,4811,3250,67.55
20,125,CIMCOBIRLA,EQ,1592,1592,100.00
20,126,CINEVISTA,EQ,3590,2528,70.42
20,127,CIPL,EQ,293988,239456,81.45
20,128,CIPLA,EQ,127792,79886,62.51
20,129,CLARIANT,EQ,4014,3807,94.84
20,130,CMC,EQ,4396,1719,39.10
20,131,COATESIND,EQ,1626,1466,90.16
20,132,COCHINREFN,EQ,140266,69273,49.39
20,133,COLGATE,EQ,139425,51927,37.24
20,134,COLORCHEM,EQ,2330,1350,57.94
20,135,COMPUDYNE,EQ,16355,10670,65.24
