Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05032003,032872035,0000724
Trade Date <05-MAR-2003>,Settlement Type <D>,Settlement No <2003045>,Settlement Date <10-MAR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0746H17,GC,1000,1000,100.00
20,2,0807A17,GC,1000,1000,100.00
20,3,0939G11,GC,10,10,100.00
Trade Date <05-MAR-2003>,Settlement Type <N>,Settlement No <2003045>,Settlement Date <10-MAR-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,4,AARTIIND,EQ,125,125,100.00
20,5,ABANLLOYD,EQ,10603,8718,82.22
20,6,ABB,EQ,22921,9948,43.40
20,7,ABBALPO,EQ,35123,24247,69.03
20,8,ABBOTTLAB,EQ,2926,671,22.93
20,9,ABSHEKINDS,EQ,5610,4410,78.61
20,10,ABSIND,EQ,9350,5746,61.45
20,11,ACC,EQ,1053098,458358,43.52
20,12,ADANIEXPO,EQ,35276,989,2.80
20,13,ADLABSFILM,EQ,15650,8930,57.06
20,14,ADVANIORLI,EQ,2315,1929,83.33
20,15,AEGISCHEM,EQ,2450,2000,81.63
20,16,AFTEKINFO,EQ,462282,38047,8.23
20,17,AGREVOIND,EQ,625,625,100.00
20,18,AGRODUTCH,EQ,6261,6110,97.59
20,19,AHMEDELEC,EQ,854,754,88.29
20,20,AHMEDFORGE,EQ,500,500,100.00
20,21,AJANTPHARM,EQ,4654,304,6.53
20,22,AKSHOPTFBR,EQ,11780,8290,70.37
20,23,ALBK,EQ,253417,169852,67.02
20,24,ALEMBICLTD,EQ,2546,1996,78.40
20,25,ALFALAVAL,EQ,526,475,90.30
20,26,ALOKTEXT,EQ,44732,37170,83.09
20,27,ALPSINDUS,EQ,12,11,91.67
20,28,AMARAJABAT,EQ,6471,4715,72.86
20,29,AMBUJARAJN,EQ,35343,34143,96.60
20,30,AMITSPIN,EQ,4846,4245,87.60
20,31,AMTREXAPPL,EQ,21915,18295,83.48
20,32,ANDHRABANK,EQ,3993523,713607,17.87
20,33,ANDHRSUGAR,EQ,19901,18101,90.96
20,34,ANTGRAPHIC,EQ,400,400,100.00
20,35,APCOTEXLAT,EQ,110,64,58.18
20,36,APOLLOHOSP,EQ,376032,64100,17.05
20,37,APOLLOTYRE,EQ,24332,16020,65.84
20,38,APTECHT,EQ,68530,42256,61.66
20,39,ARCHIES,EQ,562,442,78.65
20,40,ARHAMFISCL,EQ,21639,20279,93.72
20,41,ARIHANTCRE,EQ,46600,8000,17.17
20,42,ARL,EQ,156302,93412,59.76
20,43,ARVINDMILL,EQ,572904,297668,51.96
20,44,ASAHIINDIA,EQ,32465,30075,92.64
20,45,ASHIMASYN,EQ,175,175,100.00
20,46,ASHKLEYFIN,EQ,5439,5029,92.46
20,47,ASHOKLEY,EQ,18608,11951,64.23
20,48,ASIANELEC,EQ,720,720,100.00
20,49,ASIANHOTEL,EQ,5090,4339,85.25
20,50,ASIANPAINT,EQ,21210,15651,73.79
20,51,ASTRAIDL,EQ,200,0,0.00
20,52,ATCOIND,EQ,12341,11574,93.78
20,53,ATFL,EQ,1198,1183,98.75
20,54,ATLASCOPCO,EQ,736,726,98.64
20,55,ATLASCYCLE,EQ,440,440,100.00
20,56,ATULPROD,EQ,3205,3005,93.76
20,57,AUROPHARMA,EQ,6295,4660,74.03
20,58,AZTEC,EQ,27234,17968,65.98
20,59,BAJAJAUTO,EQ,110413,52127,47.21
20,60,BAJAJHIND,EQ,451,250,55.43
20,61,BAJAUTOFIN,EQ,2740,2740,100.00
20,62,BALAJIDIST,EQ,4817,3674,76.27
20,63,BALAJITELE,EQ,71862,41897,58.30
20,64,BALMLAWRIE,EQ,2424,2187,90.22
20,65,BALRAMCHIN,EQ,10688,9650,90.29
20,66,BANKBARODA,EQ,1757097,359426,20.46
20,67,BANKINDIA,EQ,430243,171891,39.95
20,68,BANKPUNJAB,EQ,127493,98593,77.33
20,69,BANKRAJAS,EQ,128836,74573,57.88
20,70,BASF,EQ,4914,3968,80.75
20,71,BATAINDIA,EQ,28980,24119,83.23
20,72,BAUSCHLOMB,EQ,27316,25846,94.62
20,73,BAYER,EQ,181,78,43.09
20,74,BEL,EQ,241700,83138,34.40
20,75,BELCERAMIC,EQ,20100,20100,100.00
20,76,BEML,EQ,141559,45340,32.03
20,77,BERGEPAINT,EQ,1139,1139,100.00
20,78,BFLSOFTWAR,EQ,7588,3870,51.00
20,79,BGFL,EQ,1811,1700,93.87
20,80,BHARATFORG,EQ,28019,20197,72.08
20,81,BHARATGEAR,EQ,75,75,100.00
20,82,BHARATHOT,EQ,733,708,96.59
20,83,BHARATRAS,EQ,6200,6200,100.00
20,84,BHARTI,EQ,593961,504024,84.86
20,85,BHEL,EQ,465707,119012,25.56
20,86,BIL,EQ,1265,1255,99.21
20,87,BILT,EQ,55077,37635,68.33
20,88,BINDALAGRO,EQ,20456,13385,65.43
20,89,BIRLA3M,EQ,2873,2315,80.58
20,90,BIRLAERIC,EQ,3310,2605,78.70
20,91,BIRLAJUTE,EQ,17520,14250,81.34
20,92,BLBLIMITED,EQ,102,100,98.04
20,93,BLUECHIP,EQ,2,1,50.00
20,94,BLUEDART,EQ,3832,3300,86.12
20,95,BLUESTARCO,EQ,2822,2281,80.83
20,96,BLUESTINFO,EQ,9980,5021,50.31
20,97,BOMDYEING,EQ,10850,7976,73.51
20,98,BONGAIREFN,EQ,416956,233856,56.09
20,99,BOOTSPHARM,EQ,964,964,100.00
20,100,BPCL,EQ,1220325,416088,34.10
20,101,BPL,EQ,13873,9967,71.84
20,102,BPLENGG,EQ,11687,11086,94.86
20,103,BPLREFRIG,EQ,1795,1795,100.00
20,104,BPLSANTECH,EQ,163,81,49.69
20,105,BPLSANUTIL,EQ,614,614,100.00
20,106,BRITANNIA,EQ,2934,1958,66.73
20,107,BSES,EQ,31970,17550,54.90
20,108,BSL,EQ,100,100,100.00
20,109,BURRWELCOM,EQ,2287,1315,57.50
20,110,CADILAHC,EQ,4099,2024,49.38
20,111,CANBK,EQ,4887561,692025,14.16
20,112,CANFINHOME,EQ,21238,18632,87.73
20,113,CARBORUNIV,EQ,707,707,100.00
20,114,CASTROL,EQ,28311,18958,66.96
20,115,CEAT,EQ,29903,26850,89.79
20,116,CENTENKA,EQ,10274,9011,87.71
20,117,CENTURION,EQ,288923,170663,59.07
20,118,CENTURYTEX,EQ,331050,141518,42.75
20,119,CESC,EQ,12352,11952,96.76
20,120,CGIGARSH,EQ,7545,5145,68.19
20,121,CHAMBLFERT,EQ,186970,133943,71.64
20,122,CHEMPLAST,EQ,1677,1677,100.00
20,123,CHENNPETRO,EQ,57688,38667,67.03
20,124,CHESLINTEX,EQ,1700,1700,100.00
20,125,CHLORIDIND,EQ,4069,3269,80.34
20,126,CHOLAINV,EQ,8427,8276,98.21
20,127,CIBASPEC,EQ,135,135,100.00
20,128,CIMCOBIRLA,EQ,180,60,33.33
20,129,CINEVISTA,EQ,1710,1400,81.87
20,130,CIPL,EQ,22519,22519,100.00
