Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05032020,596230134,0001860
Trade Date <05-MAR-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,9134,4197,45.95
20,2,21STCENMGM,EQ,257,163,63.42
20,3,3IINFOTECH,EQ,740462,453947,61.31
20,4,3MINDIA,EQ,51972,9570,18.41
20,5,3PLAND,EQ,2299,2200,95.69
20,6,3RDROCK,IT,5200,5200,100.00
20,7,5PAISA,EQ,3662,2799,76.43
20,8,63MOONS,EQ,70818,22805,32.20
20,9,772GS2049,GS,271,271,100.00
20,10,A2ZINFRA,EQ,243031,163225,67.16
20,11,AAKASH,SM,4000,4000,100.00
20,12,AARON,SM,3300,3300,100.00
20,13,AARTIDRUGS,EQ,65622,27336,41.66
20,14,AARTIIND,EQ,162734,100076,61.50
20,15,AARVEEDEN,EQ,4426,3601,81.36
20,16,AAVAS,EQ,27074,19776,73.04
20,17,ABAN,EQ,64497,37170,57.63
20,18,ABB,EQ,27103,15760,58.15
20,19,ABBOTINDIA,EQ,14482,8149,56.27
20,20,ABCAPITAL,EQ,1439424,597046,41.48
20,21,ABFRL,EQ,253270,141690,55.94
20,22,ABINFRA,SM,8000,4000,50.00
20,23,ABSLBANETF,EQ,1,1,100.00
20,24,ABSLNN50ET,EQ,57,45,78.95
20,25,ABSLRIF6RG,MF,10000,10000,100.00
20,26,ACC,EQ,826033,229627,27.80
20,27,ACCELYA,EQ,5408,4450,82.29
20,28,ACCORD,SM,2000,2000,100.00
20,29,ACCURACY,SM,70400,70400,100.00
20,30,ACE,EQ,79433,32786,41.28
20,31,ADANIENT,EQ,3159080,372056,11.78
20,32,ADANIGAS,EQ,2696074,731933,27.15
20,33,ADANIGREEN,EQ,1252377,547353,43.71
20,34,ADANIPORTS,EQ,2709900,1088360,40.16
20,35,ADANIPOWER,EQ,9256866,1628127,17.59
20,36,ADANITRANS,EQ,90096,50063,55.57
20,37,ADFFOODS,EQ,50481,32231,63.85
20,38,ADHUNIKIND,EQ,12641,10205,80.73
20,39,ADLABS,EQ,32337,26794,82.86
20,40,ADORWELD,EQ,1187,896,75.48
20,41,ADROITINFO,EQ,1601,1601,100.00
20,42,ADSL,EQ,39635,37257,94.00
20,43,ADVANIHOTR,EQ,1759,1685,95.79
20,44,ADVENZYMES,EQ,27112,17482,64.48
20,45,AEGISCHEM,EQ,356339,246164,69.08
20,46,AGARIND,EQ,7875,5756,73.09
20,47,AGRITECH,EQ,7391,5977,80.87
20,48,AGROPHOS,EQ,21815,20156,92.40
20,49,AHLEAST,EQ,606,334,55.12
20,50,AHLUCONT,EQ,55761,49986,89.64
20,51,AHLWEST,EQ,2431,877,36.08
20,52,AIAENG,EQ,26194,15768,60.20
20,53,AIONJSW,EQ,74951,59345,79.18
20,54,AIRAN,EQ,20587,17140,83.26
20,55,AJANTPHARM,EQ,537796,120062,22.32
20,56,AJMERA,EQ,25091,12312,49.07
20,57,AJOONI,SM,8000,8000,100.00
20,58,AKSHARCHEM,EQ,3582,1993,55.64
20,59,AKSHOPTFBR,EQ,276645,176567,63.82
20,60,AKZOINDIA,EQ,13805,6568,47.58
20,61,ALANKIT,EQ,323415,134695,41.65
20,62,ALBERTDAVD,EQ,5880,3104,52.79
20,63,ALBK,EQ,3204476,1015756,31.70
20,64,ALEMBICLTD,EQ,56701,24677,43.52
20,65,ALICON,EQ,3700,2438,65.89
20,66,ALKALI,EQ,3674,2845,77.44
20,67,ALKEM,EQ,54742,28271,51.64
20,68,ALKYLAMINE,EQ,19811,10007,50.51
20,69,ALLCARGO,EQ,165388,56358,34.08
20,70,ALLSEC,EQ,464,251,54.09
20,71,ALMONDZ,EQ,1158,1080,93.26
20,72,ALOKINDS,EQ,325161,325150,100.00
20,73,ALPA,EQ,23017,16490,71.64
20,74,ALPHAGEO,EQ,32158,9800,30.47
20,75,AMARAJABAT,EQ,415269,98254,23.66
20,76,AMBER,EQ,89510,29640,33.11
20,77,AMBIKCO,EQ,2220,1701,76.62
20,78,AMBUJACEM,EQ,2414347,737220,30.53
20,79,AMDIND,EQ,32028,10487,32.74
20,80,AMJLAND,EQ,3670,2561,69.78
20,81,AMRUTANJAN,EQ,41068,27531,67.04
20,82,ANANTRAJ,EQ,186288,146937,78.88
20,83,ANDHRABANK,EQ,1388067,488196,35.17
20,84,ANDHRACEMT,EQ,72752,43971,60.44
20,85,ANDHRAPAP,EQ,2994,1404,46.89
20,86,ANDHRSUGAR,EQ,36160,19214,53.14
20,87,ANIKINDS,EQ,676,597,88.31
20,88,ANKITMETAL,EQ,22525,22519,99.97
20,89,ANSALAPI,EQ,113300,101492,89.58
20,90,ANSALHSG,EQ,25123,20612,82.04
20,91,ANUP,EQ,3657,2942,80.45
20,92,APARINDS,EQ,52361,38568,73.66
20,93,APCL,EQ,8702,7929,91.12
20,94,APCOTEXIND,EQ,37215,24199,65.02
20,95,APEX,EQ,283040,49543,17.50
20,96,APLAPOLLO,EQ,35935,27845,77.49
20,97,APLLTD,EQ,212163,107850,50.83
20,98,APOLLO,EQ,25793,13738,53.26
20,99,APOLLOHOSP,EQ,661463,231582,35.01
20,100,APOLLOPIPE,EQ,4386,2757,62.86
