Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05052010,291524549,0001273
Trade Date <05-MAY-2010>,Settlement Type <N>,Settlement No <2010082>,Settlement Date <07-MAY-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,33247,9473,28.49
20,2,3IINFOTECH,EQ,1125327,413885,36.78
20,3,3MINDIA,EQ,312,255,81.73
20,4,AARTIDRUGS,EQ,85455,31414,36.76
20,5,AARTIIND,EQ,25540,16985,66.50
20,6,AARVEEDEN,EQ,2029,1325,65.30
20,7,ABAN,EQ,1959771,745233,38.03
20,8,ABB,EQ,311709,111822,35.87
20,9,ABBOTINDIA,EQ,1766,688,38.96
20,10,ABCIL,EQ,41315,22099,53.49
20,11,ABGSHIP,EQ,325444,87316,26.83
20,12,ABIRLANUVO,EQ,262609,168085,64.01
20,13,ABSHEKINDS,EQ,464668,204959,44.11
20,14,ACC,EQ,362259,131647,36.34
20,15,ACE,EQ,198225,99555,50.22
20,16,ACKRUTI,EQ,15858,6280,39.60
20,17,ADANIENT,EQ,430138,300548,69.87
20,18,ADANIPOWER,EQ,1382157,858528,62.12
20,19,ADHUNIK,EQ,533086,293132,54.99
20,20,ADORWELD,EQ,86613,22642,26.14
20,21,ADSL,EQ,168004,124976,74.39
20,22,ADVANIHOTR,EQ,2219,1822,82.11
20,23,ADVANTA,EQ,11433,8495,74.30
20,24,AEGISCHEM,EQ,56447,14470,25.63
20,25,AFL,EQ,4026,2514,62.44
20,26,AFTEK,EQ,351014,212851,60.64
20,27,AHLUCONT,EQ,15478,6869,44.38
20,28,AHMEDFORGE,EQ,21456,9086,42.35
20,29,AIAENG,EQ,11540,5220,45.23
20,30,AJANTPHARM,EQ,57537,17335,30.13
20,31,AJMERA,EQ,137225,47354,34.51
20,32,AKSHOPTFBR,EQ,167195,123834,74.07
20,33,ALBK,EQ,2354261,732602,31.12
20,34,ALCHEM,EQ,109825,45410,41.35
20,35,ALEMBICLTD,EQ,837526,190663,22.77
20,36,ALFALAVAL,EQ,243,80,32.92
20,37,ALKALI,EQ,87095,29733,34.14
20,38,ALKYLAMINE,EQ,570,378,66.32
20,39,ALLCARGO,EQ,22767,11092,48.72
20,40,ALMONDZ,EQ,41447,30143,72.73
20,41,ALOKTEXT,EQ,2225861,919748,41.32
20,42,ALPHAGEO,EQ,31420,14502,46.16
20,43,ALPSINDUS,EQ,65624,53449,81.45
20,44,AMAR,EQ,92164,47538,51.58
