Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05052020,627210995,0001722
Trade Date <05-MAY-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,24465,14598,59.67
20,2,21STCENMGM,EQ,1342,1342,100.00
20,3,3IINFOTECH,EQ,8180942,5799283,70.89
20,4,3MINDIA,EQ,1831,979,53.47
20,5,3PLAND,EQ,1108,1108,100.00
20,6,5PAISA,EQ,10322,7755,75.13
20,7,617GS2021,GS,5,5,100.00
20,8,618GS2024,GS,50,50,100.00
20,9,645GS2029,GS,5,5,100.00
20,10,726GS2029,GS,400,400,100.00
20,11,A2ZINFRA,EQ,353588,258085,72.99
20,12,AARTIDRUGS,EQ,33326,11891,35.68
20,13,AARTIIND,EQ,2136515,642651,30.08
20,14,AARVEEDEN,EQ,4969,4466,89.88
20,15,AAVAS,EQ,126504,121146,95.76
20,16,ABB,EQ,24433,9858,40.35
20,17,ABBOTINDIA,EQ,34246,10398,30.36
20,18,ABCAPITAL,EQ,1937201,1063693,54.91
20,19,ABFRL,EQ,1207674,512002,42.40
20,20,ABSLBANETF,EQ,73000,65000,89.04
20,21,ABSLNN50ET,EQ,321,212,66.04
20,22,ABSLRIF6RG,MF,26500,26500,100.00
20,23,ACC,EQ,2292647,873452,38.10
20,24,ACCELYA,EQ,19622,15256,77.75
20,25,ACE,EQ,149793,45709,30.51
20,26,ADANIENT,EQ,3112486,824778,26.50
20,27,ADANIGAS,EQ,1852718,489101,26.40
20,28,ADANIGREEN,EQ,594712,310387,52.19
20,29,ADANIPORTS,EQ,4866839,1214476,24.95
20,30,ADANIPOWER,EQ,5987373,931430,15.56
20,31,ADANITRANS,EQ,96209,71052,73.85
20,32,ADFFOODS,EQ,14512,6075,41.86
20,33,ADHUNIKIND,EQ,4617,4617,100.00
20,34,ADORWELD,EQ,2178,1040,47.75
20,35,ADSL,EQ,9958,4689,47.09
20,36,ADVANIHOTR,EQ,3370,1723,51.13
20,37,ADVENZYMES,EQ,41484,25067,60.43
20,38,AEGISCHEM,EQ,259797,175619,67.60
20,39,AGARIND,EQ,4126,1692,41.01
20,40,AGRITECH,EQ,7492,3993,53.30
20,41,AGROPHOS,EQ,7141,7141,100.00
20,42,AHLADA,SM,11000,5000,45.45
20,43,AHLEAST,EQ,509,317,62.28
20,44,AHLUCONT,EQ,2493,1268,50.86
20,45,AIAENG,EQ,13161,7573,57.54
20,46,AIRAN,EQ,57883,37702,65.13
20,47,AISL,SM,7200,7200,100.00
20,48,AJANTPHARM,EQ,84039,35341,42.05
20,49,AJMERA,EQ,33485,11004,32.86
20,50,AKSHARCHEM,EQ,26299,10196,38.77
20,51,AKSHOPTFBR,EQ,240777,178443,74.11
20,52,AKZOINDIA,EQ,5359,2666,49.75
20,53,ALANKIT,EQ,78918,56798,71.97
20,54,ALBERTDAVD,EQ,15158,6750,44.53
20,55,ALEMBICLTD,EQ,212609,85141,40.05
20,56,ALICON,EQ,262,138,52.67
20,57,ALKALI,EQ,11286,6076,53.84
20,58,ALKEM,EQ,205986,73698,35.78
20,59,ALKYLAMINE,EQ,54345,21068,38.77
20,60,ALLCARGO,EQ,86943,49416,56.84
20,61,ALLSEC,EQ,753,534,70.92
20,62,ALMONDZ,EQ,740,380,51.35
20,63,ALOKINDS,EQ,1320366,1320363,100.00
20,64,ALPA,EQ,37082,21910,59.09
20,65,ALPHAGEO,EQ,18817,11539,61.32
20,66,AMARAJABAT,EQ,2404713,328483,13.66
20,67,AMBER,EQ,47975,17749,37.00
20,68,AMBIKCO,EQ,4270,3090,72.37
20,69,AMBUJACEM,EQ,4097025,1297707,31.67
20,70,AMDIND,EQ,3611,3135,86.82
20,71,AMJLAND,EQ,1625,1344,82.71
20,72,AMJUMBO,SM,8000,8000,100.00
20,73,AMRUTANJAN,EQ,38713,17673,45.65
20,74,ANANTRAJ,EQ,115176,105285,91.41
20,75,ANDHRAPAP,EQ,6250,4233,67.73
20,76,ANDHRSUGAR,EQ,44726,20186,45.13
20,77,ANKITMETAL,EQ,6200,6200,100.00
20,78,ANSALAPI,EQ,52981,50368,95.07
20,79,ANSALHSG,EQ,18901,15391,81.43
20,80,ANUP,EQ,6761,6112,90.40
20,81,APARINDS,EQ,207440,60467,29.15
20,82,APCL,EQ,2710,1537,56.72
20,83,APCOTEXIND,EQ,14217,9703,68.25
20,84,APEX,EQ,209064,60541,28.96
20,85,APLAPOLLO,EQ,60613,27402,45.21
20,86,APLLTD,EQ,480970,293049,60.93
20,87,APOLLO,EQ,360200,104898,29.12
20,88,APOLLOHOSP,EQ,652261,168854,25.89
20,89,APOLLOPIPE,EQ,144517,135139,93.51
20,90,APOLLOTYRE,EQ,9058098,2257330,24.92
20,91,APOLSINHOT,EQ,280,200,71.43
20,92,APTECHT,EQ,183536,62994,34.32
20,93,ARCHIDPLY,EQ,46460,24778,53.33
20,94,ARCOTECH,EQ,30174,28900,95.78
20,95,ARENTERP,EQ,1627,1243,76.40
20,96,ARIES,EQ,10522,8161,77.56
20,97,ARIHANT,EQ,3254,2407,73.97
20,98,ARIHANTSUP,EQ,9298,8456,90.94
20,99,ARMANFIN,EQ,17345,12530,72.24
20,100,AROGRANITE,EQ,2419,1983,81.98
20,101,ARSHIYA,EQ,80401,41424,51.52
20,102,ARTEMISMED,EQ,405,229,56.54
20,103,ARVIND,EQ,929798,478952,51.51
20,104,ARVINDFASN,EQ,19457,15245,78.35
20,105,ARVSMART,EQ,14478,7785,53.77
20,106,ASAHIINDIA,EQ,6449,3621,56.15
20,107,ASAHISONG,EQ,3797,2489,65.55
20,108,ASAL,EQ,3763,2287,60.78
20,109,ASALCBR,EQ,374289,131596,35.16
20,110,ASHAPURMIN,EQ,22446,20252,90.23
20,111,ASHIANA,EQ,44841,30686,68.43
20,112,ASHOKA,EQ,201062,119929,59.65
20,113,ASHOKLEY,EQ,41056572,17696543,43.10
20,114,ASIANHOTNR,EQ,2103,1380,65.62
20,115,ASIANPAINT,EQ,5867979,1388876,23.67
20,116,ASIANTILES,EQ,17330,9321,53.79
20,117,ASLIND,SM,4000,4000,100.00
20,118,ASPINWALL,EQ,202,92,45.54
20,119,ASTEC,EQ,38250,15268,39.92
20,120,ASTERDM,EQ,67981,46300,68.11
20,121,ASTRAL,EQ,49319,19501,39.54
20,122,ASTRAMICRO,EQ,75437,38519,51.06
20,123,ASTRAZEN,EQ,131009,27165,20.74
20,124,ASTRON,EQ,33527,28089,83.78
20,125,ATFL,EQ,3329,2104,63.20
20,126,ATLANTA,EQ,14304,14293,99.92
20,127,ATUL,EQ,33627,11404,33.91
20,128,ATULAUTO,EQ,25687,18447,71.81
20,129,AUBANK,EQ,1036931,572052,55.17
20,130,AURIONPRO,EQ,4210,3520,83.61
20,131,AUROPHARMA,EQ,6453306,714503,11.07
20,132,AUSOMENT,EQ,2460,1564,63.58
20,133,AUTOAXLES,EQ,11115,4235,38.10
20,134,AUTOIND,EQ,16323,16263,99.63
20,135,AUTOLITIND,EQ,1988,1783,89.69
20,136,AVADHSUGAR,EQ,14500,8351,57.59
20,137,AVANTIFEED,EQ,296687,89424,30.14
20,138,AVTNPL,EQ,50532,39359,77.89
20,139,AXISBANK,EQ,50982763,11211336,21.99
20,140,AXISCADES,EQ,36313,27083,74.58
20,141,AXISGOLD,EQ,3440,2420,70.35
20,142,AXISNIFTY,EQ,6,6,100.00
20,143,AYMSYNTEX,EQ,5808,2319,39.93
20,144,BAJAJ-AUTO,EQ,663761,146266,22.04
20,145,BAJAJCON,EQ,246182,127822,51.92
20,146,BAJAJELEC,EQ,936063,521742,55.74
20,147,BAJAJFINSV,EQ,815889,121923,14.94
20,148,BAJAJHIND,EQ,606151,585085,96.52
20,149,BAJAJHLDNG,EQ,23991,13386,55.80
20,150,BAJFINANCE,EQ,11521295,2068250,17.95
20,151,BALAJITELE,EQ,70907,52094,73.47
20,152,BALAMINES,EQ,90496,32367,35.77
20,153,BALKRISHNA,EQ,12003,9207,76.71
20,154,BALKRISIND,EQ,680952,89083,13.08
20,155,BALLARPUR,EQ,1134024,753022,66.40
