Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <05-JUN-2002>,Settlement No <2002107>,Settlement Date <10-JUN-2002>
10,MTO,05062002,095616700,0000782
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,485,485,100.00
20,2,ABANLLOYD,EQ,24131,20945,86.80
20,3,ABB,EQ,2640,1384,52.42
20,4,ABBALPO,EQ,121242,56814,46.86
20,5,ABBOTTLAB,EQ,611,511,83.63
20,6,ABSHEKINDS,EQ,7424,4200,56.57
20,7,ABSIND,EQ,3460,3085,89.16
20,8,ACC,EQ,568853,284996,50.10
20,9,ADANIEXPO,EQ,73407,2000,2.72
20,10,ADLABSFILM,EQ,405338,86565,21.36
20,11,ADVANIORLI,EQ,4860,4459,91.75
20,12,AEGISCHEM,EQ,1651,1651,100.00
20,13,AFTEKINFO,EQ,2309023,153705,6.66
20,14,AGEEGOLD,EQ,1255,1055,84.06
20,15,AGREVOIND,EQ,18078,12782,70.70
20,16,AGRODUTCH,EQ,16475,14938,90.67
20,17,AHMEDELEC,EQ,2967,1900,64.04
20,18,AHMEDFORGE,EQ,1000,1000,100.00
20,19,AJANTPHARM,EQ,7718,2065,26.76
20,20,AKSHOPTFBR,EQ,77392,39840,51.48
20,21,ALEMBICLTD,EQ,3092,2432,78.65
20,22,ALFALAVAL,EQ,76,76,100.00
20,23,ALOKTEXT,EQ,208553,137595,65.98
20,24,ALPSINDUS,EQ,255,205,80.39
20,25,AMARAJABAT,EQ,20584,11263,54.72
20,26,AMBUJARAJN,EQ,111708,102984,92.19
20,27,AMITSPIN,EQ,500,500,100.00
20,28,AMTREXAPPL,EQ,3680,3200,86.96
20,29,ANAMALFIN,EQ,3852,2401,62.33
20,30,ANDHRABANK,EQ,3842991,1986314,51.69
20,31,ANDHRSUGAR,EQ,2805,2805,100.00
20,32,ANTGRAPHIC,EQ,10325,9325,90.31
20,33,APCOTEXLAT,EQ,4066,2876,70.73
20,34,APOLLOHOSP,EQ,118167,69064,58.45
20,35,APOLLOTYRE,EQ,54166,26524,48.97
20,36,ARCHIES,EQ,39305,16909,43.02
20,37,ARHAMFISCL,EQ,55649,44122,79.29
20,38,ARIHANTCRE,EQ,300777,196321,65.27
20,39,ARIHANTRED,EQ,1800,1700,94.44
20,40,ARVINDMILL,EQ,1932504,949396,49.13
20,41,ASHIMASYN,EQ,1001,1000,99.90
20,42,ASHKLEYFIN,EQ,49893,31464,63.06
20,43,ASHOKLEY,EQ,160628,79622,49.57
20,44,ASIANELEC,EQ,3265,3090,94.64
20,45,ASIANHOTEL,EQ,472,450,95.34
20,46,ASIANPAINT,EQ,22234,20447,91.96
20,47,ASSAMCO,EQ,1401,1400,99.93
20,48,ASSAMFRONT,EQ,2009,1428,71.08
20,49,ASTRAIDL,EQ,3845,3625,94.28
20,50,ATCOIND,EQ,161595,57872,35.81
20,51,ATLASCOPCO,EQ,19909,17082,85.80
20,52,ATLASCYCLE,EQ,3607,3556,98.59
20,53,ATULPROD,EQ,4161,4050,97.33
