Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05062009,516437446,0001123
Trade Date <05-JUN-2009>,Settlement Type <N>,Settlement No <2009101>,Settlement Date <09-JUN-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,67952,47738,70.25
20,2,3IINFOTECH,EQ,1909322,591916,31.00
20,3,3MINDIA,EQ,1376,564,40.99
20,4,AARTIDRUGS,EQ,11305,8429,74.56
20,5,AARTIIND,EQ,773632,376422,48.66
20,6,AARVEEDEN,EQ,7950,6590,82.89
20,7,ABAN,E1,1,1,100.00
20,8,ABAN,EQ,3655900,403452,11.04
20,9,ABB,EQ,496298,181692,36.61
20,10,ABCIL,EQ,26944,16881,62.65
20,11,ABGSHIP,EQ,212745,109209,51.33
20,12,ABIRLANUVO,EQ,296956,103575,34.88
20,13,ABSHEKINDS,EQ,138346,87046,62.92
20,14,ACC,EQ,922986,295372,32.00
20,15,ACE,EQ,346725,198392,57.22
20,16,ADANIENT,EQ,637517,566827,88.91
20,17,ADHUNIK,EQ,340263,164781,48.43
20,18,ADLABSFILM,EQ,4362221,717463,16.45
20,19,ADORWELD,EQ,10394,7804,75.08
20,20,ADSL,EQ,20936,14652,69.98
20,21,ADVANIHOTR,EQ,5005,4296,85.83
20,22,ADVANTA,EQ,18026,6989,38.77
20,23,AEGISCHEM,EQ,20124,11118,55.25
20,24,AFL,EQ,36992,25876,69.95
20,25,AHMEDFORGE,EQ,122065,98450,80.65
20,26,AIAENG,EQ,129753,61619,47.49
20,27,AICHAMP,EQ,1296,1188,91.67
20,28,AJANTPHARM,EQ,18426,12567,68.20
20,29,ALBK,EQ,1716249,963768,56.16
20,30,ALCHEM,EQ,93245,51252,54.96
20,31,ALEMBICLTD,EQ,214560,127637,59.49
20,32,ALFALAVAL,EQ,202,165,81.68
20,33,ALKALI,EQ,586294,214863,36.65
