Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <05-JUL-2002>,Settlement No <2002129>,Settlement Date <10-JUL-2002>
10,MTO,05072002,073427920,0000802
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,1250,1250,100.00
20,2,ABANLLOYD,EQ,70359,42869,60.93
20,3,ABB,EQ,47657,19355,40.61
20,4,ABBALPO,EQ,615034,260186,42.30
20,5,ABBOTTLAB,EQ,740,585,79.05
20,6,ABSHEKINDS,EQ,192294,103250,53.69
20,7,ABSIND,EQ,6836,5945,86.97
20,8,ACC,EQ,252587,85824,33.98
20,9,ADANIEXPO,EQ,74683,6912,9.26
20,10,ADLABSFILM,EQ,150675,53582,35.56
20,11,ADVANIORLI,EQ,59101,41544,70.29
20,12,AEGISCHEM,EQ,9475,8825,93.14
20,13,AFTEKINFO,EQ,1092508,67464,6.18
20,14,AGEEGOLD,EQ,9230,1354,14.67
20,15,AGREVOIND,EQ,25326,15320,60.49
20,16,AGRODUTCH,EQ,243884,162190,66.50
20,17,AHMEDELEC,EQ,1766,712,40.32
20,18,AHMEDFORGE,EQ,27493,14788,53.79
20,19,AJANTPHARM,EQ,9925,5125,51.64
20,20,AKSHOPTFBR,EQ,19058,14951,78.45
20,21,ALEMBICLTD,EQ,10915,9045,82.87
20,22,ALFALAVAL,EQ,41461,14933,36.02
20,23,ALOKTEXT,EQ,2909844,1207962,41.51
20,24,ALPSINDUS,EQ,3268,2823,86.38
20,25,AMARAJABAT,EQ,45894,23523,51.26
20,26,AMBUJARAJN,EQ,69839,56854,81.41
20,27,AMITSPIN,EQ,67544,65731,97.32
20,28,AMTREXAPPL,EQ,30804,22070,71.65
20,29,ANAMALFIN,EQ,1000,700,70.00
20,30,ANDHRABANK,EQ,808321,557486,68.97
20,31,ANDHRSUGAR,EQ,11652,9856,84.59
20,32,ANTGRAPHIC,EQ,12895,11845,91.86
20,33,APCOTEXLAT,EQ,3110,2520,81.03
20,34,APOLLOHOSP,EQ,109512,44861,40.96
20,35,APOLLOTYRE,EQ,833650,203320,24.39
20,36,ARCHIES,EQ,2040,1880,92.16
20,37,ARHAMFISCL,EQ,607441,300705,49.50
20,38,ARIHANTCRE,EQ,213041,130369,61.19
20,39,ARVINDMILL,EQ,1444608,835153,57.81
20,40,ASAHIINDIA,EQ,100,100,100.00
20,41,ASHAPURMIN,EQ,100,100,100.00
20,42,ASHIMASYN,EQ,9671,8970,92.75
20,43,ASHKLEYFIN,EQ,10444,8556,81.92
20,44,ASHOKLEY,EQ,212675,110226,51.83
20,45,ASIANELEC,EQ,13750,11550,84.00
20,46,ASIANHOTEL,EQ,1299,985,75.83
20,47,ASIANPAINT,EQ,40860,24257,59.37
20,48,ASSAMCO,EQ,26921,17867,66.37
20,49,ASSAMFRONT,EQ,2336,2226,95.29
20,50,ASTRAIDL,EQ,300,300,100.00
20,51,ATCOIND,EQ,664092,275764,41.52
20,52,ATLASCOPCO,EQ,24123,12275,50.89
20,53,ATLASCYCLE,EQ,3085,2935,95.14
20,54,ATULPROD,EQ,20925,18650,89.13
20,55,AUROPHARMA,EQ,7958,6341,79.68
20,56,AUTOAXLES,EQ,475,475,100.00
20,57,AUTORIDFIN,EQ,20547,17270,84.05
20,58,AZTEC,EQ,108027,45731,42.33
20,59,BAGYAMETAL,EQ,50,50,100.00
20,60,BAJAJAUTO,EQ,81232,64059,78.86
20,61,BAJAJHIND,EQ,39375,17894,45.45
20,62,BAJAUTOFIN,EQ,5730,4805,83.86
20,63,BALAJIDIST,EQ,312773,261130,83.49
20,64,BALAJIIND,EQ,864809,588533,68.05
20,65,BALAJITELE,EQ,112526,37620,33.43
20,66,BALMLAWRIE,EQ,35844,21036,58.69
20,67,BALRAMCHIN,EQ,105153,72146,68.61
20,68,BANARISUG,EQ,1293,923,71.38
20,69,BANKBARODA,EQ,62738,42382,67.55
20,70,BANKINDIA,EQ,166633,120033,72.03
20,71,BANKPUNJAB,EQ,78097,73522,94.14
20,72,BANKRAJAS,EQ,391008,278922,71.33
20,73,BASF,EQ,27051,16404,60.64
20,74,BATAINDIA,EQ,239208,143056,59.80
20,75,BAUSCHLOMB,EQ,92369,54186,58.66
20,76,BAYER,EQ,95,90,94.74
20,77,BEL,EQ,170543,35491,20.81
20,78,BELCERAMIC,EQ,275431,152371,55.32
20,79,BEML,EQ,382153,73570,19.25
20,80,BERGEPAINT,EQ,17478,15450,88.40
20,81,BFLSOFTWAR,EQ,5492,4067,74.05
20,82,BGFL,EQ,15441,13450,87.11
20,83,BHARATFORG,EQ,37314,27977,74.98
20,84,BHARATGEAR,EQ,7029,6322,89.94
20,85,BHARATHOT,EQ,10541,5884,55.82
20,86,BHARATRAS,EQ,508,508,100.00
20,87,BHARTI,EQ,407041,297049,72.98
20,88,BHEL,EQ,945053,686025,72.59
20,89,BHUSANSTL,EQ,99272,36556,36.82
20,90,BIL,EQ,5150,4950,96.12
20,91,BILT,EQ,1138959,460541,40.44
20,92,BIMETBRG,EQ,514,504,98.05
20,93,BINANIZINC,EQ,54068,38419,71.06
20,94,BINDALAGRO,EQ,361990,181976,50.27
20,95,BIRLA3M,EQ,2106,1629,77.35
20,96,BIRLAERIC,EQ,12598,8948,71.03
20,97,BIRLAJUTE,EQ,58375,45000,77.09
20,98,BLBLIMITED,EQ,14984,12464,83.18
20,99,BLUECHIP,EQ,23942,13540,56.55
20,100,BLUEDART,EQ,63840,32032,50.18
20,101,BLUESTARCO,EQ,4705,3901,82.91
20,102,BLUESTINFO,EQ,22496,19632,87.27
20,103,BOMDYEING,EQ,699969,388738,55.54
20,104,BONGAIREFN,EQ,826257,407447,49.31
20,105,BOOTSPHARM,EQ,715,655,91.61
20,106,BPCL,EQ,1362987,279191,20.48
20,107,BPL,EQ,714568,263830,36.92
20,108,BPLENGG,EQ,245853,143830,58.50
20,109,BPLREFRIG,EQ,94322,76832,81.46
20,110,BPLSANTECH,EQ,28986,21936,75.68
20,111,BPLSANUTIL,EQ,13445,13145,97.77
20,112,BRITANNIA,EQ,16366,12577,76.85
20,113,BSELINFO,EQ,580,580,100.00
20,114,BSES,EQ,45283,35447,78.28
20,115,BSL,EQ,3355,2913,86.83
20,116,BURRWELCOM,EQ,2178,1747,80.21
20,117,CADBURY,EQ,608,462,75.99
20,118,CADILAHC,EQ,6276,3591,57.22
20,119,CALSOFT,EQ,1381,1181,85.52
20,120,CANFINHOME,EQ,9210,8250,89.58
20,121,CARBEVFLOW,EQ,61714,58064,94.09
20,122,CARBORUNIV,EQ,7015,5812,82.85
20,123,CARRIERAIR,EQ,12788,10788,84.36
20,124,CASTROL,EQ,93178,44091,47.32
20,125,CEAT,EQ,84014,24882,29.62
20,126,CEATFIN,EQ,12450,11362,91.26
20,127,CENTENKA,EQ,334840,123915,37.01
20,128,CENTEXTRU,EQ,25132,24070,95.77
20,129,CENTURION,EQ,171722,116851,68.05
20,130,CENTURYTEX,EQ,4792384,1108058,23.12
20,131,CESC,EQ,82167,53344,64.92
20,132,CGIGARSH,EQ,79571,67053,84.27
20,133,CHAMBLFERT,EQ,541611,360711,66.60
20,134,CHEMPLAST,EQ,4715,4415,93.64
20,135,CHENNPETRO,EQ,31215,23500,75.28
20,136,CHESLINTEX,EQ,43890,32390,73.80
20,137,CHETNADCEM,EQ,3008,2225,73.97
20,138,CHLORIDIND,EQ,49656,34264,69.00
20,139,CHOLAINV,EQ,47265,46165,97.67
20,140,CIBASPEC,EQ,2630,2215,84.22
20,141,CIMCOBIRLA,EQ,68747,52732,76.70
20,142,CINEVISTA,EQ,6690,4635,69.28
20,143,CIPLA,EQ,14901,12028,80.72
20,144,CITICORSEC,EQ,8627,3936,45.62
20,145,CLARIANT,EQ,63581,31652,49.78
20,146,CMC,EQ,19163,7784,40.62
20,147,COATESIND,EQ,13335,8389,62.91
20,148,COATVIYELA,EQ,146840,82825,56.40
20,149,COCHINREFN,EQ,32990,25212,76.42
20,150,COLGATE,EQ,43130,37223,86.30
20,151,COLORCHEM,EQ,6941,4113,59.26
20,152,COMPUDYNE,EQ,499323,149669,29.97
20,153,COMPUTECH,EQ,64397,43210,67.10
20,154,CONCOR,EQ,46672,18779,40.24
20,155,CONSCOFFEE,EQ,683,583,85.36
20,156,COREPARENT,EQ,31940,28116,88.03
20,157,COROMNFERT,EQ,911,810,88.91
20,158,CORPBANK,EQ,30019,21237,70.75
20,159,COSMOFILMS,EQ,154302,51358,33.28
20,160,CREATIVEYE,EQ,41124,22199,53.98
20,161,CRESTCOMM,EQ,97919,36919,37.70
20,162,CRISIL,EQ,926,770,83.15
20,163,CROMPGREAV,EQ,832918,337300,40.50
20,164,CUB,EQ,18875,13775,72.98
20,165,CYBERTECH,EQ,20724,16264,78.48
20,166,D-LINK,EQ,77492,38066,49.12
20,167,DABUR,EQ,523286,227925,43.56
20,168,DALALSTCOM,EQ,1995458,1481573,74.25
20,169,DALMIACEM,EQ,450,450,100.00
20,170,DCM,EQ,8748,7325,83.73
20,171,DCMDAEWOO,EQ,79445,71670,90.21
20,172,DCMFINSERV,EQ,23968,22015,91.85
20,173,DCMSRMCONS,EQ,4542,3978,87.58
20,174,DCW,EQ,1331371,605786,45.50
20,175,DECCANCEM,EQ,3390,2790,82.30
20,176,DEEPAKFERT,EQ,63771,55601,87.19
20,177,DENABANK,EQ,36891,25933,70.30
20,178,DGPWINDSOR,EQ,170465,133709,78.44
20,179,DHAMPURSUG,EQ,251316,147009,58.50
20,180,DHARSUGAR,EQ,49703,36147,72.73
20,181,DIGITALEQP,EQ,1788531,64348,3.60
20,182,DRREDDY,EQ,62354,33476,53.69
20,183,DSKULKARNI,EQ,700,700,100.00
20,184,DUNCANSIND,EQ,5300,4800,90.57
20,185,DYNACONS,EQ,70915,47939,67.60
20,186,EASTSILK,EQ,6440,5740,89.13
20,187,EASTSUGIND,EQ,2500,2500,100.00
20,188,EASUNREYRL,EQ,7109,4550,64.00
20,189,EICHERLTD,EQ,146874,123018,83.76
20,190,EICHERMOT,EQ,109678,64622,58.92
20,191,EIDPARRY,EQ,25787,20968,81.31
20,192,EIHOTEL,EQ,3146,2456,78.07
20,193,EIMCOELECO,EQ,3980,3756,94.37
20,194,ELDERPHARM,EQ,6685,5581,83.49
20,195,ELECTCAST,EQ,44697,20254,45.31
20,196,ELGIEQUIP,EQ,68181,54732,80.27
20,197,ELGITYRE,EQ,335,335,100.00
20,198,EMCOTRANS,EQ,170581,83335,48.85
20,199,EMERCK,EQ,7677,6542,85.22
20,200,ENGINERSIN,EQ,143533,30519,21.26
20,201,ESABINDIA,EQ,111555,64477,57.80
20,202,ESCORTS,EQ,161983,82790,51.11
20,203,ESSARGUJ,EQ,12969735,3532583,27.24
20,204,ESSAROIL,EQ,737689,555320,75.28
20,205,ESSELPACK,EQ,2060,1403,68.11
20,206,ETERNEVRST,EQ,3891,3891,100.00
20,207,EUROTEXIND,EQ,12292,11742,95.53
20,208,EXCELIND,EQ,124961,56673,45.35
20,209,FACT,EQ,19528,10706,54.82
20,210,FAGBEARING,EQ,8906,7446,83.61
20,211,FDC,EQ,32721,29270,89.45
20,212,FEDERALBNK,EQ,406754,161148,39.62
20,213,FINCABLES,EQ,49083,25252,51.45
20,214,FINPIPE,EQ,225687,140276,62.16
20,215,FIRSTLEASE,EQ,129224,97234,75.24
20,216,FLEX,EQ,408352,222820,54.57
20,217,FLEXCHEM,EQ,4639,3868,83.38
20,218,FLEXENGG,EQ,67493,43850,64.97
20,219,FLOATGLASS,EQ,62173,40900,65.78
20,220,FORBESGOK,EQ,1222,1222,100.00
20,221,FOSECOIND,EQ,16713,11951,71.51
20,222,FUJITSICIM,EQ,104130,26199,25.16
20,223,FULFORD,EQ,10097,4824,47.78
20,224,GAEL,EQ,4101,3671,89.51
20,225,GAIL,EQ,79198,55195,69.69
20,226,GAMMONIND,EQ,37705,15005,39.80
20,227,GARDENSILK,EQ,53488,41032,76.71
20,228,GARWALLROP,EQ,20380,17781,87.25
20,229,GECALSTHOM,EQ,110292,48987,44.42
20,230,GEOMETRIC,EQ,316258,22788,7.21
20,231,GEORGWILIM,EQ,16844,14123,83.85
20,232,GERMANREM,EQ,980,943,96.22
20,233,GESCOCORP,EQ,4295,3895,90.69
20,234,GESHIPPING,EQ,182453,145797,79.91
20,235,GFL,EQ,46575,42375,90.98
20,236,GHCL,EQ,126796,84229,66.43
20,237,GICHSGFIN,EQ,30156,27652,91.70
20,238,GINNIFILA,EQ,7750,6700,86.45
20,239,GIPCL,EQ,150741,91667,60.81
20,240,GKW,EQ,85860,76409,88.99
20,241,GLAXO,EQ,35794,29106,81.32
20,242,GLENMARK,EQ,31055,30968,99.72
20,243,GLFL,EQ,1625,1250,76.92
20,244,GLOBALTELE,EQ,2952034,334862,11.34
20,245,GLOBLTRUST,EQ,256568,160481,62.55
20,246,GMBREW,EQ,16284,10160,62.39
20,247,GMDCLTD,EQ,58114,34508,59.38
20,248,GMRVASAVI,EQ,11520,10870,94.36
20,249,GNFC,EQ,290027,194090,66.92
20,250,GODAVRFERT,EQ,48580,42210,86.89
20,251,GODFRYPHLP,EQ,150,150,100.00
20,252,GODREJCP,EQ,47729,42609,89.27
20,253,GODREJINDS,EQ,221311,210536,95.13
20,254,GOETZEIND,EQ,17524,15072,86.01
20,255,GOLDTECH,EQ,31461,18182,57.79
20,256,GOLDTELE,EQ,12000,11450,95.42
20,257,GOODLASNER,EQ,131925,106216,80.51
20,258,GOODRICKE,EQ,5371,4421,82.31
20,259,GOODYEAR,EQ,5666,4954,87.43
20,260,GPELECT,EQ,5202,5181,99.60
20,261,GRASIM,EQ,103613,78185,75.46
20,262,GREAVES,EQ,71471,56570,79.15
20,263,GSFC,EQ,66770,43644,65.36
