Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06012004,145281623,0000712
Trade Date <06-JAN-2004>,Settlement Type <D>,Settlement No <2004004>,Settlement Date <08-JAN-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0740E12,GC,10,10,100.00
20,2,0807A17,GC,50,50,100.00
20,3,0939G11,GC,50,50,100.00
Trade Date <06-JAN-2004>,Settlement Type <N>,Settlement No <2004004>,Settlement Date <08-JAN-2004>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,4,AARTIDRUGS,EQ,52269,21538,41.21
20,5,AARTIIND,EQ,32762,16295,49.74
20,6,ABANLLOYD,EQ,15115,14345,94.91
20,7,ABB,EQ,30699,15523,50.57
20,8,ABSHEKINDS,EQ,159461,133420,83.67
20,9,ABSIND,EQ,150663,79553,52.80
20,10,ACC,EQ,4657535,552067,11.85
20,11,ADANIEXPO,EQ,63978,9724,15.20
20,12,ADLABSFILM,EQ,164587,98896,60.09
20,13,ADVANIORLI,EQ,12030,8220,68.33
20,14,AEGISCHEM,EQ,175374,134219,76.53
20,15,AFTEKINFO,EQ,114197,80279,70.30
20,16,AGEEGOLD,EQ,1912,1760,92.05
20,17,AGRODUTCH,EQ,20041,13279,66.26
20,18,AHMEDELEC,EQ,269998,88904,32.93
20,19,AHMEDFORGE,EQ,46109,33591,72.85
20,20,AJANTPHARM,EQ,70524,40279,57.11
20,21,AKSHOPTFBR,EQ,91461,65655,71.78
20,22,ALBK,EQ,1028960,569565,55.35
20,23,ALEMBICLTD,EQ,6672,4274,64.06
20,24,ALFALAVAL,EQ,5403,4091,75.72
20,25,ALOKTEXT,EQ,642089,564671,87.94
20,26,ALPSINDUS,EQ,86180,41677,48.36
20,27,AMARAJABAT,EQ,55583,28260,50.84
20,28,AMBUJARAJN,EQ,491896,377125,76.67
20,29,AMITSPIN,EQ,4303,3299,76.67
20,30,AMTEKAUTO,EQ,62576,42732,68.29
20,31,AMTREXAPPL,EQ,30225,26365,87.23
20,32,ANDHRABANK,EQ,1795908,651361,36.27
20,33,ANDHRSUGAR,EQ,288566,185262,64.20
20,34,ANTGRAPHIC,EQ,567196,293195,51.69
20,35,APCOTEXLAT,EQ,8938,5378,60.17
20,36,APIL,EQ,191614,78806,41.13
20,37,APOLLOHOSP,EQ,188889,127146,67.31
20,38,APOLLOTYRE,EQ,283292,241284,85.17
20,39,APTECHT,EQ,432167,206725,47.83
20,40,ARCHIES,EQ,90083,53575,59.47
20,41,ARHAMFISCL,EQ,107262,68943,64.28
