Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06012020,537433725,0001777
Trade Date <06-JAN-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,42082,18839,44.77
20,2,21STCENMGM,EQ,1383,1383,100.00
20,3,3IINFOTECH,EQ,2845069,1480235,52.03
20,4,3MINDIA,EQ,1829,1087,59.43
20,5,3PLAND,EQ,254,254,100.00
20,6,5PAISA,EQ,34398,20623,59.95
20,7,63MOONS,EQ,181202,104445,57.64
20,8,759GS2026,GS,300,300,100.00
20,9,A2ZINFRA,EQ,158581,120638,76.07
20,10,AARON,SM,3300,3300,100.00
20,11,AARTIDRUGS,EQ,6229,3810,61.17
20,12,AARTIIND,EQ,222387,137135,61.67
20,13,AARVEEDEN,EQ,5842,3695,63.25
20,14,AARVI,SM,2000,2000,100.00
20,15,AAVAS,EQ,31955,13669,42.78
20,16,ABAN,EQ,282338,126239,44.71
20,17,ABB,EQ,31293,16769,53.59
20,18,ABBOTINDIA,EQ,9715,5473,56.34
20,19,ABCAPITAL,EQ,2434020,1054134,43.31
20,20,ABFRL,EQ,315461,224553,71.18
20,21,ABSLBANETF,EQ,6,0,0.00
20,22,ABSLNN50ET,EQ,393,393,100.00
20,23,ABSLRIF6RG,MF,45001,25000,55.55
20,24,ACC,EQ,408807,147029,35.97
20,25,ACCELYA,EQ,9891,8264,83.55
20,26,ACCURACY,SM,19200,19200,100.00
20,27,ACE,EQ,184251,84437,45.83
20,28,ADANIENT,EQ,4353179,715111,16.43
20,29,ADANIGAS,EQ,3235049,992193,30.67
20,30,ADANIGREEN,EQ,9497209,1902495,20.03
20,31,ADANIPORTS,EQ,12482680,2245696,17.99
20,32,ADANIPOWER,EQ,9700870,1964761,20.25
20,33,ADANITRANS,EQ,380525,151470,39.81
20,34,ADFFOODS,EQ,74441,37519,50.40
20,35,ADHUNIKIND,EQ,31962,23086,72.23
20,36,ADORWELD,EQ,7160,4789,66.89
20,37,ADVANIHOTR,EQ,2261,1818,80.41
20,38,ADVENZYMES,EQ,65765,35540,54.04
20,39,AEGISCHEM,EQ,136891,59514,43.48
20,40,AFFLE,EQ,74763,26665,35.67
20,41,AGARIND,EQ,25139,13986,55.63
20,42,AGCNET,EQ,2201,1766,80.24
20,43,AGRITECH,EQ,6868,5149,74.97
20,44,AGROPHOS,EQ,708,708,100.00
20,45,AHLADA,SM,4000,4000,100.00
20,46,AHLEAST,EQ,1420,873,61.48
20,47,AHLUCONT,EQ,5010,3411,68.08
20,48,AHLWEST,EQ,225,50,22.22
20,49,AIAENG,EQ,3825,1940,50.72
20,50,AIONJSW,EQ,292753,193712,66.17
20,51,AIRAN,EQ,6507,3042,46.75
20,52,AIROLAM,SM,3000,3000,100.00
20,53,AJANTPHARM,EQ,43723,19842,45.38
20,54,AJMERA,EQ,42414,22148,52.22
20,55,AKASH,EQ,2311,2200,95.20
20,56,AKG,SM,4000,4000,100.00
20,57,AKSHARCHEM,EQ,14303,7621,53.28
20,58,AKSHOPTFBR,EQ,224785,180169,80.15
20,59,AKZOINDIA,EQ,8214,5866,71.41
20,60,ALANKIT,EQ,41719,34399,82.45
20,61,ALBERTDAVD,EQ,5600,4092,73.07
20,62,ALBK,EQ,1581107,572087,36.18
20,63,ALEMBICLTD,EQ,167556,102469,61.16
20,64,ALICON,EQ,3336,2530,75.84
20,65,ALKALI,EQ,6833,6139,89.84
20,66,ALKEM,EQ,50389,23670,46.97
20,67,ALKYLAMINE,EQ,14371,9218,64.14
20,68,ALLCARGO,EQ,102096,55546,54.41
20,69,ALLSEC,EQ,560,297,53.04
20,70,ALMONDZ,EQ,3807,3748,98.45
20,71,ALPA,EQ,40562,28726,70.82
20,72,ALPHAGEO,EQ,20354,16550,81.31
20,73,AMARAJABAT,EQ,754524,87413,11.59
20,74,AMBER,EQ,39871,18990,47.63
20,75,AMBIKCO,EQ,4359,3680,84.42
20,76,AMBUJACEM,EQ,2119702,749538,35.36
20,77,AMDIND,EQ,2721,2609,95.88
20,78,AMJLAND,EQ,5105,3281,64.27
20,79,AMRUTANJAN,EQ,15961,8224,51.53
20,80,ANANTRAJ,EQ,580700,323853,55.77
20,81,ANDHRABANK,EQ,771174,405379,52.57
20,82,ANDHRACEMT,EQ,102735,69120,67.28
20,83,ANDHRSUGAR,EQ,63786,31090,48.74
20,84,ANIKINDS,EQ,278,244,87.77
20,85,ANSALAPI,EQ,39029,24680,63.24
20,86,ANUP,EQ,32999,28839,87.39
20,87,APARINDS,EQ,14367,8160,56.80
20,88,APCL,EQ,2541,1444,56.83
20,89,APCOTEXIND,EQ,19124,14216,74.34
20,90,APEX,EQ,517592,116318,22.47
20,91,APLAPOLLO,EQ,32810,16237,49.49
20,92,APLLTD,EQ,43802,23725,54.16
20,93,APOLLO,EQ,24017,14260,59.37
20,94,APOLLOHOSP,EQ,378702,86049,22.72
20,95,APOLLOPIPE,EQ,5179,3082,59.51
20,96,APOLLOTYRE,EQ,2420889,724064,29.91
20,97,APOLSINHOT,EQ,1331,950,71.37
20,98,APTECHT,EQ,163326,71175,43.58
20,99,ARCHIDPLY,EQ,12357,8867,71.76
