Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06062003,077887669,0000727
Trade Date <06-JUN-2003>,Settlement Type <D>,Settlement No <2003108>,Settlement Date <10-JUN-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1025E21,GC,20,20,100.00
Trade Date <06-JUN-2003>,Settlement Type <N>,Settlement No <2003108>,Settlement Date <10-JUN-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIIND,EQ,799,799,100.00
20,3,ABANLLOYD,EQ,33105,22993,69.45
20,4,ABB,EQ,35707,25243,70.69
20,5,ABSHEKINDS,EQ,52113,45380,87.08
20,6,ABSIND,EQ,21644,19309,89.21
20,7,ACC,EQ,320114,115640,36.12
20,8,ADANIEXPO,EQ,39844,10081,25.30
20,9,ADLABSFILM,EQ,101305,54349,53.65
20,10,ADVANIORLI,EQ,9227,9227,100.00
20,11,AEGISCHEM,EQ,3217,2913,90.55
20,12,AFTEKINFO,EQ,1061532,162896,15.35
20,13,AGEEGOLD,EQ,1310,1100,83.97
20,14,AGREVOIND,EQ,652,634,97.24
20,15,AGRODUTCH,EQ,11872,10072,84.84
20,16,AHMEDELEC,EQ,10152,8485,83.58
20,17,AHMEDFORGE,EQ,1635,1535,93.88
20,18,AJANTPHARM,EQ,7215,2845,39.43
20,19,AKSHOPTFBR,EQ,41105,30004,72.99
20,20,ALBK,EQ,810395,389400,48.05
20,21,ALEMBICLTD,EQ,6600,4130,62.58
20,22,ALFALAVAL,EQ,11795,11695,99.15
20,23,ALOKTEXT,EQ,1297640,745694,57.47
20,24,ALPSINDUS,EQ,3897,3597,92.30
20,25,AMARAJABAT,EQ,31631,23763,75.13
20,26,AMBUJARAJN,EQ,104651,84279,80.53
20,27,AMITSPIN,EQ,8355,8351,99.95
20,28,AMTREXAPPL,EQ,4641,4540,97.82
20,29,ANAMALFIN,EQ,1400,1400,100.00
20,30,ANDHRABANK,EQ,3489256,1406700,40.32
20,31,ANDHRSUGAR,EQ,68532,38455,56.11
