Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06072020,869949546,0001711
Trade Date <06-JUL-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,167877,77553,46.20
20,2,21STCENMGM,EQ,1013,791,78.08
20,3,3IINFOTECH,EQ,3175086,2551989,80.38
20,4,3MINDIA,EQ,4528,2998,66.21
20,5,3PLAND,EQ,10,10,100.00
20,6,509GS2022,GS,61,31,50.82
20,7,5PAISA,EQ,19648,10596,53.93
20,8,700GS2021,GS,100,100,100.00
20,9,74GS2035,GS,1100,1100,100.00
20,10,759GS2026,GS,100,100,100.00
20,11,763GS2059,GS,200,200,100.00
20,12,769GS2043,GS,52,52,100.00
20,13,813GS2045,GS,301,301,100.00
20,14,A2ZINFRA,EQ,297034,207386,69.82
20,15,AAKASH,SM,3000,3000,100.00
20,16,AARON,SM,13200,9900,75.00
20,17,AARTIDRUGS,EQ,87185,53232,61.06
20,18,AARTIIND,EQ,295859,146322,49.46
20,19,AARVI,EQ,500,500,100.00
20,20,AAVAS,EQ,63822,48760,76.40
20,21,ABAN,EQ,423543,179253,42.32
20,22,ABB,EQ,398732,104909,26.31
20,23,ABBOTINDIA,EQ,11795,5370,45.53
20,24,ABCAPITAL,EQ,1946205,751790,38.63
20,25,ABFRL,EQ,3682214,1674118,45.46
20,26,ABSLBANETF,EQ,142,86,60.56
20,27,ABSLNN50ET,EQ,122,64,52.46
20,28,ABSLRIF6RG,MF,1000,1000,100.00
20,29,ACC,EQ,1070329,299990,28.03
20,30,ACCELYA,EQ,47999,25419,52.96
20,31,ACCURACY,SM,14400,12800,88.89
20,32,ACE,EQ,2528453,644630,25.50
20,33,ADANIENT,EQ,3515715,989555,28.15
20,34,ADANIGAS,EQ,1428485,494181,34.59
20,35,ADANIGREEN,EQ,5078968,1824498,35.92
20,36,ADANIPORTS,EQ,3360577,604419,17.99
20,37,ADANIPOWER,EQ,4527779,1629458,35.99
20,38,ADANITRANS,EQ,353908,204685,57.84
20,39,ADFFOODS,EQ,43166,28524,66.08
20,40,ADORWELD,EQ,117747,36032,30.60
20,41,ADROITINFO,EQ,25965,20458,78.79
20,42,ADSL,EQ,41786,23875,57.14
20,43,ADVANIHOTR,EQ,17407,14984,86.08
20,44,ADVENZYMES,EQ,70187,45689,65.10
20,45,AEGISCHEM,EQ,1890624,1506068,79.66
20,46,AFFLE,EQ,30186,24032,79.61
20,47,AGARIND,EQ,60347,42384,70.23
20,48,AGCNET,EQ,11673,9734,83.39
20,49,AGROPHOS,EQ,79092,58315,73.73
20,50,AHLADA,SM,3000,3000,100.00
20,51,AHLEAST,EQ,722,566,78.39
20,52,AHLUCONT,EQ,16020,9989,62.35
20,53,AHLWEST,EQ,883,458,51.87
20,54,AIAENG,EQ,129414,111397,86.08
20,55,AIONJSW,EQ,126223,108155,85.69
20,56,AISL,SM,8400,8400,100.00
20,57,AJANTPHARM,EQ,256336,123905,48.34
20,58,AJMERA,EQ,94592,39543,41.80
20,59,AJOONI,SM,16000,0,0.00
20,60,AKSHARCHEM,EQ,87313,42598,48.79
20,61,AKZOINDIA,EQ,8953,4733,52.86
20,62,ALANKIT,EQ,146175,93365,63.87
20,63,ALBERTDAVD,EQ,31475,15889,50.48
20,64,ALCHEM,EQ,37201,37201,100.00
20,65,ALEMBICLTD,EQ,1223582,604652,49.42
20,66,ALICON,EQ,13189,8196,62.14
20,67,ALKALI,EQ,26997,18423,68.24
20,68,ALKEM,EQ,138448,102933,74.35
20,69,ALKYLAMINE,EQ,101591,38311,37.71
20,70,ALLCARGO,EQ,707183,326092,46.11
20,71,ALLSEC,EQ,4755,3856,81.09
20,72,ALMONDZ,EQ,5755,3562,61.89
20,73,ALOKINDS,EQ,4839799,4826786,99.73
20,74,ALPA,EQ,117755,63008,53.51
20,75,ALPHAGEO,EQ,41230,16376,39.72
20,76,AMARAJABAT,EQ,1504810,274322,18.23
20,77,AMBER,EQ,41285,16050,38.88
20,78,AMBIKCO,EQ,8093,6298,77.82
20,79,AMBUJACEM,EQ,2632304,965894,36.69
20,80,AMDIND,EQ,22751,12834,56.41
20,81,AMJLAND,EQ,17606,12644,71.82
20,82,AMJUMBO,SM,16000,16000,100.00
20,83,AMRUTANJAN,EQ,117298,37644,32.09
20,84,ANANTRAJ,EQ,114953,82213,71.52
