Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <06-AUG-2002>,Settlement No <2002151>,Settlement Date <09-AUG-2002>
10,MTO,06082002,027122391,0000779
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,AARTIIND,EQ,851,750,88.13
20,2,ABANLLOYD,EQ,72095,36620,50.79
20,3,ABB,EQ,6714,4281,63.76
20,4,ABBALPO,EQ,40600,25831,63.62
20,5,ABBOTTLAB,EQ,818,566,69.19
20,6,ABSHEKINDS,EQ,4992,4684,93.83
20,7,ABSIND,EQ,2682,2452,91.42
20,8,ACC,EQ,453280,141855,31.30
20,9,ADANIEXPO,EQ,74430,1945,2.61
20,10,ADLABSFILM,EQ,134908,48698,36.10
20,11,ADVANIORLI,EQ,3400,3050,89.71
20,12,AEGISCHEM,EQ,1501,1500,99.93
20,13,AFTEKINFO,EQ,4700962,224077,4.77
20,14,AGEEGOLD,EQ,563,523,92.90
20,15,AGREVOIND,EQ,16541,15935,96.34
20,16,AGRODUTCH,EQ,71092,46069,64.80
20,17,AHMEDELEC,EQ,7019,2446,34.85
20,18,AHMEDFORGE,EQ,1401,1400,99.93
20,19,AJANTPHARM,EQ,4645,580,12.49
20,20,AKSHOPTFBR,EQ,16649,9494,57.02
20,21,ALEMBICLTD,EQ,3344,2690,80.44
20,22,ALFALAVAL,EQ,186,120,64.52
20,23,ALOKTEXT,EQ,91838,53490,58.24
20,24,ALPSINDUS,EQ,232,200,86.21
20,25,AMARAJABAT,EQ,57883,49584,85.66
20,26,AMBUJARAJN,EQ,19375,18845,97.26
20,27,AMITSPIN,EQ,3455,3448,99.80
20,28,AMTREXAPPL,EQ,1377,1275,92.59
20,29,ANAMALFIN,EQ,3150,3150,100.00
20,30,ANDHRABANK,EQ,178846,127743,71.43
20,31,ANDHRSUGAR,EQ,3131,3125,99.81
20,32,ANTGRAPHIC,EQ,477,475,99.58
20,33,APCOTEXLAT,EQ,132,118,89.39
20,34,APOLLOHOSP,EQ,225446,133325,59.14
20,35,APOLLOTYRE,EQ,518422,115252,22.23
20,36,ARCHIES,EQ,2966,1591,53.64
20,37,ARHAMFISCL,EQ,172799,36413,21.07
20,38,ARIHANTCRE,EQ,41202,23600,57.28
20,39,ARVINDMILL,EQ,1047589,428490,40.90
20,40,ASAHIINDIA,EQ,3030,3030,100.00
20,41,ASHIMASYN,EQ,102,100,98.04
20,42,ASHKLEYFIN,EQ,5324,4475,84.05
20,43,ASHOKLEY,EQ,139145,59642,42.86
20,44,ASIANELEC,EQ,14650,13350,91.13
20,45,ASIANHOTEL,EQ,3789,2824,74.53
20,46,ASIANPAINT,EQ,7261,5219,71.88
20,47,ASSAMFRONT,EQ,1435,1435,100.00
20,48,ASTRAIDL,EQ,5,5,100.00
20,49,ATCOIND,EQ,13859,8576,61.88
20,50,ATLASCOPCO,EQ,2457,993,40.42
20,51,ATLASCYCLE,EQ,2448,2283,93.26
