Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07092009,374321129,0001210
Trade Date <07-SEP-2009>,Settlement Type <N>,Settlement No <2009167>,Settlement Date <09-SEP-2009>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,11526,11525,99.99
20,2,3IINFOTECH,EQ,1278843,453336,35.45
20,3,3MINDIA,EQ,1786,1273,71.28
20,4,AARTIDRUGS,EQ,7267,4336,59.67
20,5,AARTIIND,EQ,286306,113204,39.54
20,6,AARVEEDEN,EQ,1752,1751,99.94
20,7,ABAN,EQ,1690964,256602,15.17
20,8,ABB,EQ,217431,106059,48.78
20,9,ABCIL,EQ,32107,20650,64.32
20,10,ABGSHIP,EQ,485360,214897,44.28
20,11,ABHISHEK,EQ,11377,5285,46.45
20,12,ABIRLANUVO,EQ,207875,86198,41.47
20,13,ABSHEKINDS,EQ,250795,228388,91.07
20,14,ACC,EQ,320977,121352,37.81
20,15,ACE,EQ,159775,105979,66.33
20,16,ACKRUTI,EQ,103766,44762,43.14
20,17,ADANIENT,EQ,54755,35435,64.72
20,18,ADANIPOWER,EQ,2844787,1896368,66.66
20,19,ADHUNIK,EQ,95512,64405,67.43
20,20,ADLABSFILM,EQ,1802398,385018,21.36
20,21,ADORWELD,EQ,107681,33744,31.34
20,22,ADSL,EQ,166254,51914,31.23
20,23,ADVANIHOTR,EQ,13441,13439,99.99
20,24,ADVANTA,EQ,93891,83667,89.11
20,25,AEGISCHEM,EQ,46396,10401,22.42
20,26,AFL,EQ,18907,6958,36.80
20,27,AFTEK,EQ,654734,493406,75.36
20,28,AGRODUTCH,EQ,32993,20180,61.16
20,29,AHMEDFORGE,EQ,160423,102296,63.77
20,30,AIAENG,EQ,39458,19935,50.52
20,31,AICHAMP,EQ,418,259,61.96
20,32,AJANTPHARM,EQ,2564,2312,90.17
20,33,AJMERA,EQ,40286,15574,38.66
20,34,AKSHOPTFBR,EQ,105419,86230,81.80
20,35,ALBK,EQ,1522135,834775,54.84
20,36,ALCHEM,EQ,95128,52567,55.26
20,37,ALEMBICLTD,EQ,922139,386044,41.86
