Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07092020,842620544,0001818
Trade Date <07-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,30928,19635,63.49
20,2,21STCENMGM,EQ,1222,988,80.85
20,3,3IINFOTECH,EQ,3482365,1493814,42.90
20,4,3MINDIA,EQ,2449,1327,54.19
20,5,3PLAND,EQ,7,7,100.00
20,6,63MOONS,EQ,18168,14451,79.54
20,7,719GS2060,GS,100,100,100.00
20,8,732GS2024,GS,100,100,100.00
20,9,74GS2035,GS,25,25,100.00
20,10,833GS2036,GS,1000,1000,100.00
20,11,A2ZINFRA,EQ,495312,315954,63.79
20,12,AARON,SM,6300,6300,100.00
20,13,AARTIDRUGS,EQ,174871,46807,26.77
20,14,AARTIIND,EQ,236821,129682,54.76
20,15,AARVEEDEN,EQ,8048,5885,73.12
20,16,AARVI,EQ,345,240,69.57
20,17,AAVAS,EQ,28876,16335,56.57
20,18,ABAN,EQ,51099,32919,64.42
20,19,ABB,EQ,712824,650252,91.22
20,20,ABBOTINDIA,EQ,5594,2395,42.81
20,21,ABCAPITAL,EQ,6445098,1225423,19.01
20,22,ABFRL,EQ,1944507,806583,41.48
20,23,ABFRLPP,E1,53225,26672,50.11
20,24,ABSLBANETF,EQ,613,608,99.18
20,25,ABSLNN50ET,EQ,245,31,12.65
20,26,ABSLRIF6RG,MF,11600,11600,100.00
20,27,ACC,EQ,1963860,444834,22.65
20,28,ACCELYA,EQ,19982,10172,50.91
20,29,ACCURACY,SM,3200,3200,100.00
20,30,ACE,EQ,271311,107674,39.69
20,31,ADANIENT,EQ,5812023,425633,7.32
20,32,ADANIGAS,EQ,2765491,715882,25.89
20,33,ADANIGREEN,EQ,2507534,967855,38.60
20,34,ADANIPORTS,EQ,3344349,476616,14.25
20,35,ADANIPOWER,EQ,2459307,1152936,46.88
20,36,ADANITRANS,EQ,353602,141060,39.89
20,37,ADFFOODS,EQ,78007,51047,65.44
20,38,ADHUNIKIND,EQ,38225,19979,52.27
20,39,ADORWELD,EQ,16768,5095,30.39
20,40,ADSL,EQ,69470,49087,70.66
20,41,ADVANIHOTR,EQ,9076,6883,75.84
20,42,ADVENZYMES,EQ,420528,180848,43.00
20,43,AEGISCHEM,EQ,344354,222124,64.50
20,44,AFFLE,EQ,82048,36167,44.08
20,45,AGARIND,EQ,5670,3326,58.66
20,46,AGCNET,EQ,19638,10333,52.62
20,47,AGRITECH,EQ,10603,7765,73.23
20,48,AGROPHOS,EQ,24404,20536,84.15
20,49,AHLEAST,EQ,626,505,80.67
20,50,AHLUCONT,EQ,114827,24281,21.15
20,51,AHLWEST,EQ,959,830,86.55
20,52,AIAENG,EQ,76528,62150,81.21
20,53,AIONJSW,EQ,177760,153113,86.13
20,54,AIRAN,EQ,26984,9212,34.14
20,55,AIROLAM,SM,3000,3000,100.00
20,56,AJANTPHARM,EQ,160011,41725,26.08
20,57,AJMERA,EQ,26763,14205,53.08
20,58,AJOONI,SM,20000,16000,80.00
20,59,AKG,SM,16000,16000,100.00
20,60,AKSHARCHEM,EQ,22750,11693,51.40
20,61,AKSHOPTFBR,EQ,307456,238448,77.56
20,62,AKZOINDIA,EQ,4082,2449,60.00
20,63,ALANKIT,EQ,302919,151373,49.97
20,64,ALBERTDAVD,EQ,7263,3631,49.99
20,65,ALCHEM,EQ,11540,9180,79.55
20,66,ALEMBICLTD,EQ,3504264,1219680,34.81
20,67,ALICON,EQ,7789,5697,73.14
20,68,ALKALI,EQ,8190,5590,68.25
20,69,ALKEM,EQ,98099,39892,40.67
20,70,ALKYLAMINE,EQ,35560,17314,48.69
20,71,ALLCARGO,EQ,911588,707349,77.60
20,72,ALLSEC,EQ,1738,1254,72.15
20,73,ALMONDZ,EQ,10086,4259,42.23
20,74,ALOKINDS,EQ,9237267,4484875,48.55
20,75,ALPA,EQ,78426,35272,44.97
20,76,ALPHAGEO,EQ,13211,8821,66.77
20,77,ALPSINDUS,EQ,25834,21824,84.48
20,78,AMARAJABAT,EQ,720657,117588,16.32
20,79,AMBER,EQ,125139,61272,48.96
20,80,AMBIKCO,EQ,3364,2033,60.43
20,81,AMBUJACEM,EQ,4220405,550388,13.04
20,82,AMDIND,EQ,8490,5767,67.93
20,83,AMJLAND,EQ,7498,6326,84.37
20,84,AMRUTANJAN,EQ,54519,20487,37.58
20,85,ANANTRAJ,EQ,163711,83981,51.30
20,86,ANDHRACEMT,EQ,172417,116471,67.55
20,87,ANDHRAPAP,EQ,32701,16686,51.03
20,88,ANDHRSUGAR,EQ,29684,19184,64.63
20,89,ANIKINDS,EQ,6572,3977,60.51
20,90,ANKITMETAL,EQ,65847,65847,100.00
20,91,ANSALAPI,EQ,54341,35864,66.00
20,92,ANSALHSG,EQ,105129,91282,86.83
20,93,ANUP,EQ,6502,4298,66.10
20,94,APARINDS,EQ,24124,14904,61.78
20,95,APCL,EQ,62899,38010,60.43
20,96,APCOTEXIND,EQ,57499,22619,39.34
20,97,APEX,EQ,116472,40856,35.08
20,98,APLAPOLLO,EQ,136239,90076,66.12
20,99,APLLTD,EQ,457183,263987,57.74
20,100,APOLLO,EQ,53608,28204,52.61
20,101,APOLLOHOSP,EQ,443361,58005,13.08
20,102,APOLLOPIPE,EQ,20140,12131,60.23
20,103,APOLLOTYRE,EQ,6309554,1053646,16.70
20,104,APOLSINHOT,EQ,848,632,74.53
20,105,APTECHT,EQ,356797,91837,25.74
20,106,ARCHIDPLY,EQ,28849,13039,45.20
20,107,ARCHIES,EQ,16414,13226,80.58
20,108,ARENTERP,EQ,448,447,99.78
20,109,ARIES,EQ,13572,6923,51.01
20,110,ARIHANT,EQ,303,194,64.03
20,111,ARIHANTSUP,EQ,7725,4467,57.83
20,112,ARMANFIN,EQ,8452,4739,56.07
20,113,AROGRANITE,EQ,6502,5167,79.47
20,114,ARROWGREEN,EQ,936,727,77.67
20,115,ARSHIYA,EQ,9359,8768,93.69
20,116,ARSSINFRA,EQ,11843,8265,69.79
20,117,ARTEMISMED,EQ,348,325,93.39
20,118,ARVEE,SM,6000,4000,66.67
20,119,ARVIND,EQ,1288373,657137,51.01
20,120,ARVINDFASN,EQ,156739,94155,60.07
20,121,ARVSMART,EQ,46133,23736,51.45
20,122,ASAHIINDIA,EQ,105212,55887,53.12
20,123,ASAHISONG,EQ,40599,18453,45.45
20,124,ASAL,EQ,4792,4668,97.41
20,125,ASALCBR,EQ,36589,20410,55.78
20,126,ASHAPURMIN,EQ,342420,199641,58.30
