Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08032010,288844227,0001327
Trade Date <08-MAR-2010>,Settlement Type <N>,Settlement No <2010043>,Settlement Date <10-MAR-2010>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,31800,15645,49.20
20,2,3IINFOTECH,EQ,1035286,449426,43.41
20,3,3MINDIA,EQ,524,373,71.18
20,4,AARTIDRUGS,EQ,17625,7749,43.97
20,5,AARTIIND,EQ,34265,23424,68.36
20,6,AARVEEDEN,EQ,747,647,86.61
20,7,ABAN,EQ,2701522,604222,22.37
20,8,ABB,EQ,521689,160710,30.81
20,9,ABBOTINDIA,EQ,2000,1426,71.30
20,10,ABCIL,EQ,27113,17156,63.28
20,11,ABGSHIP,EQ,1092362,235922,21.60
20,12,ABHISHEK,EQ,94936,69913,73.64
20,13,ABIRLANUVO,EQ,61046,30074,49.26
20,14,ABSHEKINDS,EQ,175240,94868,54.14
20,15,ACC,EQ,584885,209151,35.76
20,16,ACE,EQ,255480,141792,55.50
20,17,ACKRUTI,EQ,664759,446088,67.11
20,18,ADANIENT,EQ,181276,116398,64.21
20,19,ADANIPOWER,EQ,805739,344083,42.70
20,20,ADHUNIK,EQ,1408671,507346,36.02
20,21,ADORWELD,EQ,37379,12041,32.21
20,22,ADSL,EQ,51225,34730,67.80
20,23,ADVANIHOTR,EQ,970,970,100.00
20,24,ADVANTA,EQ,5331,2506,47.01
20,25,AEGISCHEM,EQ,8713,4152,47.65
20,26,AFL,EQ,5724,4317,75.42
20,27,AFTEK,EQ,205259,101559,49.48
20,28,AGRODUTCH,EQ,28904,19745,68.31
20,29,AHLUCONT,EQ,63764,14275,22.39
20,30,AHMEDFORGE,EQ,113342,41154,36.31
20,31,AIAENG,EQ,22487,16837,74.87
20,32,AJANTPHARM,EQ,50089,17302,34.54
20,33,AJMERA,EQ,1610464,190797,11.85
20,34,AKSHOPTFBR,EQ,36961,30762,83.23
20,35,ALBK,EQ,2035131,1062113,52.19
20,36,ALCHEM,EQ,141611,41736,29.47
20,37,ALEMBICLTD,EQ,72589,49360,68.00
20,38,ALFALAVAL,EQ,1185,774,65.32
20,39,ALKALI,EQ,1662062,156144,9.39
20,40,ALKYLAMINE,EQ,2002,1,0.05
20,41,ALLCARGO,EQ,20108,13423,66.75
20,42,ALLSEC,EQ,5438,4729,86.96
20,43,ALMONDZ,EQ,17134,11448,66.81
20,44,ALOKTEXT,EQ,1537551,560368,36.45
20,45,ALPA,EQ,162825,58411,35.87
20,46,ALPHAGEO,EQ,6320,2756,43.61
20,47,ALPSINDUS,EQ,145498,106873,73.45
20,48,AMAR,EQ,586621,116178,19.80
20,49,AMARAJABAT,EQ,51975,28943,55.69
20,50,AMARJOTHI,EQ,400,400,100.00
20,51,AMBIKCO,EQ,39528,12293,31.10
20,52,AMBUJACEM,EQ,6786096,4151311,61.17
20,53,AMDIND,EQ,39494,29611,74.98
20,54,AMRUTANJAN,EQ,88025,25186,28.61
20,55,AMTEKAUTO,EQ,595107,240139,40.35
20,56,AMTEKINDIA,EQ,1296404,745316,57.49
20,57,ANANTRAJ,EQ,460677,236836,51.41
20,58,ANDHRABANK,EQ,1484626,850913,57.31
20,59,ANDHRSUGAR,EQ,13690,10156,74.19
20,60,ANGAUTO,EQ,45106,34601,76.71
20,61,ANIKINDS,EQ,1569,1169,74.51
20,62,ANKURDRUGS,EQ,76074,49824,65.49
20,63,ANSALHSG,EQ,183113,61558,33.62
20,64,ANSALINFRA,EQ,995306,372984,37.47
20,65,ANTGRAPHIC,EQ,194808,135071,69.34
20,66,APARINDS,EQ,9944,4090,41.13
20,67,APCOTEXIND,EQ,1894,1761,92.98
20,68,APIL,EQ,89580,14518,16.21
20,69,APOLLOHOSP,EQ,20744,9984,48.13
20,70,APOLLOTYRE,EQ,7255074,2599066,35.82
20,71,APPAPER,EQ,75040,64817,86.38
20,72,APTECHT,EQ,852953,295592,34.66
20,73,AQUA,EQ,777091,195053,25.10
20,74,ARCHIDPLY,EQ,17923,13323,74.33
20,75,ARCHIES,EQ,246177,56883,23.11
20,76,AREVAT&D,EQ,206582,99092,47.97
20,77,ARIES,EQ,243705,188831,77.48
20,78,ARIHANT,EQ,944,870,92.16
20,79,ARL,EQ,244472,157866,64.57
20,80,AROGRANITE,EQ,7172,6050,84.36
20,81,ARROWTEX,EQ,8629,7264,84.18
20,82,ARSHIYA,EQ,3603,2445,67.86
20,83,ARSSINFRA,EQ,4123565,220750,5.35
20,84,ARVIND,EQ,770753,369191,47.90
20,85,ASAHIINDIA,EQ,56216,33967,60.42
20,86,ASAL,EQ,3395,1777,52.34
20,87,ASHAPURMIN,EQ,71172,31106,43.71
20,88,ASHCO,EQ,164289,114116,69.46
20,89,ASHIMASYN,EQ,24144,20784,86.08
20,90,ASHOKLEY,EQ,3167472,1289354,40.71
20,91,ASIANELEC,EQ,607373,264624,43.57
20,92,ASIANPAINT,EQ,10828,3833,35.40
20,93,ASIANTILES,EQ,14693,13763,93.67
20,94,ASIL,EQ,5850,5850,100.00
20,95,ASSAMCO,EQ,533419,297510,55.77
20,96,ASTEC,EQ,248139,111379,44.89
20,97,ASTRAL,EQ,7513,2490,33.14
20,98,ASTRAMICRO,EQ,231968,88863,38.31
20,99,ASTRAZEN,EQ,1087,891,81.97
20,100,ATFL,EQ,60282,28468,47.22
20,101,ATLANTA,EQ,986351,112578,11.41
20,102,ATLASCYCLE,EQ,25663,7873,30.68
20,103,ATNINTER,EQ,42457,35355,83.27
20,104,ATUL,EQ,86651,35607,41.09
20,105,AURIONPRO,EQ,11646,10636,91.33
20,106,AUROPHARMA,EQ,134513,76901,57.17
20,107,AUSOMENT,EQ,1426,1299,91.09
20,108,AUSTRAL,EQ,15275622,7078390,46.34
20,109,AUTOAXLES,EQ,76032,75711,99.58
20,110,AUTOIND,EQ,97453,60067,61.64
20,111,AUTOLITIND,EQ,1837,1614,87.86
20,112,AVAYAGCL,EQ,252934,70208,27.76
20,113,AVENTIS,EQ,592,399,67.40
20,114,AVTNPL,EQ,310,295,95.16
20,115,AXIS-IT&T,EQ,22266,14650,65.80
20,116,AXISBANK,EQ,3179385,2004279,63.04
20,117,BAGFILMS,EQ,1980790,469634,23.71
20,118,BAJAJ-AUTO,EQ,219745,127042,57.81
20,119,BAJAJELEC,EQ,87901,29797,33.90
20,120,BAJAJFINSV,EQ,34202,19385,56.68
20,121,BAJAJHIND,EQ,3002103,890487,29.66
20,122,BAJAJHLDNG,EQ,24863,10695,43.02
