Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08072003,117665869,0000738
Trade Date <08-JUL-2003>,Settlement Type <D>,Settlement No <2003130>,Settlement Date <10-JUL-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0835E22,GC,50,50,100.00
Trade Date <08-JUL-2003>,Settlement Type <N>,Settlement No <2003130>,Settlement Date <10-JUL-2003>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,AARTIIND,EQ,9316,7337,78.76
20,3,ABANLLOYD,EQ,57917,29964,51.74
20,4,ABB,EQ,108574,96949,89.29
20,5,ABSHEKINDS,EQ,200981,144599,71.95
20,6,ABSIND,EQ,22245,17367,78.07
20,7,ACC,EQ,1484160,456500,30.76
20,8,ADANIEXPO,EQ,38211,4771,12.49
20,9,ADLABSFILM,EQ,57238,33523,58.57
20,10,ADVANIORLI,EQ,75675,46697,61.71
20,11,AEGISCHEM,EQ,34844,29949,85.95
20,12,AFTEKINFO,EQ,481250,119651,24.86
20,13,AGEEGOLD,EQ,11256,8645,76.80
20,14,AGREVOIND,EQ,5681,4881,85.92
20,15,AGRODUTCH,EQ,38123,30208,79.24
20,16,AHMEDELEC,EQ,21922,13487,61.52
20,17,AHMEDFORGE,EQ,45725,43523,95.18
20,18,AJANTPHARM,EQ,354392,197453,55.72
20,19,AKSHOPTFBR,EQ,157136,125922,80.14
20,20,ALBK,EQ,561801,308031,54.83
20,21,ALEMBICLTD,EQ,22165,12520,56.49
20,22,ALFALAVAL,EQ,1985,1785,89.92
20,23,ALOKTEXT,EQ,2603710,1035382,39.77
20,24,ALPSINDUS,EQ,4977,3877,77.90
20,25,AMARAJABAT,EQ,44902,31010,69.06
20,26,AMBUJARAJN,EQ,785376,496468,63.21
20,27,AMITSPIN,EQ,14808,13648,92.17
20,28,AMTREXAPPL,EQ,6242,6142,98.40
20,29,ANAMALFIN,EQ,804,801,99.63
20,30,ANDHRABANK,EQ,2655227,1261100,47.49
20,31,ANDHRSUGAR,EQ,377257,294628,78.10
20,32,ANTGRAPHIC,EQ,38250,36250,94.77
20,33,APCOTEXLAT,EQ,1776,1618,91.10
20,34,APIL,EQ,29668,16705,56.31
20,35,APOLLOHOSP,EQ,298455,201261,67.43
20,36,APOLLOTYRE,EQ,133651,49920,37.35
20,37,APTECHT,EQ,297930,137537,46.16
20,38,ARCHIES,EQ,12809,8958,69.94
20,39,ARHAMFISCL,EQ,40244,33477,83.19
20,40,ARIHANTCRE,EQ,217243,124931,57.51
20,41,ARL,EQ,161583,114247,70.70
20,42,ARVINDMILL,EQ,1822543,712016,39.07
20,43,ASAHIINDIA,EQ,51937,41609,80.11
20,44,ASHAPURMIN,EQ,52,50,96.15
20,45,ASHIMASYN,EQ,7766,7156,92.15
20,46,ASHKLEYFIN,EQ,66347,57973,87.38
20,47,ASHOKLEY,EQ,169471,92620,54.65
20,48,ASIANELEC,EQ,13282,11013,82.92
20,49,ASIANHOTEL,EQ,21988,12427,56.52
20,50,ASIANPAINT,EQ,17927,13159,73.40
20,51,ASTRAIDL,EQ,55,55,100.00
20,52,ATCOIND,EQ,145051,87844,60.56
20,53,ATFL,EQ,2847,2210,77.63
20,54,ATLASCYCLE,EQ,6016,5000,83.11
20,55,ATULPROD,EQ,60769,59168,97.37
20,56,AUROPHARMA,EQ,152268,62834,41.27
20,57,AUTOAXLES,EQ,55599,35845,64.47
20,58,AUTORIDFIN,EQ,4092,4000,97.75
20,59,AVENTIS,EQ,16583,9166,55.27
20,60,AZTEC,EQ,348291,153286,44.01
20,61,BAJAJAUTO,EQ,61418,41676,67.86
20,62,BAJAJHIND,EQ,3829,3025,79.00
20,63,BAJAJPLAST,EQ,22001,19001,86.36
20,64,BAJAUTOFIN,EQ,13734,11680,85.04
20,65,BALAJIDIST,EQ,110455,88910,80.49
20,66,BALAJITELE,EQ,703208,304277,43.27
20,67,BALMLAWRIE,EQ,19813,12092,61.03
20,68,BALRAMCHIN,EQ,54587,36247,66.40
20,69,BANARISUG,EQ,9318,8365,89.77
20,70,BANKBARODA,EQ,3971593,1037360,26.12
20,71,BANKINDIA,EQ,3038239,1124837,37.02
20,72,BANKPUNJAB,EQ,622595,382390,61.42
20,73,BANKRAJAS,EQ,576210,403627,70.05
20,74,BASF,EQ,96833,47657,49.22
20,75,BATAINDIA,EQ,71568,49364,68.97
20,76,BBTC,EQ,240,240,100.00
20,77,BEL,EQ,88729,30890,34.81
20,78,BELCERAMIC,EQ,240425,190804,79.36
20,79,BEML,EQ,279895,124288,44.41
20,80,BERGEPAINT,EQ,14159,11723,82.80
20,81,BFLSOFTWAR,EQ,44218,23163,52.38
20,82,BGFL,EQ,21839,16654,76.26
20,83,BHARATFORG,EQ,56690,38886,68.59
20,84,BHARATGEAR,EQ,83183,65433,78.66
20,85,BHARATRAS,EQ,1905,1731,90.87
20,86,BHARTI,EQ,737387,617810,83.78
20,87,BHEL,EQ,410483,165219,40.25
20,88,BIL,EQ,7800,7210,92.44
20,89,BILT,EQ,332911,216895,65.15
20,90,BINDALAGRO,EQ,163602,130110,79.53
20,91,BIRLA3M,EQ,2085,1885,90.41
20,92,BIRLAERIC,EQ,29530,21431,72.57
20,93,BIRLAJUTE,EQ,1430204,665633,46.54
20,94,BLBLIMITED,EQ,31317,21714,69.34
20,95,BLUECHIP,EQ,8461,8460,99.99
20,96,BLUEDART,EQ,22025,12794,58.09
20,97,BLUESTARCO,EQ,9685,6489,67.00
20,98,BLUESTINFO,EQ,10518,6590,62.65
20,99,BOMDYEING,EQ,92615,67177,72.53
20,100,BONGAIREFN,EQ,1145221,695070,60.69
20,101,BPCL,EQ,1198421,436748,36.44
20,102,BPL,EQ,65695,44732,68.09
20,103,BPLENGG,EQ,57606,45950,79.77
20,104,BPLREFRIG,EQ,23811,22561,94.75
20,105,BPLSANTECH,EQ,10852,8626,79.49
20,106,BPLSANUTIL,EQ,1400,1200,85.71
20,107,BRITANNIA,EQ,5167,3623,70.12
20,108,BSELINFO,EQ,315,215,68.25
20,109,BSES,EQ,1051107,279025,26.55
20,110,BSL,EQ,103,103,100.00
20,111,CADILAHC,EQ,115449,38181,33.07
20,112,CANBK,EQ,4670618,1043193,22.34
20,113,CANFINHOME,EQ,226450,134752,59.51
20,114,CARBORUNIV,EQ,9010,6902,76.60
20,115,CEAT,EQ,319174,141397,44.30
20,116,CENTENKA,EQ,99060,54195,54.71
20,117,CENTEXTRU,EQ,172498,138559,80.32
20,118,CENTURION,EQ,1087581,727604,66.90
20,119,CENTURYTEX,EQ,1159514,481700,41.54
20,120,CESC,EQ,732675,284184,38.79
20,121,CGIGARSH,EQ,24804,15172,61.17
20,122,CHAMBLFERT,EQ,766123,492926,64.34
20,123,CHEMPLAST,EQ,2422,1944,80.26
20,124,CHENNPETRO,EQ,992319,430544,43.39
20,125,CHESLINTEX,EQ,64201,58530,91.17
20,126,CHLORIDIND,EQ,43688,34354,78.63
20,127,CHOLAINV,EQ,21442,18410,85.86
20,128,CIMCOBIRLA,EQ,46739,45338,97.00
20,129,CINEVISTA,EQ,9659,7644,79.14
20,130,CIPL,EQ,183602,148702,80.99
20,131,CIPLA,EQ,114378,58801,51.41
20,132,CITICORSEC,EQ,7711,6528,84.66
20,133,CLARIANT,EQ,11544,10111,87.59
20,134,CMC,EQ,18069,11133,61.61
