Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,09042020,726627239,0001828
Trade Date <09-APR-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,36003,22843,63.45
20,2,21STCENMGM,EQ,1436,1436,100.00
20,3,3IINFOTECH,EQ,4454205,2772981,62.26
20,4,3MINDIA,EQ,7065,2444,34.59
20,5,3PLAND,EQ,2609,2588,99.20
20,6,5PAISA,EQ,22161,17404,78.53
20,7,63MOONS,EQ,55335,42223,76.30
20,8,706GS2046,GS,100,100,100.00
20,9,726GS2029,GS,1460,1460,100.00
20,10,737GS2023,GS,210,210,100.00
20,11,762GS2039,GS,99,99,100.00
20,12,772GS2049,GS,200,200,100.00
20,13,824GS2033,GS,100,100,100.00
20,14,A2ZINFRA,EQ,605653,463321,76.50
20,15,AAKASH,SM,3000,3000,100.00
20,16,AARTIDRUGS,EQ,42741,19338,45.24
20,17,AARTIIND,EQ,299388,117649,39.30
20,18,AARVEEDEN,EQ,28790,20452,71.04
20,19,AARVI,SM,2000,2000,100.00
20,20,AAVAS,EQ,20212,12520,61.94
20,21,ABAN,EQ,34835,31758,91.17
20,22,ABB,EQ,75668,48665,64.31
20,23,ABBOTINDIA,EQ,30100,9044,30.05
20,24,ABCAPITAL,EQ,1530181,624018,40.78
20,25,ABFRL,EQ,607513,418862,68.95
20,26,ABSLBANETF,EQ,1,1,100.00
20,27,ABSLFTSGRN,MF,1000,1000,100.00
20,28,ACC,EQ,2658885,1128891,42.46
20,29,ACCELYA,EQ,9534,6847,71.82
20,30,ACCURACY,SM,49600,49600,100.00
20,31,ACE,EQ,529637,255088,48.16
20,32,ADANIENT,EQ,2359528,335061,14.20
20,33,ADANIGAS,EQ,2453013,956070,38.98
20,34,ADANIGREEN,EQ,542554,280295,51.66
20,35,ADANIPORTS,EQ,5290672,1870738,35.36
20,36,ADANIPOWER,EQ,8693884,2084150,23.97
20,37,ADANITRANS,EQ,94160,53726,57.06
20,38,ADFFOODS,EQ,49482,30873,62.39
20,39,ADHUNIKIND,EQ,9733,8733,89.73
20,40,ADLABS,EQ,39703,37800,95.21
20,41,ADORWELD,EQ,3585,1844,51.44
20,42,ADROITINFO,EQ,2854,2854,100.00
20,43,ADSL,EQ,52424,40909,78.03
20,44,ADVANIHOTR,EQ,8015,6489,80.96
20,45,ADVENZYMES,EQ,44379,31975,72.05
20,46,AEGISCHEM,EQ,99526,73152,73.50
20,47,AGARIND,EQ,40770,27968,68.60
20,48,AGRITECH,EQ,3595,3595,100.00
20,49,AGROPHOS,EQ,14986,14936,99.67
20,50,AHLEAST,EQ,5600,5262,93.96
20,51,AHLUCONT,EQ,8833,7082,80.18
20,52,AHLWEST,EQ,1183,511,43.20
20,53,AIAENG,EQ,68666,53278,77.59
20,54,AIONJSW,EQ,18071,14872,82.30
20,55,AIRAN,EQ,7895,4927,62.41
20,56,AJANTPHARM,EQ,220040,90784,41.26
20,57,AJMERA,EQ,32597,16093,49.37
20,58,AKSHARCHEM,EQ,6629,3396,51.23
20,59,AKSHOPTFBR,EQ,24980,24980,100.00
20,60,AKZOINDIA,EQ,7578,3330,43.94
20,61,ALANKIT,EQ,18909,18821,99.53
20,62,ALBERTDAVD,EQ,16429,7930,48.27
20,63,ALEMBICLTD,EQ,508821,260867,51.27
20,64,ALICON,EQ,9825,6577,66.94
20,65,ALKALI,EQ,10960,6092,55.58
20,66,ALKEM,EQ,238145,94777,39.80
20,67,ALKYLAMINE,EQ,44402,18870,42.50
20,68,ALLCARGO,EQ,175301,118931,67.84
20,69,ALLSEC,EQ,102,102,100.00
20,70,ALMONDZ,EQ,202,202,100.00
20,71,ALOKINDS,EQ,719085,719085,100.00
20,72,ALPA,EQ,46337,40552,87.52
20,73,ALPHAGEO,EQ,44257,20534,46.40
20,74,ALPSINDUS,EQ,67601,52901,78.25
20,75,AMARAJABAT,EQ,1918114,431161,22.48
20,76,AMBER,EQ,243042,111937,46.06
20,77,AMBIKCO,EQ,2318,1854,79.98
20,78,AMBUJACEM,EQ,8828432,4029636,45.64
20,79,AMDIND,EQ,19196,9606,50.04
20,80,AMJLAND,EQ,11420,6008,52.61
20,81,AMRUTANJAN,EQ,158234,52310,33.06
