ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-1997","EQ","1,167.10","1,189.80","1,155.25","1,173.20","-","1,176.20","1,173.16","1,850.00","900.00",496900,"582,942,381.50",
"12-Nov-1997","EQ","1,180.25","1,195.00","1,168.10","1,197.45","-","1,173.20","1,179.95","1,850.00","900.00",348810,"411,577,860.75",
"11-Nov-1997","EQ","1,167.00","1,218.00","1,162.20","1,166.75","-","1,197.45","1,184.93","1,850.00","900.00",238510,"282,617,373.50",
"10-Nov-1997","EQ","1,180.00","1,180.00","1,151.00","1,183.00","-","1,166.75","1,169.13","1,850.00","900.00",144590,"169,043,968.75",
"07-Nov-1997","EQ","1,192.50","1,202.00","1,176.10","1,186.85","-","1,183.00","1,189.20","1,850.00","900.00",227525,"270,573,334.75",
"06-Nov-1997","EQ","1,152.25","1,191.00","1,145.65","1,159.45","-","1,186.85","1,172.44","1,850.00","900.00",301570,"353,573,948.25",
"05-Nov-1997","EQ","1,190.00","1,190.00","1,143.10","1,170.40","-","1,159.45","1,158.63","1,850.00","900.00",224045,"259,584,325.50",
"04-Nov-1997","EQ","1,177.00","1,186.00","1,162.35","1,171.40","-","1,170.40","1,173.38","1,850.00","900.00",153335,"179,919,515.50",
"03-Nov-1997","EQ","1,181.00","1,196.00","1,154.00","1,169.45","-","1,171.40","1,168.21","1,850.00","900.00",121445,"141,872,807.00",
"30-Oct-1997","EQ","1,180.00","1,188.00","1,161.00","1,191.40","-","1,169.45","1,169.69","1,850.00","900.00",114330,"133,730,208.50",
"29-Oct-1997","EQ","1,220.00","1,220.00","1,150.00","1,116.65","-","1,191.40","1,181.89","1,850.00","900.00",234315,"276,935,107.50",
"28-Oct-1997","EQ","1,200.25","1,200.25","1,093.50","1,205.60","-","1,116.65","1,136.19","1,850.00","900.00",415015,"471,535,540.50",
"27-Oct-1997","EQ","1,224.00","1,224.00","1,194.00","1,216.50","-","1,205.60","1,207.69","1,850.00","900.00",157200,"189,849,051.75",
"24-Oct-1997","EQ","1,215.65","1,229.00","1,187.50","1,225.20","-","1,216.50","1,208.90","1,850.00","900.00",305830,"369,717,855.00",
"23-Oct-1997","EQ","1,242.50","1,252.50","1,214.00","1,242.65","-","1,225.20","1,229.21","1,850.00","900.00",205005,"251,993,566.50",
"22-Oct-1997","EQ","1,275.00","1,289.90","1,235.00","1,271.75","-","1,242.65","1,254.16","1,850.00","900.00",275510,"345,533,773.00",
"21-Oct-1997","EQ","1,302.00","1,315.95","1,261.00","1,310.40","-","1,271.75","1,283.74","1,850.00","900.00",245775,"315,512,121.25",
"20-Oct-1997","EQ","1,330.00","1,339.90","1,286.00","1,338.90","-","1,310.40","1,308.60","1,850.00","900.00",311200,"407,236,308.25",
"17-Oct-1997","EQ","1,334.00","1,357.00","1,327.30","1,332.00","-","1,338.90","1,342.30","1,850.00","900.00",332235,"445,960,010.75",
"16-Oct-1997","EQ","1,314.00","1,344.70","1,312.00","1,309.90","-","1,332.00","1,328.11","1,850.00","900.00",288845,"383,619,205.75",
"15-Oct-1997","EQ","1,281.15","1,325.00","1,280.00","1,270.30","-","1,309.90","1,299.44","1,850.00","900.00",336775,"437,620,569.25",
"14-Oct-1997","EQ","1,295.00","1,343.00","1,249.00","1,300.50","-","1,270.30","1,313.76","1,850.00","900.00",489550,"643,153,357.00",
"13-Oct-1997","EQ","1,220.00","1,324.00","1,220.00","1,211.40","-","1,300.50","1,291.40","1,850.00","900.00",515115,"665,217,458.00",
"10-Oct-1997","EQ","1,182.00","1,222.00","1,180.00","1,178.55","-","1,211.40","1,198.96","1,850.00","900.00",258795,"310,285,033.75",
"09-Oct-1997","EQ","1,165.00","1,184.00","1,160.50","1,193.50","-","1,178.55","1,170.09","1,850.00","900.00",113525,"132,834,641.00",
"01-Oct-1997","EQ","1,182.00","1,200.00","1,180.00","1,204.15","-","1,193.50","1,187.91","1,910.00","900.00",156420,"185,813,194.75",
"30-Sep-1997","EQ","1,208.00","1,213.00","1,192.00","1,213.35","-","1,204.15","1,202.91","1,910.00","900.00",174960,"210,461,183.75",
"29-Sep-1997","EQ","1,210.00","1,230.00","1,202.00","1,190.00","-","1,213.35","1,216.80","2,032.50","900.00",204755,"249,145,237.50",
"26-Sep-1997","EQ","1,205.00","1,217.00","1,185.00","1,197.70","-","1,190.00","1,201.94","2,032.50","900.00",181535,"218,193,484.50",
"25-Sep-1997","EQ","1,182.00","1,205.00","1,182.00","1,189.05","-","1,197.70","1,191.61","2,032.50","900.00",121815,"145,155,691.25",
"24-Sep-1997","EQ","1,179.95","1,209.00","1,179.95","1,161.50","-","1,189.05","1,197.27","2,032.50","900.00",245540,"293,978,503.25",
"23-Sep-1997","EQ","1,166.65","1,178.00","1,152.00","1,174.80","-","1,161.50","1,167.27","2,032.50","900.00",205380,"239,734,050.00",
"22-Sep-1997","EQ","1,225.00","1,238.00","1,170.00","1,234.05","-","1,174.80","1,193.33","2,175.00","900.00",333745,"398,269,480.75",
"19-Sep-1997","EQ","1,253.00","1,253.00","1,225.10","1,245.10","-","1,234.05","1,235.27","2,175.00","900.00",157905,"195,054,570.50",
"18-Sep-1997","EQ","1,275.10","1,275.10","1,225.10","1,284.45","-","1,245.10","1,246.26","2,175.00","900.00",200565,"249,955,950.50",
"17-Sep-1997","EQ","1,290.00","1,293.00","1,281.50","1,285.55","-","1,284.45","1,285.64","2,175.00","900.00",20750,"26,677,096.25",
"16-Sep-1997","EQ","1,284.00","1,304.30","1,278.00","1,278.30","-","1,285.55","1,292.25","2,175.00","900.00",197890,"255,724,066.00",
"15-Sep-1997","EQ","1,279.75","1,289.00","1,262.00","1,272.30","-","1,278.30","1,277.40","2,220.00","900.00",123755,"158,084,059.00",
"12-Sep-1997","EQ","1,288.00","1,290.00","1,266.00","1,298.05","-","1,272.30","1,274.96","2,220.00","900.00",279275,"356,064,249.25",
"11-Sep-1997","EQ","1,304.80","1,315.90","1,291.60","1,297.30","-","1,298.05","1,307.17","2,220.00","900.00",193300,"252,676,853.00",
"10-Sep-1997","EQ","1,324.00","1,324.00","1,290.00","1,333.20","-","1,297.30","1,301.05","2,220.00","900.00",258450,"336,255,583.50",
"09-Sep-1997","EQ","1,324.00","1,345.00","1,321.00","1,312.25","-","1,333.20","1,331.06","2,220.00","900.00",404750,"538,745,845.75",
"08-Sep-1997","EQ","1,290.10","1,319.95","1,280.00","1,303.30","-","1,312.25","1,304.77","2,220.00","900.00",344895,"450,010,105.00",
"05-Sep-1997","EQ","1,265.00","1,310.00","1,263.00","1,257.80","-","1,303.30","1,288.10","2,220.00","900.00",544150,"700,919,097.00",
"04-Sep-1997","EQ","1,236.00","1,272.00","1,189.00","1,250.95","-","1,257.80","1,250.03","2,220.00","900.00",363940,"454,936,871.25",
