ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-1997","EQ","58.00","58.30","57.00","59.15","-","57.90","57.46","117.45","58.50",9000,"517,130.00",
"12-Nov-1997","EQ","59.30","60.00","58.50","59.65","-","59.15","59.26","117.45","59.30",8350,"494,815.00",
"11-Nov-1997","EQ","60.85","61.85","59.30","61.50","-","59.65","60.45","117.45","60.00",6200,"374,782.50",
"10-Nov-1997","EQ","63.00","63.00","60.00","63.25","-","61.50","61.58","117.45","61.50",9350,"575,785.00",
"07-Nov-1997","EQ","64.50","64.50","62.75","63.70","-","63.25","63.28","117.45","61.50",4100,"259,445.00",
"06-Nov-1997","EQ","63.55","64.00","63.00","63.70","-","63.70","63.23","117.45","61.50",2550,"161,230.00",
"05-Nov-1997","EQ","63.25","64.50","63.25","63.50","-","63.70","64.13","117.45","61.50",5900,"378,370.00",
"04-Nov-1997","EQ","63.70","64.50","63.00","64.95","-","63.50","63.81","117.45","61.50",9900,"631,727.50",
"03-Nov-1997","EQ","65.00","65.00","63.50","64.85","-","64.95","64.25","117.45","61.50",4300,"276,265.00",
"30-Oct-1997","EQ","64.00","65.35","63.25","64.55","-","64.85","64.47","117.45","61.50",2700,"174,077.50",
"29-Oct-1997","EQ","62.55","65.00","62.55","61.50","-","64.55","64.63","117.45","61.50",5400,"349,005.00",
"28-Oct-1997","EQ","64.95","64.95","61.50","63.85","-","61.50","62.19","117.45","62.50",17150,"1,066,502.50",
"27-Oct-1997","EQ","62.50","65.40","62.50","65.45","-","63.85","64.02","117.45","64.55",9650,"617,820.00",
"24-Oct-1997","EQ","66.00","66.50","64.55","65.95","-","65.45","65.53","117.45","65.00",4750,"311,252.50",
"23-Oct-1997","EQ","66.60","66.60","65.50","66.50","-","65.95","65.93","117.45","65.00",7300,"481,322.50",
"22-Oct-1997","EQ","66.05","67.50","65.55","67.30","-","66.50","66.06","117.45","65.00",7700,"508,670.00",
"21-Oct-1997","EQ","67.50","67.95","66.00","67.45","-","67.30","66.85","117.45","65.00",9950,"665,170.00",
"20-Oct-1997","EQ","68.00","68.25","66.80","68.75","-","67.45","67.53","117.45","65.00",10400,"702,272.50",
"17-Oct-1997","EQ","69.25","69.50","67.90","68.70","-","68.75","68.62","117.45","65.00",6400,"439,170.00",
"16-Oct-1997","EQ","69.95","70.00","67.85","67.85","-","68.70","68.72","117.45","65.00",7600,"522,307.50",
"15-Oct-1997","EQ","67.50","68.00","67.00","67.95","-","67.85","67.55","117.45","65.00",4400,"297,222.50",
"14-Oct-1997","EQ","68.00","68.50","66.50","67.95","-","67.95","67.87","117.45","65.00",19950,"1,354,055.00",
"13-Oct-1997","EQ","69.00","69.00","67.00","69.20","-","67.95","68.04","117.45","65.00",12450,"847,055.00",
"10-Oct-1997","EQ","68.00","71.40","67.75","66.95","-","69.20","68.73","117.45","65.00",15600,"1,072,127.50",
"09-Oct-1997","EQ","65.25","67.25","65.00","65.65","-","66.95","66.42","117.45","65.00",7800,"518,077.50",
"01-Oct-1997","EQ","65.00","66.75","65.00","65.60","-","65.65","65.77","122.00","65.20",9800,"644,540.00",
"30-Sep-1997","EQ","66.30","66.85","65.20","67.05","-","65.60","65.99","122.00","65.25",13750,"907,345.00",
"29-Sep-1997","EQ","68.00","68.00","66.55","67.60","-","67.05","67.22","123.25","65.25",18900,"1,270,382.50",
"26-Sep-1997","EQ","69.95","69.95","67.50","67.60","-","67.60","67.77","123.25","65.25",24600,"1,667,040.00",
"25-Sep-1997","EQ","67.95","68.15","66.20","66.65","-","67.60","67.53","123.25","65.25",10450,"705,662.50",
"24-Sep-1997","EQ","65.25","68.45","65.25","66.35","-","66.65","66.93","123.25","66.00",26050,"1,743,512.50",
"23-Sep-1997","EQ","66.20","67.50","66.00","66.55","-","66.35","66.61","123.25","66.00",19350,"1,288,930.00",
"22-Sep-1997","EQ","66.00","67.00","66.00","67.05","-","66.55","66.42","130.50","66.00",8850,"587,850.00",
"19-Sep-1997","EQ","66.95","67.80","66.00","66.75","-","67.05","66.56","130.50","66.00",13650,"908,580.00",
"18-Sep-1997","EQ","67.05","67.05","66.00","67.95","-","66.75","66.56","130.50","66.50",17450,"1,161,430.00",
"17-Sep-1997","EQ","68.00","68.10","67.30","67.90","-","67.95","67.90","130.50","66.50",3450,"234,247.50",
"16-Sep-1997","EQ","68.00","68.75","67.50","68.30","-","67.90","67.98","130.50","66.50",12150,"825,955.00",
"15-Sep-1997","EQ","69.45","69.45","68.00","68.90","-","68.30","68.60","131.50","66.50",7050,"483,610.00",
"12-Sep-1997","EQ","68.50","70.50","68.50","69.60","-","68.90","69.27","131.50","66.50",13750,"952,512.50",
"11-Sep-1997","EQ","68.65","70.00","68.65","68.50","-","69.60","69.56","131.50","66.50",9900,"688,670.00",
"10-Sep-1997","EQ","68.00","68.80","66.50","68.10","-","68.50","68.36","131.50","66.70",11900,"813,430.00",
"09-Sep-1997","EQ","68.00","68.85","67.15","67.95","-","68.10","68.14","131.50","66.70",28500,"1,941,890.00",
"08-Sep-1997","EQ","68.05","69.10","67.75","69.15","-","67.95","68.14","131.50","66.70",16300,"1,110,605.00",
"05-Sep-1997","EQ","68.50","69.90","68.30","68.05","-","69.15","69.04","131.50","66.70",29250,"2,019,327.50",
"04-Sep-1997","EQ","66.70","68.75","66.70","68.65","-","68.05","68.00","131.50","67.00",22150,"1,506,092.50",
"03-Sep-1997","EQ","68.95","72.00","67.60","68.50","-","68.65","69.12","131.50","67.00",42700,"2,951,407.50",
"02-Sep-1997","EQ","72.95","72.95","68.45","73.60","-","68.50","69.03","131.50","67.00",41550,"2,868,210.00",
"01-Sep-1997","EQ","75.25","75.95","73.00","74.85","-","73.60","73.95","131.50","67.00",21600,"1,597,407.50",
"29-Aug-1997","EQ","74.20","75.50","74.10","76.50","-","74.85","74.73","131.50","67.00",7950,"594,067.50",
"28-Aug-1997","EQ","77.05","77.50","75.75","77.60","-","76.50","76.45","131.50","67.00",5650,"431,965.00",
"27-Aug-1997","EQ","77.00","78.35","76.60","77.10","-","77.60","77.47","131.50","67.00",7100,"550,015.00",
"26-Aug-1997","EQ","77.05","78.60","76.50","78.00","-","77.10","77.71","131.50","67.00",14450,"1,122,852.50",
"25-Aug-1997","EQ","75.75","78.00","75.75","77.95","-","78.00","77.26","131.50","67.00",5800,"448,105.00",
"22-Aug-1997","EQ","78.00","78.95","77.55","78.45","-","77.95","78.18","131.50","67.00",5650,"441,737.50",
"21-Aug-1997","EQ","80.70","80.70","78.00","79.50","-","78.45","78.70","131.50","67.00",4850,"381,695.00",
"20-Aug-1997","EQ","79.75","79.75","78.50","78.35","-","79.50","79.10","131.50","67.00",6400,"506,260.00",
