ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Aug-2003","EQ","51.05","55.00","50.25","50.45","54.50","53.30","51.84","56.70","20.65",2215678,"114,865,832.05",
"13-Aug-2003","EQ","51.85","52.95","50.10","51.65","50.30","50.45","51.31","56.70","20.65",2424938,"124,413,504.00",
"12-Aug-2003","EQ","51.60","53.25","50.65","51.95","51.40","51.65","52.00","56.70","20.65",1276103,"66,361,649.05",
"11-Aug-2003","EQ","49.00","52.80","49.00","50.80","51.80","51.95","51.65","56.70","20.65",2013831,"104,014,806.65",
"08-Aug-2003","EQ","51.70","52.45","49.55","51.20","50.65","50.80","50.46","56.70","20.65",2411783,"121,695,858.20",
"07-Aug-2003","EQ","52.80","53.20","50.10","51.85","50.50","51.20","51.81","56.70","20.65",1883413,"97,572,709.85",
"06-Aug-2003","EQ","54.00","54.00","51.40","54.30","52.00","51.85","52.31","56.70","20.65",2456912,"128,529,896.55",
"05-Aug-2003","EQ","52.60","56.70","52.60","52.40","54.50","54.30","54.90","53.50","20.65",3507903,"192,591,165.90",
"04-Aug-2003","EQ","51.90","53.35","51.50","52.95","51.55","52.40","52.58","53.50","20.65",1565761,"82,323,564.00",
"01-Aug-2003","EQ","50.85","53.50","49.75","50.65","52.90","52.95","52.31","52.70","20.65",2978418,"155,791,757.45",
"31-Jul-2003","EQ","46.70","52.70","46.20","46.25","50.00","50.65","49.90","50.00","20.65",6134279,"306,115,857.15",
"30-Jul-2003","EQ","47.50","47.50","46.05","46.50","46.40","46.25","46.83","50.00","20.65",821165,"38,451,762.95",
"29-Jul-2003","EQ","47.90","47.90","46.05","47.60","46.50","46.50","46.89","50.00","20.65",698021,"32,727,227.45",
"28-Jul-2003","EQ","50.00","50.00","46.75","46.95","47.60","47.60","47.66","47.80","20.65",2076509,"98,964,328.60",
"25-Jul-2003","EQ","47.50","47.50","45.15","47.15","47.40","46.95","46.53","47.80","20.65",1778937,"82,774,101.60",
"24-Jul-2003","EQ","43.00","47.80","42.25","42.55","46.80","47.15","45.38","45.70","20.65",3957165,"179,569,604.20",
"23-Jul-2003","EQ","44.80","45.70","41.55","44.10","42.40","42.55","44.08","45.00","20.65",5232447,"230,666,087.45",
"22-Jul-2003","EQ","44.00","45.00","41.25","41.80","44.15","44.10","43.38","44.00","20.65",3159043,"137,037,568.65",
"21-Jul-2003","EQ","42.80","43.85","41.35","41.25","41.60","41.80","42.60","44.00","20.65",3686328,"157,053,883.60",
"18-Jul-2003","EQ","40.00","42.10","39.25","39.75","42.00","41.25","40.81","44.00","20.65",3112572,"127,028,135.65",
"17-Jul-2003","EQ","37.80","42.15","37.80","37.95","39.70","39.75","40.45","44.00","20.65",3188129,"128,945,366.70",
"16-Jul-2003","EQ","38.00","38.30","37.40","37.65","38.00","37.95","37.98","44.00","20.65",761474,"28,922,026.15",
"15-Jul-2003","EQ","38.50","39.30","37.40","37.95","37.90","37.65","37.82","44.00","20.65",1673354,"63,291,572.70",
"14-Jul-2003","EQ","37.90","38.25","37.40","37.35","38.10","37.95","37.92","44.00","20.65",317812,"12,051,429.45",
"11-Jul-2003","EQ","36.55","37.80","36.55","36.95","37.40","37.35","37.45","44.00","20.65",132368,"4,957,405.80",
"10-Jul-2003","EQ","36.80","38.00","36.05","36.25","37.25","36.95","37.33","44.00","20.65",250754,"9,360,047.65",
"09-Jul-2003","EQ","37.50","37.50","36.10","36.60","36.40","36.25","36.49","44.00","20.65",258160,"9,419,590.60",
"08-Jul-2003","EQ","37.25","37.50","36.00","37.00","36.60","36.60","36.33","44.00","20.65",737387,"26,792,489.75",
"07-Jul-2003","EQ","37.50","38.25","36.75","38.35","37.00","37.00","37.25","44.00","20.65",665872,"24,804,412.40",
"04-Jul-2003","EQ","39.00","39.00","37.35","39.10","38.40","38.35","38.15","44.00","20.65",188244,"7,181,876.80",
"03-Jul-2003","EQ","39.20","39.40","38.85","38.80","39.05","39.10","39.12","44.00","20.65",179714,"7,029,967.05",
"02-Jul-2003","EQ","39.00","39.35","38.00","39.10","39.00","38.80","38.76","44.00","20.65",169782,"6,581,126.10",
"01-Jul-2003","EQ","39.50","39.50","38.50","39.05","39.05","39.10","38.93","44.00","20.65",101537,"3,952,767.05",
"30-Jun-2003","EQ","38.80","39.35","38.50","38.50","38.95","39.05","38.96","44.00","20.65",324396,"12,637,593.05",
"27-Jun-2003","EQ","38.70","39.30","36.00","38.20","38.55","38.50","38.41","44.00","20.65",374772,"14,395,035.65",
"26-Jun-2003","EQ","37.95","38.75","37.95","37.75","38.05","38.20","38.34","44.00","20.65",347747,"13,331,804.90",
"25-Jun-2003","EQ","37.00","38.40","36.50","37.05","38.00","37.75","37.84","44.00","20.65",303380,"11,479,801.95",
"24-Jun-2003","EQ","37.80","38.00","36.85","36.90","37.05","37.05","37.28","44.00","20.65",186955,"6,969,153.65",
"23-Jun-2003","EQ","39.60","39.75","36.70","39.15","37.10","36.90","37.80","44.00","20.65",382766,"14,469,582.60",
"20-Jun-2003","EQ","40.15","40.50","38.80","40.15","39.50","39.15","39.52","44.00","20.65",136701,"5,402,691.15",
"19-Jun-2003","EQ","41.45","41.45","39.60","41.35","39.60","40.15","40.59","44.00","20.65",489859,"19,882,647.85",
"18-Jun-2003","EQ","41.90","41.90","40.65","41.55","41.10","41.35","41.34","44.00","20.65",440341,"18,202,421.20",
"17-Jun-2003","EQ","42.25","42.50","41.45","41.25","41.50","41.55","41.73","44.00","20.65",306834,"12,803,860.80",
"16-Jun-2003","EQ","42.00","42.00","41.00","42.10","41.45","41.25","41.40","44.00","20.65",193105,"7,993,765.00",
"13-Jun-2003","EQ","40.75","44.00","40.75","40.05","42.00","42.10","42.53","42.30","20.65",720856,"30,656,761.90",
"12-Jun-2003","EQ","41.00","41.70","39.90","41.10","40.00","40.05","40.47","42.30","20.65",308432,"12,483,702.15",
"11-Jun-2003","EQ","40.05","41.50","39.90","39.70","41.00","41.10","40.82","42.30","20.65",261310,"10,667,836.00",
"10-Jun-2003","EQ","41.00","41.45","39.40","41.40","39.90","39.70","40.27","42.30","20.65",154417,"6,218,897.05",
"09-Jun-2003","EQ","41.90","42.00","41.00","40.90","41.45","41.40","41.52","42.30","20.65",138490,"5,750,438.00",
