ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-1997","EQ","1,313.00","1,319.00","1,294.00","1,316.85","-","1,310.10","1,302.42","2,528.75","660.00",21700,"28,262,530.00",
"12-Nov-1997","EQ","1,370.00","1,370.00","1,316.00","1,364.80","-","1,316.85","1,335.93","2,528.75","660.00",28700,"38,341,085.00",
"11-Nov-1997","EQ","1,300.00","1,380.00","1,300.00","1,305.25","-","1,364.80","1,342.92","2,528.75","660.00",26300,"35,318,720.00",
"10-Nov-1997","EQ","1,308.00","1,308.85","1,291.10","1,309.60","-","1,305.25","1,300.18","2,528.75","656.30",8000,"10,401,410.00",
"07-Nov-1997","EQ","1,291.05","1,320.00","1,291.05","1,303.30","-","1,309.60","1,309.93","2,528.75","656.30",16600,"21,744,910.00",
"06-Nov-1997","EQ","1,296.00","1,308.00","1,284.00","1,305.05","-","1,303.30","1,292.36","2,528.75","656.30",39500,"51,048,210.00",
"05-Nov-1997","EQ","1,322.00","1,330.00","1,275.20","1,348.20","-","1,305.05","1,299.78","2,528.75","656.30",31700,"41,202,950.00",
"04-Nov-1997","EQ","1,343.00","1,367.00","1,310.50","1,331.10","-","1,348.20","1,333.23","2,528.75","656.30",17300,"23,064,825.00",
"03-Nov-1997","EQ","1,345.05","1,358.00","1,303.00","1,345.95","-","1,331.10","1,326.83","2,528.75","656.30",21700,"28,792,145.00",
"30-Oct-1997","EQ","1,360.00","1,367.00","1,338.25","1,381.70","-","1,345.95","1,350.32","2,528.75","656.30",8000,"10,802,525.00",
"29-Oct-1997","EQ","1,354.00","1,388.00","1,327.00","1,287.20","-","1,381.70","1,425.24","2,528.75","656.30",45000,"64,135,840.00",
"28-Oct-1997","EQ","1,355.00","1,355.00","1,250.00","1,376.70","-","1,287.20","1,287.09","2,528.75","656.30",51300,"66,027,595.00",
"27-Oct-1997","EQ","1,372.00","1,384.00","1,365.00","1,390.50","-","1,376.70","1,375.48","2,528.75","656.30",15700,"21,594,995.00",
"24-Oct-1997","EQ","1,391.10","1,405.00","1,342.00","1,401.30","-","1,390.50","1,376.57","2,528.75","656.30",29900,"41,159,315.00",
"23-Oct-1997","EQ","1,421.00","1,430.00","1,372.00","1,432.75","-","1,401.30","1,400.93","2,528.75","656.30",49300,"69,065,790.00",
"22-Oct-1997","EQ","1,472.00","1,482.00","1,425.00","1,472.25","-","1,432.75","1,452.29","2,528.75","656.30",30900,"44,875,885.00",
"21-Oct-1997","EQ","1,489.00","1,500.00","1,456.00","1,489.20","-","1,472.25","1,475.59","2,528.75","656.30",53600,"79,091,825.00",
"20-Oct-1997","EQ","1,450.10","1,510.00","1,450.10","1,485.55","-","1,489.20","1,487.95","2,528.75","619.25",21900,"32,586,085.00",
"17-Oct-1997","EQ","1,498.95","1,525.00","1,465.00","1,495.65","-","1,485.55","1,488.05","2,528.75","619.25",38400,"57,141,170.00",
"16-Oct-1997","EQ","1,550.00","1,550.00","1,476.10","1,547.50","-","1,495.65","1,505.86","2,528.75","619.25",73300,"110,379,760.00",
"15-Oct-1997","EQ","1,500.00","1,600.00","1,427.00","1,556.45","-","1,547.50","1,522.60","2,528.75","619.25",124900,"190,172,590.00",
"14-Oct-1997","EQ","1,602.00","1,602.00","1,540.00","1,591.85","-","1,556.45","1,562.95","2,528.75","619.25",37300,"58,297,875.00",
"13-Oct-1997","EQ","1,598.00","1,609.90","1,550.00","1,572.90","-","1,591.85","1,582.90","2,528.75","619.25",62300,"98,614,910.00",
"10-Oct-1997","EQ","1,495.00","1,610.00","1,495.00","1,476.90","-","1,572.90","1,562.62","2,528.75","619.25",111500,"174,232,585.00",
"09-Oct-1997","EQ","1,480.00","1,515.00","1,461.00","1,597.95","-","1,476.90","1,480.82","2,528.75","619.25",52200,"77,298,885.00",
"01-Oct-1997","EQ","1,585.00","1,604.90","1,556.05","1,619.50","-","1,597.95","1,579.23","2,528.75","619.25",29600,"46,745,350.00",
"30-Sep-1997","EQ","1,597.95","1,639.00","1,581.00","1,603.50","-","1,619.50","1,601.09","2,528.75","619.25",58500,"93,663,735.00",
"29-Sep-1997","EQ","1,580.00","1,629.95","1,580.00","1,594.75","-","1,603.50","1,609.70","2,528.75","619.25",25700,"41,369,250.00",
"26-Sep-1997","EQ","1,578.00","1,624.00","1,565.00","1,557.60","-","1,594.75","1,610.94","2,528.75","619.25",41600,"67,015,235.00",
"25-Sep-1997","EQ","1,512.05","1,575.00","1,512.05","1,515.45","-","1,557.60","1,544.68","2,528.75","619.25",32900,"50,819,885.00",
"24-Sep-1997","EQ","1,455.00","1,535.00","1,455.00","1,471.05","-","1,515.45","1,506.17","2,528.75","619.25",44900,"67,626,850.00",
"23-Sep-1997","EQ","1,420.00","1,488.75","1,420.00","1,421.45","-","1,471.05","1,456.39","2,528.75","619.25",25900,"37,720,625.00",
"22-Sep-1997","EQ","1,410.00","1,451.00","1,387.05","1,397.30","-","1,421.45","1,424.78","2,528.75","619.25",20600,"29,350,540.00",
"19-Sep-1997","EQ","1,345.00","1,435.00","1,332.75","1,339.30","-","1,397.30","1,388.23","2,528.75","619.25",38000,"52,752,845.00",
"18-Sep-1997","EQ","1,310.00","1,357.90","1,310.00","1,423.50","-","1,339.30","1,338.34","2,528.75","619.25",19900,"26,632,950.00",
"17-Sep-1997","EQ","1,430.00","1,435.00","1,419.25","1,448.30","-","1,423.50","1,424.65","2,528.75","619.25",2100,"2,991,765.00",
"16-Sep-1997","EQ","1,446.00","1,460.00","1,415.00","1,430.65","-","1,448.30","1,431.41","2,528.75","619.25",19300,"27,626,150.00",
"15-Sep-1997","EQ","1,406.00","1,459.00","1,406.00","1,444.20","-","1,430.65","1,435.63","2,528.75","619.25",20700,"29,717,465.00",
"12-Sep-1997","EQ","1,410.00","1,468.90","1,391.00","1,423.60","-","1,444.20","1,434.23","2,528.75","619.25",25100,"35,999,175.00",
"11-Sep-1997","EQ","1,442.00","1,449.90","1,395.25","1,478.55","-","1,423.60","1,422.94","2,528.75","619.25",27700,"39,415,520.00",
"10-Sep-1997","EQ","1,490.00","1,490.00","1,392.00","1,497.80","-","1,478.55","1,452.25","2,528.75","619.25",40600,"58,961,370.00",
"09-Sep-1997","EQ","1,449.00","1,499.45","1,449.00","1,401.35","-","1,497.80","1,495.35","2,528.75","619.25",48000,"71,777,015.00",
"08-Sep-1997","EQ","1,291.10","1,401.35","1,290.00","1,309.65","-","1,401.35","1,364.33","2,528.75","619.25",36300,"49,525,075.00",
"05-Sep-1997","EQ","1,282.00","1,318.00","1,276.00","1,277.80","-","1,309.65","1,294.43","2,528.75","619.25",17200,"22,264,220.00",
"04-Sep-1997","EQ","1,273.00","1,280.00","1,261.25","1,273.55","-","1,277.80","1,271.47","2,528.75","619.25",11200,"14,240,480.00",
