ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Nov-2020","EQ","1,405.00","1,405.00","1,389.25","1,389.25","1,398.90","1,398.65","1,399.10","1,994.00","774.65",149588,"209,288,051.25",11480
"13-Nov-2020","EQ","1,369.00","1,403.00","1,365.90","1,381.45","1,386.80","1,389.25","1,390.67","1,994.00","774.65",619636,"861,707,833.90",29139
"12-Nov-2020","EQ","1,375.00","1,400.00","1,355.10","1,371.25","1,380.00","1,381.45","1,382.23","1,994.00","774.65",494237,"683,151,051.95",22407
"11-Nov-2020","EQ","1,398.00","1,407.00","1,343.00","1,374.35","1,367.55","1,371.25","1,373.93","1,994.00","774.65",611896,"840,702,220.65",27747
"10-Nov-2020","EQ","1,325.00","1,416.85","1,322.05","1,312.85","1,375.60","1,374.35","1,385.50","1,994.00","774.65",1889923,"2,618,488,008.20",97290
"09-Nov-2020","EQ","1,318.00","1,322.55","1,311.00","1,311.20","1,314.00","1,312.85","1,315.53","1,994.00","774.65",134488,"176,922,343.60",9399
"06-Nov-2020","EQ","1,318.00","1,318.40","1,308.30","1,310.40","1,309.70","1,311.20","1,312.33","1,994.00","774.65",108108,"141,872,837.05",7481
"05-Nov-2020","EQ","1,301.10","1,316.55","1,301.10","1,300.55","1,311.95","1,310.40","1,309.43","1,994.00","774.65",159682,"209,092,627.50",9397
"04-Nov-2020","EQ","1,292.85","1,308.80","1,290.05","1,301.45","1,300.00","1,300.55","1,299.00","1,994.00","774.65",128498,"166,919,443.05",9946
"03-Nov-2020","EQ","1,303.00","1,311.50","1,300.00","1,302.25","1,300.50","1,301.45","1,304.95","1,994.00","774.65",107309,"140,033,342.15",8278
"02-Nov-2020","EQ","1,320.20","1,321.75","1,300.00","1,315.20","1,301.50","1,302.25","1,306.89","1,994.00","774.65",123930,"161,962,457.10",10562
"30-Oct-2020","EQ","1,322.80","1,329.45","1,310.00","1,330.60","1,314.95","1,315.20","1,319.48","1,994.00","774.65",116348,"153,518,851.05",8777
"29-Oct-2020","EQ","1,310.00","1,340.00","1,310.00","1,333.35","1,331.00","1,330.60","1,323.02","1,994.00","774.65",165784,"219,336,129.65",10728
"28-Oct-2020","EQ","1,324.00","1,339.00","1,310.00","1,326.00","1,334.00","1,333.35","1,329.49","1,994.00","774.65",185018,"245,979,415.85",10106
"27-Oct-2020","EQ","1,326.00","1,328.90","1,297.05","1,320.65","1,327.00","1,326.00","1,317.43","1,994.00","774.65",214182,"282,169,072.65",14251
"26-Oct-2020","EQ","1,329.00","1,331.00","1,318.00","1,327.95","1,323.00","1,320.65","1,321.70","1,994.00","774.65",159576,"210,911,143.90",12424
"23-Oct-2020","EQ","1,329.00","1,332.85","1,327.00","1,327.75","1,328.50","1,327.95","1,328.97","1,994.00","774.65",84503,"112,301,629.30",6084
"22-Oct-2020","EQ","1,333.00","1,337.70","1,326.35","1,331.75","1,328.00","1,327.75","1,329.81","1,994.00","774.65",90626,"120,515,207.55",8024
"21-Oct-2020","EQ","1,336.55","1,343.90","1,328.00","1,332.20","1,331.60","1,331.75","1,336.79","1,994.00","774.65",156434,"209,120,052.00",9521
"20-Oct-2020","EQ","1,326.00","1,342.70","1,326.00","1,326.90","1,330.95","1,332.20","1,333.65","1,994.00","774.65",212949,"283,999,238.00",11585
"19-Oct-2020","EQ","1,330.00","1,335.00","1,325.30","1,328.10","1,326.00","1,326.90","1,329.41","1,994.00","774.65",119596,"158,991,693.00",8522
"16-Oct-2020","EQ","1,329.00","1,340.00","1,325.00","1,329.50","1,330.50","1,328.10","1,330.15","1,994.00","625.00",141609,"188,361,883.70",10795
"15-Oct-2020","EQ","1,340.00","1,347.70","1,326.00","1,338.05","1,329.65","1,329.50","1,337.70","1,994.00","625.00",234817,"314,115,771.10",16085
"14-Oct-2020","EQ","1,350.00","1,357.60","1,331.00","1,336.50","1,338.00","1,338.05","1,341.38","1,994.00","625.00",346035,"464,163,265.80",17965
"13-Oct-2020","EQ","1,338.05","1,348.00","1,333.35","1,334.65","1,337.00","1,336.50","1,340.32","1,994.00","625.00",163871,"219,638,905.70",11349
"12-Oct-2020","EQ","1,355.00","1,369.80","1,330.00","1,351.00","1,336.00","1,334.65","1,348.36","1,994.00","625.00",443935,"598,584,904.15",26226
"09-Oct-2020","EQ","1,366.50","1,366.50","1,348.50","1,355.60","1,350.15","1,351.00","1,356.13","1,994.00","625.00",151208,"205,057,989.95",10375
"08-Oct-2020","EQ","1,368.00","1,369.95","1,350.00","1,356.90","1,357.45","1,355.60","1,361.52","1,994.00","625.00",268484,"365,545,677.10",13660
"07-Oct-2020","EQ","1,370.00","1,376.50","1,349.00","1,363.85","1,356.00","1,356.90","1,363.65","1,994.00","625.00",393986,"537,260,666.75",20537
