ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-1997","EQ","552.25","553.00","536.00","554.05","-","542.90","545.63","652.90","238.05",12719300,"6,940,035,430.00",
"12-Nov-1997","EQ","566.00","572.40","551.05","566.55","-","554.05","559.65","652.90","238.05",12334800,"6,903,201,740.00",
"11-Nov-1997","EQ","561.50","571.50","560.25","560.45","-","566.55","565.82","652.90","238.05",8199700,"4,639,581,765.00",
"10-Nov-1997","EQ","560.50","563.90","557.50","562.95","-","560.45","560.58","652.90","238.05",5492600,"3,079,043,920.00",
"07-Nov-1997","EQ","564.00","569.00","560.65","567.50","-","562.95","563.97","652.90","238.05",7731500,"4,360,332,875.00",
"06-Nov-1997","EQ","559.60","569.90","553.65","561.10","-","567.50","561.10","652.90","238.05",11709700,"6,570,334,670.00",
"05-Nov-1997","EQ","578.90","581.10","558.05","570.75","-","561.10","565.59","652.90","238.05",11515100,"6,512,812,935.00",
"04-Nov-1997","EQ","571.90","601.50","563.20","569.45","-","570.75","581.58","652.90","238.05",19288900,"11,218,080,605.00",
"03-Nov-1997","EQ","566.60","577.00","560.65","562.50","-","569.45","567.77","652.90","238.05",7995300,"4,539,453,015.00",
"30-Oct-1997","EQ","575.00","575.00","559.00","577.95","-","562.50","563.67","652.90","238.05",5439400,"3,066,038,155.00",
"29-Oct-1997","EQ","529.90","579.25","529.90","526.60","-","577.95","570.34","652.90","238.05",15022300,"8,567,866,375.00",
"28-Oct-1997","EQ","582.10","582.10","525.25","583.60","-","526.60","541.23","652.90","238.05",15308900,"8,285,569,975.00",
"27-Oct-1997","EQ","583.30","590.45","575.05","588.00","-","583.60","583.08","652.90","238.05",11302000,"6,590,018,530.00",
"24-Oct-1997","EQ","623.50","623.50","575.00","624.80","-","588.00","594.81","652.90","238.05",19838100,"11,799,828,240.00",
"23-Oct-1997","EQ","628.15","635.75","618.60","631.65","-","624.80","626.02","652.90","238.05",8203400,"5,135,525,800.00",
"22-Oct-1997","EQ","627.00","641.70","624.15","626.15","-","631.65","634.00","652.90","238.05",7703100,"4,883,729,525.00",
"21-Oct-1997","EQ","652.00","652.90","620.95","647.65","-","626.15","634.08","651.90","238.05",14053600,"8,911,108,900.00",
"20-Oct-1997","EQ","603.65","651.90","602.50","609.50","-","647.65","627.01","632.10","238.05",13690400,"8,583,960,925.00",
"17-Oct-1997","EQ","607.55","618.00","605.75","605.85","-","609.50","612.16","632.10","238.05",8838500,"5,410,555,910.00",
"16-Oct-1997","EQ","595.95","610.25","594.00","592.45","-","605.85","600.90","632.10","238.05",6912600,"4,153,813,475.00",
"15-Oct-1997","EQ","581.50","595.90","581.20","579.65","-","592.45","591.22","632.10","238.05",5332700,"3,152,812,185.00",
"14-Oct-1997","EQ","591.30","598.25","570.00","594.55","-","579.65","588.26","632.10","238.05",8459000,"4,976,073,830.00",
"13-Oct-1997","EQ","628.80","632.10","589.45","622.55","-","594.55","603.55","625.35","238.05",15682700,"9,465,359,200.00",
"10-Oct-1997","EQ","585.80","625.35","585.00","583.15","-","622.55","609.67","615.00","238.05",14498100,"8,839,013,740.00",
"09-Oct-1997","EQ","579.95","585.30","571.65","590.80","-","583.15","578.43","615.00","238.05",7669200,"4,436,130,790.00",
"01-Oct-1997","EQ","590.00","596.90","579.40","593.10","-","590.80","585.52","615.00","238.05",8140300,"4,766,315,920.00",
"30-Sep-1997","EQ","586.25","615.00","582.50","588.75","-","593.10","590.07","599.90","238.05",11606000,"6,848,366,805.00",
"29-Sep-1997","EQ","578.80","599.90","575.05","568.95","-","588.75","590.87","592.90","238.05",14507800,"8,572,253,815.00",
"26-Sep-1997","EQ","573.00","579.40","567.05","570.75","-","568.95","573.00","592.90","238.05",8469500,"4,853,028,890.00",
"25-Sep-1997","EQ","546.00","572.65","544.55","547.60","-","570.75","564.84","592.90","238.05",17079500,"9,647,227,005.00",
"24-Sep-1997","EQ","556.00","557.90","545.25","552.30","-","547.60","551.63","592.90","238.05",7030200,"3,878,048,145.00",
"23-Sep-1997","EQ","557.10","561.60","540.10","561.85","-","552.30","555.63","592.90","238.05",9194400,"5,108,723,220.00",
"22-Sep-1997","EQ","574.70","577.00","558.25","569.45","-","561.85","567.49","592.90","238.05",10285700,"5,837,066,300.00",
"19-Sep-1997","EQ","572.00","579.40","567.15","570.00","-","569.45","573.53","592.90","238.05",9740500,"5,586,507,960.00",
"18-Sep-1997","EQ","564.05","571.05","558.25","576.30","-","570.00","565.74","592.90","238.05",10268500,"5,809,342,375.00",
"17-Sep-1997","EQ","575.25","578.00","574.05","573.55","-","576.30","576.59","592.90","238.05",1507400,"869,155,390.00",
"16-Sep-1997","EQ","572.90","581.00","569.25","570.70","-","573.55","575.42","592.90","238.05",10997300,"6,328,056,540.00",
"15-Sep-1997","EQ","554.90","572.60","554.90","551.60","-","570.70","563.81","592.90","238.05",10381500,"5,853,198,355.00",
"12-Sep-1997","EQ","552.05","555.30","548.00","555.45","-","551.60","551.48","592.90","238.05",7176700,"3,957,771,715.00",
"11-Sep-1997","EQ","550.00","563.50","550.00","549.95","-","555.45","559.05","592.90","238.05",10589500,"5,920,044,475.00",
"10-Sep-1997","EQ","552.15","552.90","540.80","555.30","-","549.95","547.50","592.90","238.05",8863800,"4,852,930,245.00",
"09-Sep-1997","EQ","543.55","560.00","542.25","541.95","-","555.30","549.80","592.90","238.05",8786300,"4,830,700,465.00",
"08-Sep-1997","EQ","540.00","543.80","534.00","544.60","-","541.95","539.46","592.90","238.05",7341300,"3,960,331,265.00",
"05-Sep-1997","EQ","541.95","548.00","539.05","538.25","-","544.60","543.40","592.90","238.05",9316100,"5,062,389,595.00",
"04-Sep-1997","EQ","528.75","539.55","527.40","531.85","-","538.25","533.56","592.90","238.05",8187500,"4,368,495,935.00",
"03-Sep-1997","EQ","531.00","540.80","527.10","520.30","-","531.85","533.93","592.90","238.05",12908100,"6,892,038,135.00",
"02-Sep-1997","EQ","512.00","526.00","505.50","507.70","-","520.30","515.69","592.90","238.05",11649400,"6,007,524,470.00",
"01-Sep-1997","EQ","492.10","511.45","492.10","496.00","-","507.70","503.25","592.90","238.05",9686500,"4,874,727,200.00",
"29-Aug-1997","EQ","506.05","512.00","490.20","509.00","-","496.00","499.32","592.90","238.05",17704500,"8,840,142,575.00",
"28-Aug-1997","EQ","531.50","532.85","506.05","535.30","-","509.00","520.48","592.90","238.05",13725800,"7,144,048,370.00",
"27-Aug-1997","EQ","547.90","548.00","533.00","523.75","-","535.30","538.47","592.90","238.05",10032700,"5,402,339,850.00",
"26-Aug-1997","EQ","525.55","536.50","518.65","526.90","-","523.75","526.29","592.90","238.05",9001100,"4,737,185,140.00",
