ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-May-2009","EQ","99.50","101.90","99.30","99.35","101.25","100.95","100.84","106.15","52.00",3369595,"339,796,659.75",
"14-May-2009","EQ","99.90","101.50","96.75","99.20","99.05","99.35","99.91","106.15","52.00",4199442,"419,580,633.55",
"13-May-2009","EQ","102.00","102.45","98.25","101.20","99.10","99.20","100.34","106.15","52.00",4618499,"463,408,615.95",
"12-May-2009","EQ","98.30","101.65","96.15","97.35","101.00","101.20","99.38","106.15","52.00",5087822,"505,612,872.80",
"11-May-2009","EQ","97.10","99.95","96.70","97.35","97.15","97.35","98.04","106.15","52.00",4600120,"450,995,309.25",
"08-May-2009","EQ","97.00","101.00","95.60","97.10","97.35","97.35","97.93","108.50","52.00",9029409,"884,269,117.45",
"07-May-2009","EQ","97.00","97.90","95.50","96.35","97.00","97.10","96.99","108.50","52.00",3685679,"357,456,877.90",
"06-May-2009","EQ","96.95","98.60","95.25","95.95","96.70","96.35","97.17","108.50","52.00",4591617,"446,150,074.80",
"05-May-2009","EQ","95.00","97.00","93.50","94.05","96.15","95.95","95.39","108.50","52.00",6049164,"577,013,187.00",
"04-May-2009","EQ","94.85","95.90","93.55","92.60","93.90","94.05","94.53","108.50","52.00",3570013,"337,487,812.70",
"29-Apr-2009","EQ","93.90","94.50","91.20","92.00","93.10","92.60","92.91","109.50","52.00",5803543,"539,183,403.50",
"28-Apr-2009","EQ","97.85","98.90","91.50","96.75","91.75","92.00","93.29","109.50","52.00",4511717,"420,890,689.35",
"27-Apr-2009","EQ","100.00","100.00","96.05","100.05","97.15","96.75","97.93","109.50","52.00",3543156,"346,989,586.75",
"24-Apr-2009","EQ","101.40","101.60","98.10","100.05","99.75","100.05","99.51","109.50","52.00",2786267,"277,272,359.95",
"23-Apr-2009","EQ","97.45","100.85","95.05","96.65","100.55","100.05","98.75","109.50","52.00",4300383,"424,653,635.75",
"22-Apr-2009","EQ","102.40","102.40","95.25","100.00","97.25","96.65","97.36","109.50","52.00",5777185,"562,450,419.30",
"21-Apr-2009","EQ","101.40","102.25","99.10","101.90","100.50","100.00","100.73","109.50","52.00",4926113,"496,199,009.85",
"20-Apr-2009","EQ","100.90","103.90","95.55","97.50","102.30","101.90","101.78","109.50","52.00",11382658,"1,158,532,569.35",
"17-Apr-2009","EQ","96.80","101.60","94.10","94.60","98.30","97.50","98.46","109.50","52.00",13909652,"1,369,591,935.15",
"16-Apr-2009","EQ","98.40","98.80","93.75","97.10","94.25","94.60","96.57","109.50","52.00",9010790,"870,177,413.60",
"15-Apr-2009","EQ","94.00","97.75","94.00","94.65","97.15","97.10","96.29","109.50","52.00",5353421,"515,502,793.70",
"13-Apr-2009","EQ","96.50","97.50","93.25","95.95","94.30","94.65","94.72","109.50","52.00",3817354,"361,589,196.55",
"09-Apr-2009","EQ","99.50","100.90","95.25","97.40","95.80","95.95","97.11","109.50","52.00",4477495,"434,818,676.45",
"08-Apr-2009","EQ","91.50","98.70","89.50","92.50","98.25","97.40","94.62","109.50","52.00",9499978,"898,876,612.90",
"06-Apr-2009","EQ","94.00","95.35","91.85","93.60","92.40","92.50","92.92","109.50","52.00",3913891,"363,673,713.60",
"02-Apr-2009","EQ","93.90","95.00","92.65","91.95","93.80","93.60","93.64","109.50","52.00",5166686,"483,793,132.10",
"01-Apr-2009","EQ","99.90","99.90","91.50","95.60","91.90","91.95","93.00","109.50","52.00",4118368,"383,026,864.15",
"31-Mar-2009","EQ","97.80","97.80","90.05","94.55","96.50","95.60","95.51","109.50","52.00",4322223,"412,836,876.80",
"30-Mar-2009","EQ","96.70","96.70","87.50","94.55","94.80","94.55","94.39","109.50","52.00",2723771,"257,108,486.95",
"27-Mar-2009","EQ","97.50","97.50","93.70","96.25","94.70","94.55","95.14","109.50","52.00",3539085,"336,693,192.20",
"26-Mar-2009","EQ","99.95","99.95","94.30","97.05","96.25","96.25","95.91","109.50","52.00",5393483,"517,274,573.90",
"25-Mar-2009","EQ","97.55","99.00","95.65","98.40","97.05","97.05","97.27","109.50","52.00",3187574,"310,067,434.95",
"24-Mar-2009","EQ","99.50","100.15","97.00","98.20","97.40","98.40","98.99","109.50","52.00",4247932,"420,496,982.30",
"23-Mar-2009","EQ","95.95","99.00","95.80","96.60","98.55","98.20","97.38","109.50","52.00",3956849,"385,333,075.10",
"20-Mar-2009","EQ","95.95","97.35","95.05","96.20","96.30","96.60","96.34","109.50","52.00",1774433,"170,944,242.20",
"19-Mar-2009","EQ","92.00","96.75","92.00","95.60","96.55","96.20","95.15","109.50","52.00",1848599,"175,893,599.90",
"18-Mar-2009","EQ","86.00","98.35","86.00","96.30","95.20","95.60","97.09","109.50","52.00",2254416,"218,890,941.20",
"17-Mar-2009","EQ","96.55","97.80","95.10","95.90","96.10","96.30","96.43","109.50","52.00",2801929,"270,188,139.85",
"16-Mar-2009","EQ","95.50","96.60","92.75","94.90","96.20","95.90","94.84","109.50","52.00",4630768,"439,184,027.85",
"13-Mar-2009","EQ","95.00","95.50","92.60","93.60","94.60","94.90","94.16","110.00","52.00",3560494,"335,254,844.95",
"12-Mar-2009","EQ","93.95","94.45","91.10","90.95","93.00","93.60","93.13","110.00","52.00",3426533,"319,096,069.75",
"09-Mar-2009","EQ","93.00","93.00","90.10","92.55","90.55","90.95","91.02","110.00","52.00",1667378,"151,769,286.60",
"06-Mar-2009","EQ","90.30","92.90","90.00","91.70","92.75","92.55","91.63","110.00","52.00",2229043,"204,253,200.80",
"05-Mar-2009","EQ","92.85","92.85","90.30","91.55","91.85","91.70","91.53","110.00","52.00",3436746,"314,577,971.15",
"04-Mar-2009","EQ","90.80","92.45","89.50","89.10","91.65","91.55","91.26","110.00","52.00",3711051,"338,670,975.05",
