ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Jun-2007","EQ","223.00","227.50","217.50","223.60","217.50","218.70","223.09","275.00","149.05",31108,"6,940,023.25",
"14-Jun-2007","EQ","219.95","232.00","218.05","217.00","224.00","223.60","227.03","275.00","149.05",113249,"25,710,849.45",
"13-Jun-2007","EQ","212.05","218.80","212.05","216.45","218.00","217.00","216.86","275.00","149.05",15648,"3,393,485.65",
"12-Jun-2007","EQ","220.00","222.10","212.50","220.35","216.80","216.45","216.83","275.00","149.05",33132,"7,184,050.55",
"11-Jun-2007","EQ","218.00","224.40","216.15","216.30","220.65","220.35","220.60","275.00","149.05",53744,"11,855,954.85",
"08-Jun-2007","EQ","217.00","220.50","210.00","218.05","218.50","216.30","216.67","275.00","149.05",51408,"11,138,612.30",
"07-Jun-2007","EQ","223.90","226.80","216.10","224.25","217.10","218.05","221.68","275.00","149.05",54284,"12,033,872.10",
"06-Jun-2007","EQ","236.00","242.50","221.45","234.70","223.05","224.25","235.47","275.00","149.05",276782,"65,173,660.75",
"05-Jun-2007","EQ","225.45","240.00","224.00","222.80","235.35","234.70","233.89","275.00","149.05",550768,"128,816,859.50",
"04-Jun-2007","EQ","229.90","232.00","221.10","226.10","221.90","222.80","226.83","275.00","149.05",101779,"23,086,383.20",
"01-Jun-2007","EQ","211.00","230.00","211.00","210.75","226.00","226.10","224.53","284.00","149.05",120882,"27,141,072.75",
"31-May-2007","EQ","212.90","216.15","208.00","210.80","211.50","210.75","213.06","284.00","149.05",18428,"3,926,296.95",
"30-May-2007","EQ","211.55","220.00","210.00","211.55","210.55","210.80","214.72","284.00","149.05",30488,"6,546,461.60",
"29-May-2007","EQ","218.80","218.80","208.00","216.20","211.30","211.55","213.97","284.00","149.05",34592,"7,401,781.85",
"28-May-2007","EQ","221.30","223.00","216.00","218.80","216.50","216.20","218.72","284.00","149.05",39374,"8,612,037.70",
"25-May-2007","EQ","222.90","225.85","200.00","225.85","217.95","218.80","221.56","295.00","149.05",86230,"19,105,349.20",
"24-May-2007","EQ","229.40","239.00","222.15","227.50","226.00","225.85","229.08","295.00","149.05",414616,"94,978,671.50",
"23-May-2007","EQ","220.50","236.40","212.00","217.90","226.00","227.50","228.56","295.00","149.05",335663,"76,718,214.30",
"22-May-2007","EQ","228.30","229.40","215.10","226.50","217.00","217.90","221.97","295.00","149.05",40240,"8,931,974.75",
"21-May-2007","EQ","228.80","243.80","218.25","218.25","224.70","226.50","226.97","295.00","149.05",209657,"47,585,028.00",
"18-May-2007","EQ","216.00","225.00","216.00","219.90","219.00","218.25","221.03","334.35","149.05",13976,"3,089,110.90",
"17-May-2007","EQ","217.00","228.00","212.15","218.40","219.00","219.90","218.93","334.35","149.05",160178,"35,066,976.55",
"16-May-2007","EQ","210.00","219.90","209.15","208.45","217.55","218.40","215.77","334.35","149.05",62864,"13,564,188.95",
"15-May-2007","EQ","202.00","216.50","201.00","202.25","208.10","208.45","210.48","334.35","149.05",51534,"10,846,776.65",
"14-May-2007","EQ","205.00","206.00","201.00","202.90","202.00","202.25","203.08","334.35","149.05",10574,"2,147,416.15",
"11-May-2007","EQ","209.95","209.95","201.00","208.90","203.00","202.90","204.81","334.35","149.05",29031,"5,945,958.85",
"10-May-2007","EQ","204.10","211.00","204.10","204.30","211.00","208.90","207.63","334.35","149.05",9170,"1,903,933.05",
"09-May-2007","EQ","205.50","209.80","201.05","208.60","203.00","204.30","204.96","334.35","149.05",4989,"1,022,569.85",
"08-May-2007","EQ","214.00","214.00","206.60","208.60","207.00","208.60","211.25","334.35","149.05",15460,"3,265,875.35",
"07-May-2007","EQ","207.00","218.00","207.00","206.40","208.40","208.60","211.82","334.35","149.05",40520,"8,582,775.60",
"04-May-2007","EQ","202.00","213.80","200.00","202.50","204.10","206.40","206.67","334.35","149.05",25369,"5,243,054.00",
"03-May-2007","EQ","202.00","205.00","202.00","202.05","203.85","202.50","202.73","334.35","149.05",6372,"1,291,801.75",
"30-Apr-2007","EQ","205.75","205.75","201.00","201.95","201.00","202.05","202.76","334.35","149.05",8151,"1,652,733.00",
"27-Apr-2007","EQ","200.00","204.00","199.50","202.35","202.20","201.95","201.77","334.35","149.05",9622,"1,941,423.95",
"26-Apr-2007","EQ","203.05","205.00","199.50","203.20","204.90","202.35","202.85","334.35","149.05",13304,"2,698,720.75",
"25-Apr-2007","EQ","206.00","209.00","198.10","206.45","204.80","203.20","203.69","334.35","149.05",10427,"2,123,889.40",
"24-Apr-2007","EQ","195.00","207.95","195.00","204.10","206.00","206.45","203.45","334.35","149.05",33721,"6,860,591.60",
"23-Apr-2007","EQ","201.00","205.00","200.00","197.25","204.00","204.10","202.77","334.35","149.05",15099,"3,061,651.05",
"20-Apr-2007","EQ","193.25","204.80","193.20","195.70","197.05","197.25","198.28","334.35","149.05",26847,"5,323,327.95",
"19-Apr-2007","EQ","192.90","198.00","187.00","193.50","197.00","195.70","193.29","334.35","149.05",9264,"1,790,624.90",
"18-Apr-2007","EQ","189.60","198.00","187.00","186.05","194.00","193.50","193.64","334.35","149.05",21111,"4,087,879.70",
"17-Apr-2007","EQ","182.80","188.50","178.05","179.15","188.50","186.05","183.30","334.35","149.05",17034,"3,122,403.05",
"16-Apr-2007","EQ","178.00","181.45","178.00","178.20","179.45","179.15","179.77","334.35","149.05",6713,"1,206,793.90",
"13-Apr-2007","EQ","179.70","184.05","177.05","179.00","178.00","178.20","180.54","335.00","149.05",15770,"2,847,155.70",
"12-Apr-2007","EQ","178.00","184.20","176.00","177.05","179.60","179.00","180.18","335.00","149.05",9418,"1,696,965.50",
"11-Apr-2007","EQ","178.00","185.00","170.25","179.25","178.10","177.05","180.64","335.00","149.05",16329,"2,949,647.70",
"10-Apr-2007","EQ","177.10","186.50","175.10","179.60","180.00","179.25","181.13","335.00","149.05",13973,"2,530,921.75",
