ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-1997","EQ","168.20","168.50","161.75","169.25","-","164.00","164.58","440.80","168.55",10998650,"1,810,118,075.00",
"12-Nov-1997","EQ","174.95","176.40","168.55","175.45","-","169.25","172.26","440.80","173.55",10872250,"1,872,850,872.50",
"11-Nov-1997","EQ","174.10","177.35","173.55","174.55","-","175.45","175.50","440.80","173.75",4390400,"770,532,332.50",
"10-Nov-1997","EQ","177.60","177.60","174.20","178.55","-","174.55","175.77","440.80","173.75",4368400,"767,843,270.00",
"07-Nov-1997","EQ","178.05","179.90","177.10","180.50","-","178.55","178.51","440.80","173.75",3644850,"650,651,807.50",
"06-Nov-1997","EQ","182.00","182.00","177.25","182.65","-","180.50","179.28","440.80","173.75",7167950,"1,285,042,912.50",
"05-Nov-1997","EQ","184.00","187.25","181.65","354.15","-","182.65","183.77","440.80","173.75",6848700,"1,258,581,630.00",
"04-Nov-1997","EQ","362.00","369.00","350.75","362.80","-","354.15","358.35","440.80","173.75",10341750,"3,705,963,415.00",
"03-Nov-1997","EQ","363.05","371.80","353.05","362.50","-","362.80","360.40","440.80","173.75",9882650,"3,561,699,547.50",
"30-Oct-1997","EQ","372.05","372.05","357.60","374.15","-","362.50","363.56","440.80","173.75",6093100,"2,215,199,205.00",
"29-Oct-1997","EQ","348.85","375.10","348.85","341.15","-","374.15","367.22","440.80","173.75",17027850,"6,252,887,092.50",
"28-Oct-1997","EQ","377.10","377.10","340.60","378.40","-","341.15","348.31","440.80","173.75",14818300,"5,161,429,805.00",
"27-Oct-1997","EQ","380.90","393.25","376.65","395.95","-","378.40","381.17","440.80","173.75",12451750,"4,746,274,097.50",
"24-Oct-1997","EQ","405.00","405.00","390.30","405.45","-","395.95","396.57","440.80","173.75",16097850,"6,383,930,212.50",
"23-Oct-1997","EQ","413.00","415.50","401.15","412.35","-","405.45","408.00","440.80","173.75",14009550,"5,715,878,935.00",
"22-Oct-1997","EQ","414.00","418.80","410.75","408.55","-","412.35","414.26","440.80","173.75",11694600,"4,844,590,395.00",
"21-Oct-1997","EQ","411.00","419.80","405.00","410.30","-","408.55","413.36","440.80","173.75",17575000,"7,264,832,460.00",
"20-Oct-1997","EQ","405.05","411.25","400.00","406.25","-","410.30","406.95","440.80","173.75",9373850,"3,814,670,092.50",
"17-Oct-1997","EQ","406.00","413.65","403.80","404.35","-","406.25","408.05","440.80","173.75",14972600,"6,109,636,320.00",
"16-Oct-1997","EQ","404.95","413.30","399.60","402.20","-","404.35","403.84","440.80","173.75",16183450,"6,535,487,192.50",
"15-Oct-1997","EQ","401.70","407.70","395.25","399.50","-","402.20","400.56","440.80","173.75",14544950,"5,826,155,812.50",
"14-Oct-1997","EQ","428.00","433.15","391.00","430.20","-","399.50","418.57","440.80","173.75",29622600,"12,399,127,917.50",
"13-Oct-1997","EQ","429.90","440.80","425.40","421.50","-","430.20","432.66","421.70","173.75",29317850,"12,684,629,867.50",
"10-Oct-1997","EQ","386.70","421.70","386.70","383.35","-","421.50","413.45","390.00","173.75",30093250,"12,441,973,915.00",
"09-Oct-1997","EQ","364.25","385.90","363.25","360.90","-","383.35","373.99","390.00","173.75",20416000,"7,635,395,645.00",
"01-Oct-1997","EQ","361.00","363.50","354.90","361.45","-","360.90","358.60","390.00","173.75",8612900,"3,088,568,207.50",
"30-Sep-1997","EQ","357.85","362.95","356.75","358.30","-","361.45","359.67","390.00","173.75",7098800,"2,553,204,165.00",
"29-Sep-1997","EQ","356.00","362.10","355.05","351.75","-","358.30","358.82","390.00","173.75",8606250,"3,088,128,060.00",
"26-Sep-1997","EQ","349.00","354.80","349.00","347.30","-","351.75","352.10","390.00","173.75",9100250,"3,204,226,955.00",
"25-Sep-1997","EQ","339.00","348.50","338.00","340.20","-","347.30","344.75","390.00","173.75",10090200,"3,478,603,447.50",
"24-Sep-1997","EQ","343.00","345.90","339.55","336.95","-","340.20","342.05","390.00","173.75",3910550,"1,337,616,367.50",
"23-Sep-1997","EQ","336.10","339.50","335.00","337.20","-","336.95","337.49","390.00","173.75",4867500,"1,642,736,075.00",
"22-Sep-1997","EQ","346.30","346.30","336.10","347.05","-","337.20","339.31","390.00","173.75",6093950,"2,067,767,490.00",
"19-Sep-1997","EQ","347.95","351.50","346.50","347.05","-","347.05","348.55","390.00","173.75",5247400,"1,828,998,420.00",
"18-Sep-1997","EQ","348.00","349.00","344.50","352.15","-","347.05","347.15","390.00","173.75",5729550,"1,989,004,780.00",
"17-Sep-1997","EQ","352.15","354.00","351.50","351.40","-","352.15","352.49","390.00","173.75",694650,"244,860,125.00",
"16-Sep-1997","EQ","345.15","354.20","345.15","344.65","-","351.40","351.27","390.00","173.75",8454700,"2,969,896,290.00",
"15-Sep-1997","EQ","344.65","346.75","343.55","345.40","-","344.65","345.17","390.00","173.75",3031900,"1,046,526,162.50",
"12-Sep-1997","EQ","345.40","346.80","343.80","347.50","-","345.40","345.19","390.00","173.75",5003150,"1,727,051,645.00",
"11-Sep-1997","EQ","343.50","351.35","342.80","342.20","-","347.50","347.87","390.00","173.75",10677400,"3,714,370,432.50",
"10-Sep-1997","EQ","342.15","344.00","340.05","345.10","-","342.20","342.44","390.00","173.75",4982100,"1,706,049,352.50",
"09-Sep-1997","EQ","345.80","347.40","343.20","344.75","-","345.10","345.05","390.00","173.75",5540300,"1,911,666,190.00",
"08-Sep-1997","EQ","342.00","345.50","340.00","345.40","-","344.75","343.01","390.00","173.75",4743600,"1,627,096,300.00",
"05-Sep-1997","EQ","345.50","347.35","342.10","344.30","-","345.40","345.03","390.00","173.75",8457300,"2,917,989,632.50",
"04-Sep-1997","EQ","339.10","345.50","337.00","340.25","-","344.30","340.81","390.00","173.75",9559950,"3,258,113,077.50",
"03-Sep-1997","EQ","344.50","346.45","338.50","338.70","-","340.25","342.67","390.00","173.75",9627150,"3,298,940,187.50",
"02-Sep-1997","EQ","340.00","342.70","332.50","338.05","-","338.70","337.83","390.00","173.75",10907700,"3,684,954,852.50",
"01-Sep-1997","EQ","330.75","339.90","330.00","330.30","-","338.05","335.29","390.00","173.75",9869050,"3,308,947,740.00",
"29-Aug-1997","EQ","338.10","338.90","327.90","339.15","-","330.30","333.13","390.00","173.75",10520650,"3,504,778,317.50",
"28-Aug-1997","EQ","345.35","347.00","338.05","347.35","-","339.15","342.13","390.00","173.75",7719750,"2,641,137,097.50",
"27-Aug-1997","EQ","351.90","359.90","346.50","341.55","-","347.35","350.43","390.00","173.75",6359050,"2,228,370,667.50",
"26-Aug-1997","EQ","341.00","346.40","339.35","339.95","-","341.55","342.52","390.00","173.75",9893000,"3,388,539,885.00",
