ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-1997","EQ","252.50","252.90","240.55","254.05","-","243.60","245.87","357.90","202.50",8239850,"2,025,914,425.00",
"12-Nov-1997","EQ","260.00","260.50","253.20","260.20","-","254.05","256.58","357.90","202.50",3469050,"890,096,315.00",
"11-Nov-1997","EQ","257.00","261.45","256.75","257.05","-","260.20","259.81","357.90","202.50",3012800,"782,768,332.50",
"10-Nov-1997","EQ","256.50","258.50","255.55","257.85","-","257.05","257.48","357.90","202.50",1951450,"502,464,010.00",
"07-Nov-1997","EQ","258.35","259.65","256.50","259.80","-","257.85","257.94","357.90","202.50",2488300,"641,838,785.00",
"06-Nov-1997","EQ","258.10","260.90","253.65","259.10","-","259.80","257.12","357.90","202.50",4016650,"1,032,774,012.50",
"05-Nov-1997","EQ","260.50","261.90","256.55","259.75","-","259.10","259.12","357.90","202.50",3105900,"804,793,560.00",
"04-Nov-1997","EQ","259.00","262.90","255.25","257.55","-","259.75","258.81","357.90","202.50",4855350,"1,256,634,232.50",
"03-Nov-1997","EQ","265.00","267.95","252.25","262.40","-","257.55","257.16","357.90","202.50",4731650,"1,216,786,900.00",
"30-Oct-1997","EQ","269.00","269.00","260.15","269.05","-","262.40","262.38","357.90","202.50",2088350,"547,939,257.50",
"29-Oct-1997","EQ","254.85","273.00","254.85","248.55","-","269.05","264.90","357.90","202.50",6127500,"1,623,201,965.00",
"28-Oct-1997","EQ","273.50","273.50","246.80","274.00","-","248.55","255.74","357.90","202.50",8306050,"2,124,162,112.50",
"27-Oct-1997","EQ","272.00","277.25","270.10","272.65","-","274.00","274.75","357.90","200.00",4569350,"1,255,433,340.00",
"24-Oct-1997","EQ","273.50","274.75","267.65","275.00","-","272.65","271.44","357.90","200.00",5419750,"1,471,115,537.50",
"23-Oct-1997","EQ","281.60","287.70","272.10","283.30","-","275.00","278.04","357.90","200.00",6059800,"1,684,863,992.50",
"22-Oct-1997","EQ","288.45","291.45","282.55","286.15","-","283.30","285.62","357.90","200.00",5393300,"1,540,455,520.00",
"21-Oct-1997","EQ","295.05","295.50","281.30","294.70","-","286.15","288.59","357.90","200.00",7579300,"2,187,273,092.50",
"20-Oct-1997","EQ","288.25","296.60","288.25","289.40","-","294.70","294.16","357.90","200.00",6692800,"1,968,737,155.00",
"17-Oct-1997","EQ","292.95","293.90","287.10","291.70","-","289.40","290.31","357.90","200.00",6199200,"1,799,686,680.00",
"16-Oct-1997","EQ","283.70","293.50","280.10","279.95","-","291.70","288.42","357.90","200.00",9366900,"2,701,643,365.00",
"15-Oct-1997","EQ","278.00","281.90","277.10","274.70","-","279.95","279.12","357.90","200.00",2720750,"759,413,647.50",
"14-Oct-1997","EQ","282.25","283.50","270.05","281.95","-","274.70","279.31","357.90","200.00",3932700,"1,098,448,127.50",
"13-Oct-1997","EQ","286.90","292.00","281.00","285.35","-","281.95","286.73","357.90","200.00",5976750,"1,713,742,887.50",
"10-Oct-1997","EQ","275.50","287.50","275.00","274.80","-","285.35","282.35","357.90","200.00",8872350,"2,505,095,832.50",
"09-Oct-1997","EQ","269.50","275.30","268.50","272.25","-","274.80","272.56","357.90","200.00",3553400,"968,506,690.00",
"01-Oct-1997","EQ","276.50","276.50","268.85","276.00","-","272.25","271.78","357.90","200.00",3923850,"1,066,412,932.50",
"30-Sep-1997","EQ","278.00","278.40","275.30","278.40","-","276.00","276.65","357.90","200.00",2681150,"741,746,717.50",
"29-Sep-1997","EQ","277.00","281.65","275.15","274.60","-","278.40","279.31","357.90","200.00",4341950,"1,212,741,000.00",
"26-Sep-1997","EQ","276.75","279.00","274.25","275.45","-","274.60","276.29","357.90","200.00",3781100,"1,044,696,730.00",
"25-Sep-1997","EQ","271.25","276.00","271.00","273.30","-","275.45","274.51","357.90","200.00",3749500,"1,029,293,002.50",
"24-Sep-1997","EQ","278.40","279.30","272.50","272.20","-","273.30","276.45","357.90","200.00",3716050,"1,027,294,635.00",
"23-Sep-1997","EQ","270.10","273.85","269.25","270.95","-","272.20","272.14","357.90","200.00",3638700,"990,225,422.50",
"22-Sep-1997","EQ","275.25","276.00","270.25","276.85","-","270.95","272.17","357.90","200.00",3285450,"894,197,987.50",
"19-Sep-1997","EQ","279.90","281.35","275.55","277.70","-","276.85","277.22","357.90","200.00",3616700,"1,002,616,817.50",
"18-Sep-1997","EQ","282.10","283.50","275.60","287.35","-","277.70","278.62","357.90","200.00",5626950,"1,567,790,230.00",
"17-Sep-1997","EQ","286.10","288.80","286.10","287.50","-","287.35","287.63","357.90","200.00",557450,"160,339,935.00",
"16-Sep-1997","EQ","286.40","290.85","286.15","285.00","-","287.50","288.53","357.90","200.00",5344550,"1,542,053,257.50",
"15-Sep-1997","EQ","285.00","286.00","283.60","283.90","-","285.00","284.93","357.90","200.00",2369700,"675,206,940.00",
"12-Sep-1997","EQ","284.15","284.80","281.25","286.55","-","283.90","283.10","357.90","200.00",5263750,"1,490,185,305.00",
"11-Sep-1997","EQ","285.30","289.90","285.30","285.10","-","286.55","288.04","357.90","200.00",4580050,"1,319,250,660.00",
"10-Sep-1997","EQ","290.00","290.90","284.20","292.90","-","285.10","286.53","357.90","200.00",5115750,"1,465,814,982.50",
"09-Sep-1997","EQ","295.00","296.20","291.10","294.65","-","292.90","294.03","357.90","200.00",4067500,"1,195,965,470.00",
"08-Sep-1997","EQ","293.00","295.30","291.30","295.80","-","294.65","293.40","357.90","200.00",3254750,"954,951,172.50",
"05-Sep-1997","EQ","294.85","296.55","293.05","293.25","-","295.80","295.01","357.90","200.00",5092350,"1,502,274,980.00",
"04-Sep-1997","EQ","290.10","293.95","288.55","293.50","-","293.25","291.46","357.90","200.00",6783150,"1,976,994,975.00",
"03-Sep-1997","EQ","296.00","300.55","291.05","291.55","-","293.50","296.31","357.90","200.00",12629250,"3,742,121,327.50",
"02-Sep-1997","EQ","285.00","293.85","282.55","282.45","-","291.55","287.39","357.90","200.00",8157850,"2,344,471,645.00",
"01-Sep-1997","EQ","284.00","286.90","277.60","283.65","-","282.45","281.32","357.90","200.00",9266500,"2,606,863,782.50",
"29-Aug-1997","EQ","302.85","302.85","283.30","304.60","-","283.65","290.72","357.90","200.00",12524950,"3,641,262,915.00",
"28-Aug-1997","EQ","307.70","309.00","304.00","309.70","-","304.60","306.25","357.90","200.00",3632650,"1,112,514,037.50",
"27-Aug-1997","EQ","308.90","314.45","308.90","306.50","-","309.70","311.83","357.90","200.00",3667250,"1,143,574,350.00",
"26-Aug-1997","EQ","309.85","310.90","305.50","307.45","-","306.50","307.71","357.90","200.00",5188250,"1,596,473,490.00",
"25-Aug-1997","EQ","310.00","310.45","301.00","311.95","-","307.45","306.31","357.90","200.00",6886950,"2,109,523,325.00",
